Accession No.	Gene Title	Fold Difference	Function
NM_016109	angiopoietin-like 4	4.13	ANGIOGENESIS
AF169312	angiopoietin-like 4	3.97	ANGIOGENESIS
NM_000602	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	1.57	ANGIOGENESIS
BC006121	apoptosis-inducing factor, mitochondrion-associated, 2	2.35	Apoptosis
NM_001196	BH3 interacting domain death agonist	1.74	Apoptosis
BC005884	BH3 interacting domain death agonist	1.72	Apoptosis
X83493	Fas (TNF receptor superfamily, member 6)	1.7	Apoptosis
Z70519	Fas (TNF receptor superfamily, member 6)	1.67	Apoptosis
NM_007350	pleckstrin homology-like domain, family A, member 1	1.55	Apoptosis
AK026181	pleckstrin homology-like domain, family A, member 1	1.79	Apoptosis
AL046419	TIA1 cytotoxic granule-associated RNA binding protein	-1.68	Apoptosis
NM_003823	tumor necrosis factor receptor superfamily, member 6b, decoy /// regulator of telomere elongation helicase 1	-4.15	Apoptosis
AW341649	tumor protein p53 inducible nuclear protein 1	1.66	Apoptosis
NM_013255	muskelin 1, intracellular mediator containing kelch motifs	1.7	Cell adhesion
NM_004385	versican	-2	Cell adhesion
BF218922	versican	-2.41	Cell adhesion
AI684747	PX domain containing serine/threonine kinase	1.57	Cell communication
NM_003503	cell division cycle 7 homolog (S. cerevisiae)	-3.06	Cell cycle/Cell proliferation
NM_000389	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.55	Cell cycle/Cell proliferation
BC037785	FGFR1 oncogene partner	1.68	Cell cycle/Cell proliferation
NM_016426	G-2 and S-phase expressed 1	-2.41	Cell cycle/Cell proliferation
NM_015675	growth arrest and DNA-damage-inducible, beta	2.01	Cell cycle/Cell proliferation
AI857685	NudE nuclear distribution gene E homolog 1 (A. nidulans)	-2.49	Cell cycle/Cell proliferation
AF092132	p21 (CDKN1A)-activated kinase 2	1.78	Cell cycle/Cell proliferation
AI859242	potassium channel tetramerisation domain containing 11	3.41	Cell cycle/Cell proliferation
NM_012290	tousled-like kinase 1	1.85	Cell cycle/Cell proliferation
NM_005733	kinesin family member 20A	-2.16	Cell motility
AY026505	kinesin family member 2C	-2.16	Cell motility
AI922599	vimentin	-1.59	Cell motility
BC002649	histone cluster 1, H1c	2.16	Chromatin/nucleosome assembly
AL353759	histone cluster 1, H2ac	2.67	Chromatin/nucleosome assembly
NM_013957	neuregulin 1	3.15	Development
NM_003186	transgelin	2.57	Development
NM_000946	primase, polypeptide 1, 49kDa	-1.61	DNA binding/replication/repair
NM_006397	ribonuclease H2, subunit A	-1.62	DNA binding/replication/repair
NM_003258	thymidine kinase 1, soluble	-1.91	DNA binding/replication/repair
AA749101	interferon induced transmembrane protein 1 (9-27)	-2.5	Immune response
NM_004030	interferon regulatory factor 7	-2.27	Immune response
NM_000584	interleukin 8	4.97	Immune response
AK026966	adenylate kinase 3-like 1	1.96	Metabolic process/biosynthesis
NM_001124	adrenomedullin	3.07	Metabolic process/biosynthesis
AA127674	alkylglycerone phosphate synthase	1.51	Metabolic process/biosynthesis
NM_000688	aminolevulinate, delta-, synthase 1	1.54	Metabolic process/biosynthesis
NM_016243	cytochrome b5 reductase 1	1.71	Metabolic process/biosynthesis
NM_001929	deoxyguanosine kinase	-1.88	Metabolic process/biosynthesis
BC005369	egl nine homolog 1 (C. elegans)	1.98	Metabolic process/biosynthesis
NM_006579	emopamil binding protein (sterol isomerase)	-2.16	Metabolic process/biosynthesis
AC_004770	fatty acid desaturase 3	3.1	Metabolic process/biosynthesis
NM_000169	galactosidase, alpha	2.14	Metabolic process/biosynthesis
NM_000402	glucose-6-phosphate dehydrogenase	1.82	Metabolic process/biosynthesis
BF676980	glutamate-cysteine ligase, catalytic subunit	3.86	Metabolic process/biosynthesis
NM_001498	glutamate-cysteine ligase, catalytic subunit	4.96	Metabolic process/biosynthesis
NM_002061	glutamate-cysteine ligase, modifier subunit	1.86	Metabolic process/biosynthesis
NM_014905	glutaminase	5.24	Metabolic process/biosynthesis
BE378479	high density lipoprotein binding protein (vigilin)	-1.72	Metabolic process/biosynthesis
D55639	kynureninase (L-kynurenine hydrolase)	4.39	Metabolic process/biosynthesis
BE566894	leukotriene B4 12-hydroxydehydrogenase	3.11	Metabolic process/biosynthesis
AL135787	leukotriene B4 12-hydroxydehydrogenase	2.82	Metabolic process/biosynthesis
BC001606	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	2.69	Metabolic process/biosynthesis
L07592	peroxisome proliferator-activated receptor delta	1.6	Metabolic process/biosynthesis
AI754404	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	4.2	Metabolic process/biosynthesis
NM_000935	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	3.78	Metabolic process/biosynthesis
NM_002800	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	-2.68	Metabolic process/biosynthesis
NM_002841	protein tyrosine phosphatase, receptor type, G	2.36	Metabolic process/biosynthesis
AW150720	retinol dehydrogenase 10 (all-trans)	1.72	Metabolic process/biosynthesis
BC021229	selenoprotein I	2.42	Metabolic process/biosynthesis
NM_002631	phosphogluconate dehydrogenase	2.27	Oxidative stress
AL121758	sulfiredoxin 1 homolog (S. cerevisiae)	3.42	Oxidative stress
NM_003330	thioredoxin reductase 1	4.26	Oxidative stress
AI697657	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	-2.62	Protein binding/folding/modification
BF197655	caveolin 2	-1.92	Protein binding/folding/modification
BG252490	DnaJ (Hsp40) homolog, subfamily B, member 4	2.58	Protein binding/folding/modification
BC002446	DnaJ (Hsp40) homolog, subfamily B, member 6	1.92	Protein binding/folding/modification
AI377423	HERPUD family member 2	2.47	Protein binding/folding/modification
AB024518	interleukin 33	-5.94	Protein binding/folding/modification
NM_016447	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	1.62	Protein binding/folding/modification
AI244661	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	-2.3	Protein binding/folding/modification
BC005020	peptidylprolyl isomerase F (cyclophilin F)	5.23	Protein binding/folding/modification
NM_005729	peptidylprolyl isomerase F (cyclophilin F)	5.46	Protein binding/folding/modification
AF220030	tripartite motif-containing 6	-2.04	Protein binding/folding/modification
NM_019116	ubiquitin family domain containing 1	1.98	Protein binding/folding/modification
NM_001908	cathepsin B	1.52	Proteolysis
NM_003291	tripeptidyl peptidase II	-1.66	Proteolysis
NM_001326	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa	1.71	RNA binding/processing
AI928344	RNA binding motif protein, X-linked	-2.64	RNA binding/processing
BF033354	splicing factor, arginine/serine-rich 7, 35kDa	-1.76	RNA binding/processing
W73788	tetratricopeptide repeat domain 14	2.75	RNA binding/processing
AL040341	tetratricopeptide repeat domain 14	3.36	RNA binding/processing
BC002492	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)	1.53	RNA binding/processing
NM_000024	adrenergic, beta-2-, receptor, surface	2.35	Signalling 
