GeneSymbol	Number	GeneDescription	Gbm/MmRatio	Frequency
GFAP	AA069414	Glialfibrillaryacidicprotein	413	16
PTPRZ1	AA476460	Proteintyrosinephosphatase,receptor-type,Zpolypeptide1	357	9
GPM6B	AA284329	GlycoproteinM6B	133	9
PRELP	AA131664	Proline/arginine-richendleucine-richrepeatprotein	0.042	9
FABP7	W72051	Fattyacid-bindingprotein7,brain	221	7
EGFL3	AA975413	EGF-like-domain,multiple3	0.299	7
PDE4B	AA453293	Phosphodiesterase4B,cAMP-specific(phosphodiesteraseE4 duncehomolog,Drosophila)	26	5
OMD	N32201	Osteomodulin	0.011	5
LAPTM4A	AA398233	Lysosomal-associatedproteintransmembrane4a	0.346	5
USP25	AA479313	Ubiquitinspecificpeptidase25	0.11	5
NFATC3	AA293819	NuclearfactorofactivatedTcells,cytoplasmic,calcineurin-dependent3	0.399	4
CTGF	AA598794	Connectivetissuegrowthfactor	0.106	4
PIGT	H83225	Phosphatidylinositolglycan,classT	0.508	4
FLJ39155	R08141	HypotheticalproteinFLJ39155	0.019	4
DSP	H90899	Desmoplakin	0.004	4
GAS1	AA025819	Growtharrest-specific1	0.084	4
PLK1	AA629262	POLO-likekinase1(Drosophila)	4	4
NEK6	AA463188	NIMA(neverinmitosisgenea)-relatedkinase6	4	4
TNXB	T58430	SimilartotenascinXBisoform1;tenascinXB1; tenascinXB2;hexabrachion-like[Pantroglodytes]	0.118	4
LHX2	AA018276	LIMhomeobox2	36	4
MGC21621	W52061	MAS-relatedGPR,memberF	0.041	4
PDGFD	AI005125	Platelet-derivedgrowthfactorD	0.034	4
IL27RA	AI088984	Interleukin27receptora	2	4
	AI249137	Transcribedlocus	0.205	4
CCND1	R81200	CyclinD1	0.109	4
NCAM2	AI306467	Neuralcelladhesionmolecule2	6	4
SH3GL3	AI359676	SH3-domainGRB2-like3	0.79	4
MT2A	BF131311	Metallothionein2A	11	4
NUDT1	AA4439987	Nudix(nucleosidediphosphate-linkedmoietyX)-typemotif1	3	4
RARRES2	AA481944	Retinoicacidreceptorresponder(tazaroteneinduced)2	0.196	3
SMARCD3	AA035796	SW1/SNF-related,matrixassociated,actin-dependentregulator ofchromatin,subfamilyd,member3	2	3
HYAL1	AA464791	Hyaluronoglucosaminidase1	0.159	3
CDK2AP1	R78607	CDK2-associatedprotein1	2	3
CTNND2	H04985	Catenin(Cadherin-associatedprotein),d2(neural plakophilin-relatedarm-repeatprotein)	44	3
CYB5	R92281	Cytochromeb5typeA(microsomal)	0.333	3
CA2	H23187	CarbonicanhydraseII	17	3
OAT	AA446819	Ornithineaminotransferase(gyrateatrophy)	0.383	3
GPM6A	AA448033	GlycoproteinM6A	90	3
HSPC195	R63735	CXXCfinger5	4	3
ZMYM6	W81504	Zincfinger,MYM-type6	0.567	3
PPARGC1A	N89673	Peroxisomeproliferativeactivatedreceptor, gamma,coactivator1,a	0.257	3
TEK	H02848	TEKtyrosinekinase,endothelial(venousmalformations, multiplecutaneous,andmucosal)	0.14	3
APM2	AA478298	Chromosome10openreadingframe116	0.034	3
FGL2	H56349	Fibrinogen-like2	0.022	3
CDH2	W49619	Cadherin2,type1,N-cadherin(neuronal)	20	3
CANPL1	H15456	Calpain1,(m/I)largesubunit	0.532	3
GPR17	R44664	Gprotein-coupledreceptor17	45	3
LOC119504	AA004832	Chromosome10openreadingframe104	0.504	3
	W52340	—	0.355	3
DHRS3	AA171606	Dehydrogenase/reductase(SDRfamily)member3	0.217	3
