Cluster	Gene	Accession	2 d	14 d
1	IL6	NM_031168	23.56	6.14
1	6430502M16Rik	AW489260	5.8	14.1
1	Gm379	MMT00038972	8.8	12.83
1	Lama1	NM_008480	3.63	9.74
1	Timp1	NM_011593	7.82	2.98
1	Ltbp2	NM_013589	2.43	6.1
1	Cilp	NM_173385	5.87	5.35
1	Slc26a4	NM_011867	1.91	5.68
1	Adamts4	AI035696	5.19	5.46
1	Fxyd4	NM_033648	1.94	5.37
1	Tnc	NM_011607	5.15	5.23
1	Slc39a2	BB049001	2.25	4.79
2	Ptx3	NM_008987	3.2	8.22
2	Col24a1	AK017266	1.2	7.82
2	Psca	AK008851	21.04	6.5
2	Areg	AK018590	1.93	6.48
2	Mmp12	NM_008605	1.62	6.04
2	6720460F02Rik	NM_144526	1.41	5.97
2	Lrp2bp	AK020869	2.69	5.92
2	S100a14	NM_025393	1.92	5.74
2	Ctsk	AK003425	1.21	5.73
2	Pbk	BC020099	1.92	5.71
2	Depdc1a	AK018060	1.33	5.71
2	MMT00006628	MMT00006628	1.05	5.57
3	MMT00046076	MMT00046076	26.9	210.25
3	AU018778	NM_144930	26.2	29.04
3	Asgr1	NM_009714	27.75	28.82
3	Pon1	NM_011134	22.69	27.94
3	Gsta2	NM_008182	25.77	26.43
3	Fgfbp1	U49641	25.37	25.97
3	Fmo3	NM_008030	23.63	25.68
3	Rptn	NM_009100	24.22	24.86
3	Zdhhc18	MMT00014309	21.81	24.62
3	Acoxl	AK004775	25.15	24.38
3	Es22	NM_133660	24.56	23.29
3	Cst8	AK018943	26.7	23.05
4	Cpm	AK004327	23.76	21.19
4	Cxcl15	MMT00018853	23.69	21.38
4	Elf5	NM_010125	23.07	1.11
4	Gm933	XM_354959	23.01	1.15
4	Cth	AY083352	22.81	21.32
4	Tmprss4	NM_145403	22.76	1.08
4	Vnn1	NM_011704	22.66	21.06
4	Sgpp2	ENSMUST00000036172	22.58	1.29
4	S100g	NM_009789	22.58	1.44
4	Abca3	AK007703	22.44	1.01
4	A530020G20Rik	MMT00062173	22.38	1.09
4	Pcx	NM_008797	22.35	1.18
5	Tnfsf18	NM_183391	17.08	6.89
5	Bcat1	AK013888	6.94	1.51
5	Ccl7	X70058	6.63	1.21
5	Fgg	AK013887	6.33	3.82
5	Tgfb1	NM_011577	5.66	2.14
5	Chrdl2	NM_133709	5.53	1.92
5	Morc1	NM_010816	5.39	2.21
5	Igf1	NM_010512	5.21	3.43
5	ORF9	NM_020622	5.16	1.49
5	Socs3	NM_007707	4.76	1.7
5	Ccl2	NM_011333	4.73	1.62
5	Speer4d	ENSMUST00000039682	4.33	1.14
6	Gsta3	Gsta3	21.94	27.58
6	Cldn10	Cldn10	22.44	26.65
6	1810010H24Rik	1810010H24Rik	22.76	25.76
6	Myh4	Myh4	21.8	25.4
6	Cyp4b1	Cyp4b1	21.77	25.38
6	4930453L07Rik	4930453L07Rik	21.87	25.36
6	Slc5a12	Slc5a12	21.47	25.15
6	Cyp4b1	Cyp4b1	21.78	24.97
6	Slc5a12	Slc5a12	21.46	24.84
6	Wfdc16	Wfdc16	21.78	24.71
6	Igfbp3	Igfbp3	22.22	24.64
6	Gabrp	Gabrp	23.21	24.62
