Gene Name	GenBank ID	AffyID	ER-negative Fold change	P value	ER-positive Fold change	P value	Gene Title
PSPHL	NM_003832	205048_s_at	4.59	561026	5.96	761029	phosphoserine phosphatase-like
CXCL10	NM_001565	204533_s_at	5.65	9.661025	2.1	0.01	Chemokine (C-X-C motif) ligand 10
CXCL11	AF002985	211122_s_at	1.96	0.007	2.9	0.0002	Chemokine (C-X-C motif) ligand 11
SLC38A1	AK024263	218237_s_at	1.9	0.001	2.71	0.005	solute carrier family 38, member 1
PAICS	BX538303	201014_s_at	1.73	0.009	1.92	0.003	phosphoribosylaminoimidazole carboxylase
PSMA2	BX641097	201317_s_at	1.62	0.001	1.63	0.005	proteasome subunit, alpha type, 2
AK2	NM_013411	212175_s_at	1.6	0.002	1.5	0.01	adenylate kinase 2
LAPTM4B	BC038117	208767_s_at	1.6	0.01	1.66	0.007	Lysosomal associated protein transmembrane 4 beta
LASS6	NM_203463	212446_s_at	1.6	0.007	1.67	0.009	LAG1 longevity assurance homolog 6
SOS1	AL833457	212777_at	1.57	0.00007	1.82	0.0002	son of sevenless homolog 1
SMS	AA552813	202043_s_at	1.57	0.004	1.87	0.007	spermine synthase
ARF4	BC016325	201096_s_at	1.54	0.01	1.6	0.007	ADP-ribosylation factor 4
C7orf24	BF570959	215380_s_at	1.51	0.005	2.4	0.0009	chromosome 7 open reading frame 24
CDC42BPA	NM_003607	214464_at	0.64	0.009	0.43	0.0006	CDC42 binding protein kinase alpha
TGFB1I1	AK122975	209651_at	0.63	0.002	0.54	0.003	TGF beta1 induced transcript 1
PTRF	NM_012232	208790_s_at	0.62	0.001	0.65	0.003	polymerase I and transcript release factor
NUAK1	AB011109	204589_at	0.62	0.0009	0.54	0.008	NUAK family, SNF1-like kinase, 1
PLAGL1	NM_002656	207002_s_at	0.6	0.003	0.42	0.01	pleiomorphic adenoma gene-like 1 (Zac1)
AQP1	NM_198098	209047_at	0.53	0.007	0.45	0.009	aquaporin 1
