ER rank	ER weight	Accession no.	Unigene cluster	Symbol
1	0.08	x52003	Trefoil factor 1 (pS2)	TFF1
2	0.08	x03635	Estrogen receptor 1	ESR1
3	0.07	m29874	Cytochrome P450, subfamily IIB	CYP2B
4	0.06	l08044	Trefoil factor 3	TFF3
5	0.06	s37730	(Insulin-like growth factor)	IGFBP2
6	0.06	u79293	Human clone 23948 mRNA sequence	N/A
7	0.06	j03778	Microtubule-associated protein t	MAPT
8	0.06	x07732	Hepsin	HPN
9	0.05	x58072	GATA-binding protein 3	GATA3
10	0.05	u22376	v-myb avian myeloblastosis viral oncogene homolog	MYB
11	-0.04	u04313	Serine proteinase inhibitor, clade B, member 5	SERPINB5
12	0.04	x17059	N-acetyltransferase 1	NAT1
13	-0.04	m26311	S100 calcium-binding protein A9	S100A9
14	-0.04	u27185	Retinoic acid receptor responder 1	RARRES1
15	-0.04	u84487	Small inducible cytokine subfamily D, member 1	SCYD1
16	0.04	u39840	Hepatocyte nuclear factor 3a	HNF3A
17	0.04	u32907	37 kDa leucine-rich repeat (LRR) protein	P37NB
18	0.04	m35851	(Androgen receptor)	AR
19	-0.04	x87212	Cathepsin C	CTSC
20	0.04	u96922	Inositol polyphosphate-4-phosphatase, type II, 105 kDa	INPP4B
21	0.04	af000234	Purinergic receptor P2X, ligand-gated ion channel, 4	P2RX4
22	-0.04	d50915	KIAA0125 gene product	KIAA0125
23	0.04	l07615	(Neuropeptide Y receptor Y1)	NPY1R
24	0.04	u68385	Meis (mouse) homolog 3	MEIS3
25	0.04	u41060	LIV-1 protein, estrogen-regulated	LIV-1
26	0.03	hg3548-ht3749	(CCAAT displacement protein)	CUTL1
27	0.03	d38437	Postmeiotic segregation increased 2-like 3	PMS2L3
28	-0.03	x04470	Secretory leukocyte protease inhibitor	SLPI
29	0.03	m81057	Carboxypeptidase B1	CPB1
30	0.03	u95740	KIAA0430 gene product	KIAA0430
31	-0.03	m24485	Glutathione S-transferase p	GSTP1
32	0.03	x55037	GATA-binding protein 3	GATA3
33	0.02	m31627	X-box-binding protein 1	XBP1
34	-0.02	x13794	Lactate dehydrogenase B	LDHB
35	0.02	z29083	5T4 oncofetal trophoblast glycoprotein	5T4
36	0.02	u21931	(Fructose-1,6-biphosphatase)	FBP1
37	0.02	m23263	Androgen receptor	AR
38	0.02	u09770	Cysteine-rich protein 1	CRIP1
39	0.02	x13238	Cytochrome C oxidase subunit vic	COX6C
40	-0.02	u03057	Singed (Drosophila)-like	SNL
41	-0.02	u05340	CDC20	CDC20
42	-0.02	x01630	Argininosuccinate synthetase	ASS
43	-0.02	s45630	Crystallin, aB	CRYAB
44	-0.02	hg3494-ht3688	(Nuclear factor NF-IL6)
45	0.02	x83425	Lutheran blood group	LU
46	0.02	m14745	B-cell CLL/lymphoma 2	BCL2
47	-0.02	x87241	FAT tumor suppressor	FAT
48	0.02	m99701	Transcription elongation factor A (SII)-like 1	TCEAL1
49	0.02	hg3125-ht3301	(Estrogen receptor)	ESR1
50	0.02	x12876	Keratin 18	KRT18
51	0.02	u96113	(Nedd-4-like ubiquitin protein ligase)	WWP1
52	0.02	m27891	(Cystatin C)	CST3
53	-0.01	d63880	Chromosome condensation-related SMC-associated protein 1	KIAA0159
54	0.01	x68733	Serine proteinase inhibitor, clade A, member 3	SERPINA3
55	0.01	z23090	Heat-shock 27-kDa protein 1	HSPB1
56	0.01	x16665	Homeo box B2	HOXB2
57	0.01	m62403	Insulin-like growth factor-binding protein 4	IGFBP4
58	-0.01	u85193	Nuclear factor I/B	NFIB
59	0.01	z48633	Homo sapiens mRNA for RetroTransposon	N/A
60	0.01	d50840	UDP-glucose ceramide glucosyltransferase	UGCG
61	0.01	l15702	B-factor	BF
62	0.01	d78134	Cold inducible RNA-binding protein	CIRBP
63	0.01	u72649	BTG family, member 2	BTG2
64	0.01	x75861	Testis enhanced gene transcript	TEGT
65	0.01	u52100	Epithelial membrane protein 2	EMP2
66	0.01	x53002	Integrin, b5	ITGB5
67	0.01	u29656	Non-metastatic cells 3, protein expressed in	NME3
68	0.01	x59834	Glutamate-ammonia ligase	GLUL
69	0.01	l40401	Peroxisomal long-chain acyl-CoA thioesterase, putative protein	ZAP128
70	-0.01	m32313	Steroid-5-a-reductase, a polypeptide 1	SRD5A1
71	0.01	x57351	Interferon induced transmembrane protein 2	IFITM2
72	-0.01	d38550	Human mRNA for KIAA0075 gene
73	-0.01	d90209	Activating transcription factor 4	ATF4
74	0.01	u68142	RAB2, member of RAS oncogene family-like	RAB2L
75	0.01	s69272	Serine proteinase inhibitor, clade B, member 6	SERPINB6
76	-0.01	m69066	Moesin	MSN
77	0.01	hg1515-ht1515	(Transcription factor BTF3B)	BTF3
78	0.01	u67963	Lysophospholipase-like	HU-K5
79	-0.01	u65785	Oxygen regulated protein (150 kDa)	ORP150
80	0.01	u09196	Polymerase (DNA-directed), d4	POLD4
81	0.01	u11791	Cyclin H	CCNH
82	0.01	m29877	Fucosidase, a-L-1, tissue	FUCA1
83	-0.01	u96131	Thyroid hormone receptor interactor 13	TRIP13
84	0.01	u14603	Protein tyrosine phosphatase type IVA, member 2	PTP4A2
85	-0.01	m14328	Enolase 1	ENO1
86	0.01	x74929	Keratin 8	KRT8
87	0.01	x71973	Glutathione peroxidase 4	GPX4
88	0.01	m74715	Iduronidase, a-L	IDUA
89	0.01	u14394	Tissue inhibitor of metalloproteinase 3	TIMP3
90	0.01	u30827	Splicing factor, arginine/serine-rich 5	SFRS5
91	0.01	u79262	Deoxyhypusine synthase	DHPS
92	0.01	u94831	Transmembrane 9 superfamily member 1	TM9SF1
93	-0.01	l20298	Core-binding factor, b subunit	CBFB
94	0.01	u72066	Retinoblastoma-binding protein 8	RBBP8
95	-0.01	l16862	G protein-coupled receptor kinase 6	GPRK6
96	-0.01	m96982	U2(RNU2) small nuclear RNA auxilliary factor 1	U2AF1
97	-0.01	u09564	SFRS protein kinase 1	SRPK1
98	0.01	hg2238-ht2321	(Nuclear mitotic apparatus protein 1)	NUMA1
99	-0.01	d86978	KIAA0225 protein	KIAA0225
100	0	x91648	H. sapiens mRNA for pura extended 3 untranslated region	N/A
