Accession no.	Position in profile (1-7129)	Description
M33197	42	AFFX-HUMGAPDH/M33197_5_at (endogenous control)
D14530	226	40S ribosomal protein S23
D79205	568	Ribosomal protein L39
HG1612-HT1612	804	Macmarcks
HG3549-HT3751	930	Wilm’S tumor-related protein
J02611	1054	APOD apolipoprotein D
J03040	1068	SPARC SPARC/osteonectin
M63379	2128	CLU clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J)
U03057	2606	Actin bundling protein mRNA
U12404	2757	HSPB1 heat shock 27 kDa protein 1
X53331	4247	MGP matrix protein gla
X67951	4463	PAGA proliferation-associated gene A (natural killer-enhancing factor A)
X70683	4504	SOX4 SRY (sex-determining region Y)-box 4
Z48950	5168	HISTONE H3.3
D86974	5507	KIAA0220 gene, partial cds
M19311	5642	CALM1 calmodulin 1 (phosphorylase kinase, delta)
L04483	6026	RPS21 ribosomal protein S21
M14483	6181	PTMA gene extracted from human prothymosin alpha mRNA
Z19554	6209	VIM vimentin
M37457	6311	Naþ,Kþ-ATPase catalytic subunit alpha-III isoform gene
S54005	6388	Thymosin beta-10
X01703	6915	Alpha-tubulin mRNA
