GenBank ID	UGCluster	Name	Symbol	GOabr	AgilentSpotID
AK095652	Hs.494822	Hypothetical protein LOC158402	LOC158402		as00595
NM_003390	Hs.249441	WEE1 homologue (Schizosaccharomyces pombe)	WEE1	ATP binding, cytokinesis, mitosis, nucleus, protein amino-acid phosphorylation, protein serine/threonine kinase activity, protein tyrosine kinase activity, regulation of cell cycle, transferase activity	as02991
AL117644	Hs.429819	Phosphatidylinositol transfer protein, alpha	PITPNA	Intracellular, lipid binding, lipid metabolism, phosphatidylcholine transporter activity, phosphatidylinositol transporter activity, transport, visual perception	as03022
AK022035	Hs.659665	CDNA FLJ11973 fis, clone HEMBB1001221			as04760
NM_002715	Hs.483408	Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	PPP2CA	RNA splicing, ceramide metabolism, cytosol, hydrolase activity, inactivation of MAPK, induction of apoptosis, manganese ion binding, membrane, microtubule cytoskeleton, mitochondrion, negative regulation of cell growth, negative regulation of tyrosine phosphorylation of Stat3 protein, nucleus, phosphoprotein phosphatase activity, protein amino-acid dephosphorylation, protein heterodimerisation activity, protein phosphatase type 2A complex, regulation of DNA replication, regulation of Wnt receptor signalling pathway, regulation of cell adhesion, regulation of cell cycle, regulation of cell cycle, regulation of cell differentiation, regulation of growth, regulation of transcription, regulation of translation, response to organic substance, second-messenger-mediated signalling, soluble fraction	as05104
NM_007145	Hs.643436	Zinc-finger protein 146	ZNF146	DNA binding, heparin binding, nucleus, regulation of transcription, DNA-dependent, zinc ion binding	as06024
NM_020654	Hs.529551	SUMO1/sentrin-specific peptidase 7	SENP7	Cysteine-type peptidase activity, nucleus, protein sumoylation, proteolysis and peptidolysis, ubiquitin cycle	as06108
NM_080670	Hs.406840	Solute carrier family 35, member A4	SLC35A4	Golgi membrane, carbohydrate transport, integral to membrane, sugar porter activity	as06408
XM_045127	Hs.605380	Homo sapiens KIAA1549 protein	KIAA1549		as06448
NM_003204	Hs.514284	Nuclear factor (erythroid-derived 2)-like 1	NFE2L1	DNA binding, haem biosynthesis, inflammatory response, morphogenesis, nucleus, regulation of transcription, DNA-dependent, transcription, transcription cofactor activity, transcription factor activity, transcription from RNA polymerase II promoter	as08524
NM_005295	Hs.657277	G protein-coupled receptor 22	GPR22	G-protein coupled receptor protein signalling pathway, integral to plasma membrane, receptor activity, rhodopsin-like receptor activity, signal transduction	as09257
NM_006372	Hs.571177	Synaptotagmin-binding, cytoplasmic RNA-interacting protein	SYNCRIP	RNA binding, RNA splicing, endoplasmic reticulum, nuclear mRNA splicing, through spliceosome, nucleotide binding, nucleus, ribonucleoprotein complex	as10291
NM_018691	Hs.166551	Chromosome 5 open reading frame 3	C5orf3		as11424
NM_002857	Hs.517232	Peroxisomal biogenesis factor 19	PEX19	Integral to membrane, membrane, peroxisomal membrane, peroxisome organisation and biogenesis	as11638
NM_002558	Hs.41735	Purinergic receptor P2X, ligand-gated ion channel, 1	P2RX1	ATP binding, ATP-gated cation channel activity, apoptosis, integral to plasma membrane, ion channel activity, ion transport, membrane, receptor activity, signal transduction, synaptic transmission	as12494
NM_017964	Hs.23248	Solute carrier family 30 (zinc transporter), member 6	SLC30A6	Cation transport, cation transporter activity, membrane	as15670
NM_003672	Hs.127411	CDC14 cell division cycle 14 homologue A (Saccharomyces cerevisiae)	CDC14A	Cell proliferation, cytokinesis, hydrolase activity, nucleus, protein amino-acid dephosphorylation, protein tyrosine phosphatase activity, protein tyrosine/serine/threonine phosphatase activity, regulation of cell cycle	as15820
NM_024915	Hs.661088	Grainyhead-like 2 (Drosophila)	GRHL2		as16749
NM_145204	Hs.513002	SUMO/sentrin-specific peptidase family member 8	SENP8	Cysteine-type peptidase activity, proteolysis and peptidolysis, ubiquitin cycle	as18913
NM_002815	Hs.655396	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	PSMD11	Binding, proteasome complex (sensu Eukaryota)	as19535
NM_004937	Hs.187667	Cystinosis, nephropathic	CTNS	L-cysteine transport, L-cysteine transporter activity, amino-acid metabolism, integral to membrane, lysosomal membrane, transport	as20561
NM_018630		Derlin 1	DERL1		as21050
NM_032816	Hs.599703	Coiled-coil domain containing 123	CCDC123		as21549
NM_002730	Hs.631630	Protein kinase, cAMP-dependent, catalytic, alpha	PRKACA	ATP binding, cAMP-dependent protein kinase activity, cAMP-dependent protein kinase complex, nucleus, protein amino-acid phosphorylation, protein serine/threonine kinase activity, transferase activity	as21885
NM_000227	Hs.436367	Laminin, alpha 3	LAMA3	Basement membrane, epidermis development, laminin-1, protein binding, receptor binding, regulation of cell adhesion, regulation of cell migration, regulation of embryonic development, structural molecule activity, structural molecule activity	as22719
NM_017694	Hs.644886	FLJ20160 protein	FLJ20160	Integral to membrane	as22767
XM_295178		Not available	LOC340171	LOC340171	as24280
NM_004603	Hs.647024	Syntaxin 1A (brain)	STX1A	Exocytosis, integral to membrane, intracellular protein transport, membrane, neurotransmitter transport, protein transporter activity, regulation of insulin secretion	as25304
