Accession ID	Gene name	Fold change	P
R02346	Small nuclear ribonucleoprotein 70kD polypeptide	4.3	0.02
AA775872	Glypican 3	4.1	0.036
H50323	Fatty acid synthase	3.9	0.0045
AA858026	Serine (or cysteine) proteinase inhibitor, clade A member 5	3.3	0.05
AA233070	KIAA0552 KINESIN-RELATED	3	0.0066
AA844124	ESTs	2.5	0.02
T64469	p8 protein (candidate of metastasis 1)	-2.2	0.014
AA497051	Sialyltransferase	-2.3	0.039
AA456975	Apolipoprotein D	-3.3	0.045
AA447978	Aldehyde dehydrogenase 1 family, member A2	-3.6	0.029
AA291163	Glutaredoxin (thioltransferase)	-4.0	0.0036
