dataset1	gene/protein	hits2	region	up/down3
M	REG4	36	1p13.1-p12	down
M	ITLN1	36	1q22-q23.5	down
M	SI	36	3q25.2-q26.2	down
M	zymogengranuleprotein16	36	16p13.3	down
M	SPINK4	36	9p13.3	down
M	MUC2	36	11p15.5	down
M	GCG	36	2q36-q37	down
M	CD177	36	19q13.2	down
M	CA1	36	8q13-q22.1	down
M	CLCA1	36	1p31-p22	down
M	PLA2G2A	36	1p35	down
M	CA2	36	8q22	down
M	CLCA4	36	1p31-p22	down
M	FCGBP	36	19q13.1	down
M	CLDN8	36	21q22.11	down
M	B3GALT5	35	21q22.3	down
M	INSL5	33	1p31.1-p22.3	down
M	CEL	31	9q34.3	up
M	RARRES1	31	3q25.32-q25.33	down
M	CA4	19	17q23	down
M	LOC253012	18	7q21.3	down
P	carcinoembryonicantigen	36	19q13.1-q13.2	down
P	IL-1ra	36	2q14.2	up
P	cancerantigen19-9	36	NA	down
P	MIP-1beta	36	17q12	up
P	ferritin	36	19q13.3-q13.4;11q13	down
P	IL-3	36	5q31.1	up
P	IL-1beta	36	2q14	down
P	factorVII	36	13q34	down
P	stemcellfactor	36	12q22	down
P	beta-2microglobulin	36	15q21-q22.2	up
P	alpha-fetoprotein	34	4q11-q13	down
P	thyroxinebindingglobulin	32	Xq22.2	down
P	IL-8	28	4q13-q21	down
P	TNFRII	24	1p36.3-p36.2	up
