p-rank 	p-value 	mean: ADL 	mean: NML 	ADL/ NML 	Affy Probe set 	description 	Genbank ID 	 
1	4.04E-05	597.8	1139.9	0.52	X63422_at 	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit "	X63422 	 
2	4.28E-05	26.9	6.3	4.24	L16782_at 	M-phase phosphoprotein 1 	L16782 	 
3	5.29E-05	346.9	180	1.93	X83572_at 	arylsulfatase D 	X83572 	 
4	6.11E-05	416.6	602.3	0.69	D50913_at 	"inositol polyphosphate-5-phosphatase, 72kDa "	D50913 	 
5	6.25E-05	353.5	627	0.56	X70649_at 	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1 	X70649 	 
6	7.80E-05	2195.4	3606.7	0.61	X13238_at 	cytochrome c oxidase subunit VIc 	X13238 	 
7	8.62E-05	706.3	1167.3	0.61	M22632_at 	"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2) "	M22632 	 
8	9.91E-05	2143.5	453.1	4.73	AJ000480_at 	phosphoprotein regulated by mitogenic pathways 	AJ000480 	 
9	0.0001017	742.5	1674.8	0.44	M22760_at 	cytochrome c oxidase subunit Va 	M22760 	 
10	0.0001046	405.5	609.6	0.67	U43286_at 	selenophosphate synthetase 2 	U43286 	 
11	0.0001097	203.7	874.5	0.23	L17075_s_at 	activin A receptor type II-like 1 	L17075 	 
12	0.0001166	381.7	636.7	0.6	X15525_rna1_ at 	none 	X15525 	 
13	0.0001239	302.3	774.8	0.39	M25077_at 	"Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro) "	M25077 	 
14	0.0001255	201.9	376.6	0.54	X81788_at 	immature colon carcinoma transcript 1 	X81788 	 
15	0.0001468	1625.4	3847.9	0.42	X13794_rna1_ at 	none 	X13794 	 
16	0.0001562	287.3	166.9	1.72	HG4167-HT4437_at 	"Nuclear Factor 1, A Type "	HG4167-HT4437 	 
17	0.0001608	950.9	2042	0.47	L02426_at 	"proteasome (prosome, macropain) 26S subunit, ATPase, 1 "	L02426 	 
18	0.0001629	2043	3523.6	0.58	M20471_at 	"clathrin, light polypeptide (Lca) "	M20471 	 
19	0.0001672	1460.9	2566	0.57	M26730_s_at 	none 	M26730 	 
20	0.0001724	604.4	1160.9	0.52	M64992_at 	"proteasome (prosome, macropain) subunit, alpha type, 1 "	M64992 	 
21	0.0001725	267.9	668.8	0.4	L19183_at 	hypothetical protein MAC30 	L19183 	 
22	0.0001857	254.4	476.9	0.53	M15841_at 	small nuclear ribonucleoprotein polypeptide B'' 	M15841 	 
23	0.000186	361.9	509.5	0.71	U66618_at 	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 "	U66618 	 
24	0.0001899	519.4	882.9	0.59	U61397_s_at 	ubiquitin-like 1 (sentrin) 	U61397 	 
25	0.0001981	475.2	1123	0.42	M94556_at 	single-stranded DNA binding protein 	M94556 	 
 26  	 0.0002062  	 1168.1  	 1749.3  	 0.67  	 U51336_at  	" inositol 1,3,4-triphosphate 5/6 kinase  "	 U51336  	
 27  	 0.0002101  	 286.1  	 1113.9  	 0.26  	 HG2614-HT2710_at  	" Collagen, Type Viii, Alpha 1  "	 HG2614-HT2710  	
 28  	 0.0002527  	 288.1  	 586.2  	 0.49  	 U59309_at  	 fumarate hydratase  	 U59309  	
 29  	 0.000267  	 278.4  	 490.4  	 0.57  	 U18321_at  	 death associated protein 3  	 U18321  	
 30  	 0.000274  	 133.1  	 223.9  	 0.59  	 J03626_rna1_ s_at  	 uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5'-decarboxylase)  	 J03626  	
 31  	 0.0002781  	 3366.4  	 6247.2  	 0.54  	 M31520_rna1 _s_at  	 ribosomal protein S24  	 M31520  	
 32  	 0.0002924  	 988.4  	 2383.5  	 0.42  	 M14200_rna1 _at  	 none  	 M14200  	
 33  	 0.0003161  	 1085.2  	 1878.6  	 0.58  	 D14694_at  	 phosphatidylserine synthase 1  	 D14694  	
 34  	 0.0003291  	 595.4  	 1055.6  	 0.56  	 HG2274-HT2370_at  	" Rna Polymerase Ii, 14.5 Kda Subunit  "	 HG2274-HT2370  	
 35  	 0.000333  	 1255.9  	 617.7  	 2.03  	 X98507_at  	 myosin IC  	 X98507  	
 36  	 0.0003387  	 5466.5  	 8745.8  	 0.63  	 S65738_at  	 destrin (actin depolymerizing factor)  	 S65738  	
 37  	 0.0003718  	 999.3  	 1808.5  	 0.55  	 D49738_at  	 cytoskeleton-associated protein 1  	 D49738  	
 38  	 0.0003839  	 1980.5  	 4526.4  	 0.44  	 L42379_at  	 quiescin Q6  	 L42379  	
 39  	 0.0003921  	 791.1  	 1707.4  	 0.46  	 HG4264-HT4534_s_at  	 Guanine Nucleotide-Binding Protein Rab5c-Like Protein - Also Represents: U18420  	 HG4264-HT4534  	
 40  	 0.000393  	 490.1  	 811.1  	 0.60  	 D83260_s_at  	 DNA segment on chromosome X (unique) 9928 expressed sequence  	 D83260  	
 41  	 0.0003978  	 1130.1  	 3061.1  	 0.37  	 X15822_at  	 cytochrome c oxidase subunit VIIa polypeptide 2 (liver)  	 X15822  	
 42  	 0.0004014  	 2458.7  	 3913.5  	 0.63  	 U70439_s_at  	" acidic (leucine-rich) nuclear phosphoprotein 32 family, member B  "	 U70439  	
 43  	 0.0004122  	 679.9  	 1063.5  	 0.64  	 M86737_at  	 structure specific recognition protein 1  	 M86737  	
 44  	 0.0004202  	 618.8  	 1148.0  	 0.54  	 HG4297-HT4567_at  	 Transcriptional Coactivator Pc4  	 HG4297-HT4567  	
 45  	 0.0004264  	 294.2  	 475.3  	 0.62  	 X98001_at  	" Rab geranylgeranyltransferase, beta subunit  "	 X98001  	
 46  	 0.0004372  	 1234.5  	 2488.3  	 0.50  	 M29536_at  	" eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa  "	 M29536  	
 47  	 0.0004576  	 1681.3  	 2786.2  	 0.60  	 U94586_at  	" NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa  "	 U94586  	
 48  	 0.0004824  	 327.6  	 411.5  	 0.80  	 U23028_at  	" eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa  "	 U23028  	
 49  	 0.0004885  	 295.6  	 461.7  	 0.64  	 HG511-HT511_at  	 Ras Inhibitor Inf  	 HG511-HT511  	
 50  	 0.000513  	 240.2  	 382.9  	 0.63  	 U41766_s_at  	 a disintegrin and metalloproteinase domain 9 (meltrin gamma)  	 U41766  	
 51  	 0.0005153  	 2137.7  	 3586.6  	 0.60  	 M75099_at  	" FK506 binding protein 2, 13kDa  "	 M75099  	
 52  	 0.0005256  	 555.2  	 928.4  	 0.60  	 U53003_at  	 chromosome 21 open reading frame 33  	 U53003  	
 53  	 0.0005281  	 619.8  	 1273.8  	 0.49  	 M34079_at  	" proteasome (prosome, macropain) 26S subunit, ATPase, 3  "	 M34079  	
 54  	 0.0005484  	 842.9  	 1498.3  	 0.56  	 M55621_at  	" mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase  "	 M55621  	
 55  	 0.0005491  	 201.8  	 299.7  	 0.67  	 X66113_s_at  	" polymyositis/scleroderma autoantigen 2, 100kDa  "	 X66113  	
 56  	 0.0005723  	 299.8  	 428.3  	 0.70  	 U65402_at  	 none  	 U65402  	
 57  	 0.0005777  	 920.9  	 1958.0  	 0.47  	 M19961_at  	 cytochrome c oxidase subunit Vb  	 M19961  	
 58  	 0.0006024  	 316.0  	 440.6  	 0.72  	 U65928_at  	 COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)  	 U65928  	
 59  	 0.0006109  	 2318.2  	 4433.4  	 0.52  	 J02683_s_at  	" solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5  "	 J02683  	
 60  	 0.0006169  	 1458.6  	 2828.9  	 0.52  	 D55654_at  	" malate dehydrogenase 1, NAD (soluble)  "	 D55654  	
 61  	 0.0006256  	 178.2  	 448.2  	 0.40  	 M61764_at  	" tubulin, gamma 1  "	 M61764  	
 62  	 0.0006322  	 263.5  	 417.5  	 0.63  	 U24266_at  	" aldehyde dehydrogenase 4 family, member A1  "	 U24266  	
 63  	 0.0006347  	 521.7  	 929.1  	 0.56  	 U24704_at  	" proteasome (prosome, macropain) 26S subunit, non-ATPase, 4  "	 U24704  	
 64  	 0.0006373  	 1587.4  	 2345.2  	 0.68  	 M64571_at  	 microtubule-associated protein 4  	 M64571  	
 65  	 0.0006408  	 70.4  	 33.3  	 2.12  	 U09087_s_at  	 thymopoietin  	 U09087  	
 66  	 0.0006427  	 557.2  	 749.5  	 0.74  	 U79285_at  	 N-myristoyltransferase 1  	 U79285  	
 67  	 0.0006539  	 340.0  	 626.4  	 0.54  	 HG4334-HT4604_s_at  	 Glycogenin - Also Represents: U31525  	 HG4334-HT4604  	
 68  	 0.0006675  	 796.7  	 1613.9  	 0.49  	 Z49254_at  	 mitochondrial ribosomal protein L23  	 Z49254  	
 69  	 0.0006828  	 473.2  	 778.8  	 0.61  	 M99701_at  	 transcription elongation factor A (SII)-like 1  	 M99701  	
 70  	 0.0007017  	 329.8  	 767.8  	 0.43  	 L07758_at  	 nuclear phosphoprotein similar to S. cerevisiae PWP1  	 L07758  	
 71  	 0.000717  	 1597.4  	 2294.7  	 0.70  	 HG3076-HT3238_s_at  	" Heterogeneous Nuclear Ribonucleoprotein K, Alt. Splice 1 -Also Represents: X72727  "	 HG3076-HT3238  	
 72  	 0.0007204  	 690.1  	 1303.1  	 0.53  	 D44466_at  	" proteasome (prosome, macropain) 26S subunit, non-ATPase, 1  "	 D44466  	
 73  	 0.0007226  	 1238.4  	 1913.9  	 0.65  	 L38932_at  	" beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)  "	 L38932  	
 74  	 0.0007392  	 513.4  	 1343.2  	 0.38  	 D38048_at  	" proteasome (prosome, macropain) subunit, beta type, 7  "	 D38048  	
 75  	 0.0007467  	 2850.8  	 5961.4  	 0.48  	 D14710_at  	" ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle  "	 D14710  	
 76  	 0.0007843  	 2866.9  	 5048.8  	 0.57  	 U50523_at  	" actin related protein 2/3 complex, subunit 2, 34kDa  "	 U50523  	
 77  	 0.0007944  	 658.6  	 957.1  	 0.69  	 U57877_at  	" succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa  "	 U57877  	
 78  	 0.0008061  	 2057.9  	 3118.6  	 0.66  	 J04173_at  	 phosphoglycerate mutase 1 (brain)  	 J04173  	
 79  	 0.000815  	 302.9  	 569.2  	 0.53  	 HG884-HT884_s_at  	" Oncogene E6-Ap, Papillomavirus -Also Represents: U84404  "	 HG884-HT884  	
 80  	 0.0008523  	 2737.6  	 4497.4  	 0.61  	 L10284_at  	 calnexin  	 L10284  	
