ProbeID	Gene Symbol	Gene Description	GenBank	GO	EntrezID	RefSeq	Cluster	p-value	log2(Moil_3h/DMSO)	log2(Moil_6h/DMSO)	log2(Moil_12h/DMSO)	log2(Moil_24h/DMSO)	log2(Moil_48h/DMSO)
GI_38091019-S	NA	NA	XM_125946	NA	NA	NA	1	0.016910152	0.043940451	0.331304319	-0.427980627	-0.005929328	-0.563657707
1997-S	Hspa4l	heat shock protein 4 like	AK032066	GO:0000166; GO:0005524; GO:0005524; GO:0005634; GO:0005634; GO:0005737; GO:0006457; GO:0006457; GO:0006986; GO:0006986	18415	NM_011020; NM_011020; NP_035150	1	0.039777096	0.496859214	0.310217073	-0.442458835	0.140944328	0.224844505
967-S	Rnf170	ring finger protein 170	AK020104	GO:0005515; GO:0006512; GO:0008270; GO:0016020; GO:0016021; GO:0019867; GO:0046872	77733	NM_029965; NM_029965; NP_084241	1	0.047361612	-0.382056441	0.222848583	-0.5422722	-0.140222608	-0.303262589
2302-S	Scly	selenocysteine lyase	AK036533	GO:0008152; GO:0008483; GO:0016829	50880	NM_016717; NM_016717; NP_057926	1	0.005313674	-1.131517203	1.074699268	-1.738540416	-0.157545924	0.088108424
1386-S	Rpap1	RNA polymerase II associated protein 1	AK042776	GO:0005515; GO:0008150; GO:0030880	68925	NM_177294; NM_177294; NP_796268	1	0.016592574	0.133300138	0.329217544	-0.408002882	0.160512797	-0.137389637
3804-S	Nid1	nidogen 1	AK049585	GO:0005509; GO:0005515; GO:0005578; GO:0005604; GO:0005604; GO:0005604; GO:0005615; GO:0007155; GO:0007160; GO:0008218; GO:0016020; GO:0018298	18073	NM_010917; NM_010917; NP_035047	1	0.019761855	0.289957054	0.125814549	-0.217551731	0.072586254	0.06216694
2050-S	Msi2	Musashi homolog 2 (Drosophila)	AK051269	GO:0000166; GO:0003676; GO:0003723; GO:0003727; GO:0005737; GO:0005844; GO:0008150; GO:0008266	76626	NM_054043; NM_054043; NP_473384	1	0.021813991	1.165336081	0.925010558	-1.486436411	0.142328707	-0.003501557
scl0001127.1_28-S	Zxdc	ZXD family zinc finger C	NM_030260	GO:0003676; GO:0003677; GO:0005622; GO:0008270; GO:0046872	80292	NM_030260; NM_030260; NP_084536; NM_173002; NP_766590	1	0.044630271	0.130103579	0.166960919	-0.612444925	-0.339339267	0.247681634
scl0001364.1_49-S	NA	NA	XM_122180	NA	NA	NA	1	0.029735907	-0.154495886	0.105616286	-0.309493247	-0.155597605	0.084408784
scl0001585.1_28-S	Hdac5	histone deacetylase 5	NM_010412	GO:0000122; GO:0003714; GO:0005515; GO:0005515; GO:0005634; GO:0006350; GO:0006355; GO:0007507; GO:0016564; GO:0016568; GO:0016604; GO:0016787; GO:0045892	15184	NM_001077696; NM_001077696; NP_001071164; NM_010412; NP_034542	1	0.037293634	-0.489280387	0.238504554	-0.920906882	-0.021276239	0.32774806
