Chromosome	Gene	Affy	weights
7	PTPRZ1	204469_at	-0.0677
7	FLJ35834	1568924_a_at	0.214
7	ASB15	1564679_at	0.108
7	WASL	224813_at	0.448
7	WASL	205809_s_at	0.584
7	WASL	205810_s_at	0.515
7	WASL	230340_s_at	0.449
7	NA	227010_at	0.41
7	NA	231125_at	0.712
7	HYAL4	220249_at	0.646
7	GPR3	214586_at	0.608
7	GPR3	209631_s_at	0.227
7	POT1	204354_at	0.768
7	POT1	204353_s_at	-0.13
7	GRM8	1556800_a_at	1.29
7	MGC2345	231844_at	0.502
7	IMPDH1	204169_at	0.737
7	IRF5	239412_at	-0.0865
7	TNPO3	212317_at	0.676
7	TNPO3	212318_at	1.03
7	TNPO3	214550_s_at	0.81
7	MAP2K2	202424_at	0.597
7	TSPAN33	225775_at	0.179
7	KIAA0828	212814_at	-0.0546
7	FAM40B	1555292_at	0.408
7	FAM40B	231880_at	0.148
7	LOC641819	235967_at	0.793
7	NRF1	1570314_at	-0.262
7	NRF1	211279_at	1.13
16	HBM	240336_at	0.419
16	LUC7L	223295_s_at	0.54
16	ITFG3	224749_at	0.232
16	ARHGDIG	206888_s_at	0.675
16	MRPL28	204599_s_at	0.141
16	DECR2	219664_s_at	0.836
16	SOLH	230295_at	0.485
16	Corf34	212109_at	0.382
16	Corf34	212115_at	0.00292
16	NME3	204862_s_at	1.04
16	MRPS34	218112_at	0.589
16	EME2	1569868_s_at	0.443
16	SPSB3	46256_at	0.468
16	NUBP2	218227_at	0.801
16	HAGH	205012_s_at	0.193
16	FAHD1	226767_s_at	0.568
16	FAHD1	227960_s_at	0.743
16	MGC35212	237265_at	0.167
16	SEPX1	217977_at	0.0385
16	NDUFB10	228301_x_at	0.988
16	Corf68	218945_at	1.54
16	ABAT	206527_at	-0.187
16	Corf51	204676_at	0.632
16	PMM2	203201_at	0.867
16	CARHSP1	224910_at	0.873
16	CARHSP1	218384_at	0.556
16	CARHSP1	1566135_at	0.121
16	USP7	222032_s_at	0.736
16	USP7	201498_at	1.62
16	USP7	201499_s_at	0.455
16	USP7	230761_at	0.62
16	NA	236260_at	0.647
16	NA	1555237_at	0.872
16	PRO0149	225183_at	1.5
16	PRO0149	238011_at	0.517
16	PRO0149	217682_at	0.89
16	PRO0149	225197_at	0.0997
16	PRO0149	228373_at	0.388
16	ATF7IP2	219870_at	-0.0374
16	EMP2	225078_at	0.00665
16	EMP2	204975_at	-0.0688
16	NUBP1	203978_at	-0.11
16	CIITA	210925_at	0.402
16	KIAA0350	212786_at	0.102
16	KIAA0350	231221_at	0.901
16	PRM1	206358_at	0.348
16	MGC24665	226456_at	0.0264
16	NA	244889_at	0.683
16	LITAF	200704_at	0.319
16	TXNDC11	223325_at	0.125
16	GSPT1	215438_x_at	0.693
16	LOC440338	229978_at	0.0924
16	NA	1556619_at	-0.234
16	NA	235215_at	0.04
16	MKL2	1562497_at	-0.0577
16	MKL2	1558777_at	0.33
16	MKL2	218259_at	0.381
16	RRN3	222204_s_at	0.0144
16	ZNF19	213934_s_at	0.179
16	ZNF19	228958_at	0.611
16	ZNF19	234953_x_at	-0.401
16	CHST4	220446_s_at	0.185
16	AP1G1	225754_at	0.218
16	AP1G1	225771_at	-0.122
16	AP1G1	203350_at	0.444
16	CA12	215867_x_at	0.197
16	LOC146517	226095_s_at	-0.269
16	LOC146517	227373_at	0.362
16	KIAA0174	200851_s_at	0.073
16	NA	1562848_at	-0.594
16	DHODH	213632_at	1.1
16	HP	206697_s_at	0.0181
16	HP	208470_s_at	-0.026
16	HPR	208471_at	-0.048
16	TXNL4B	222748_s_at	0.84
16	TXNL4B	218794_s_at	1.16
16	DHX38	209178_at	0.233
16	NA	226137_at	0.222
16	ATBF1	235785_at	1.43
16	PSMD7	201705_at	0.216
16	PSMD7	244515_at	0.273
16	NA	228688_at	0.55
16	LOC146346	225918_at	0.6
16	GLG1	212045_at	1.03
16	GLG1	214730_s_at	0.253
16	GLG1	207966_s_at	1.05
16	MLKL	238025_at	0.0192
16	WDR59	218505_at	-0.00777
16	ZNRF1	223382_s_at	0.793
16	ZNRF1	223383_at	0.408
16	ZNRF1	225959_s_at	0.609
16	ZNRF1	225962_at	0.318
16	ZNRF1	231092_s_at	1.77
16	LDHD	229241_at	0.478
16	ZFP1	234810_at	1.15
16	ZFP1	226807_at	0.0997
16	BCAR1	223116_at	1.2
16	CFDP1	203166_at	0.529
16	NA	236588_at	0.968
16	CFDP1	210701_at	0.121
16	LOC124491	227586_at	0.037
16	LOC124491	228505_s_at	1.18
16	CHST6	223786_at	0.384
16	COTL1	221059_s_at	0.0675
16	CHST5	219182_at	0.174
16	CHST5	64900_at	0.193
16	GABARAPL	2209046_s_at	-0.174
16	ADAT1	219384_s_at	-0.211
16	KARS	200840_at	1.21
16	KARS	200079_s_at	0.058
16	TERF2IP	201174_s_at	0.216
16	RPL18	200022_at	-0.4
16	MAF	206363_at	0.138
16	MAF	209348_s_at	0.172
16	NA	229327_s_at	0.3
20	NA	230294_at	0.0492
20	RALY	201271_s_at	0.268
22	DGCR5	215244_at	0.216
22	DGCR5	1558118_at	0.708
22	DGCR9	215003_at	0.693
22	DGCR5	1563243_at	-0.165
22	DGCR2	214198_s_at	0.637
22	DGCR2	227028_s_at	0.415
22	DGCR11	215725_at	-0.68
22	DGCR12	1566235_at	0.0214
22	NA	217275_at	0.346
22	DGCR13	217285_at	0.269
22	DGCR14	32029_at	0.45
22	DGCR14	204383_at	0.285
22	DGCR14	216285_at	0.833
22	CLTCL1	205944_s_at	0.566
22	MRPL40	203152_at	0.503
22	HIRA	227086_at	0.868
22	DKFZp434N03	223628_at	0.456
22	HIC2	1559600_at	0.0363
22	HIC2	212964_at	0.361
22	HIC2	212965_at	0.671
22	HIC2	212966_at	0.173
22	UBE2L3	200682_s_at	0.0359
22	UBE2L3	200683_s_at	0.0732
22	UBE2L3	200684_s_at	0.782
22	UBE2L3	200676_s_at	0.238
