Gene name	Accession number	Gene Description	FC	Status
Defcr4	NM_001013053	Defensin related cryptdin 4	183.2	Up-regulated
Slc30a2	NM_012890	Solute carrier family 30 (zinc transporter), member 2	71.7	Up-regulated
Lum	NM_031050	Lumican	70	Up-regulated
Mmp12	NM_053963	Matrix metallopeptidase 12	65.1	Up-regulated
Iggc	DQ402472	Immunoglobulin gamma2a constant region	58.8	Up-regulated
Hoxd13	XM_221511	Homeo box D13 (predicted)	50.5	Up-regulated
Igfbp5	BC087030	Insulin-like growth factor binding protein 5	48.4	Up-regulated
CB548350	CB548350	Tenascin C	47	Up-regulated
Msr2	XM_227485	Macrophage scavenger receptor 2 (predicted)	45.7	Up-regulated
Mx2	NM_134350	Myxovirus (influenza virus) resistance 2	43.9	Up-regulated
Aldh1a3	NM_153300	Aldehyde dehydrogenase family 1, subfamily A3	42.8	Up-regulated
Cxcl2	NM_053647	Chemokine (C-X-C motif) ligand 2	39.9	Up-regulated
Mmp7	NM_012864	Matrix metallopeptidase 7	39.4	Up-regulated
Nos2	NM_012611	Nitric oxide synthase 2, inducible	38.1	Up-regulated
S100a8	NM_053822	S100 calcium binding protein A8 (calgranulin A)	36.2	Up-regulated
Igfbp7	XM_214014	Insulin-like growth factor binding protein 7	35.8	Up-regulated
Col12a1	XM_243912	PREDICTED: procollagen, type XII, alpha 1	35.7	Up-regulated
Plod2	NM_175869	Procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	33.4	Up-regulated
S100a9	NM_053587	S100 calcium binding protein A9 (calgranulin B)	31.9	Up-regulated
Ctgf	NM_022266	Connective tissue growth factor	31.5	Up-regulated
Fn1	NM_019143	Fibronectin 1	31.4	Up-regulated
T	XM_217890	T, brachyury homolog (mouse) (predicted)	30	Up-regulated
Sparc	NM_012656	Secreted acidic cysteine rich glycoprotein	29.6	Up-regulated
Cyp26b1	NM_181087	Cytochrome P450, family 26, subfamily b, polypeptide 1	29.4	Up-regulated
Nkd1	XM_001066780	Naked cuticle 1 homolog (Drosophila) (predicted)	29.1	Up-regulated
Slc26a3	NM_053755	Solute carrier family 26, member 3	-502.6	Down-regulated
Mptx	NM_001037642	Mucosal pentraxin	-376.5	Down-regulated
Retnla	NM_053333	Resistin like alpha	-166.9	Down-regulated
Zg16	NM_134409	Zymogen granule protein 16	-105.3	Down-regulated
Clca3	XM_217689	Chloride channel calcium activated 3 (predicted)	-99.1	Down-regulated
Grap	NM_001025749	GRB2-related adaptor protein	-95.2	Down-regulated
Fabp1	NM_012556	Fatty acid binding protein 1, liver	-94.7	Down-regulated
Ceacam20	XM_218430	CEA-related cell adhesion molecule 20 (predicted)	-92.8	Down-regulated
Dpep1	NM_053591	Dipeptidase 1 (renal)	-90.9	Down-regulated
Pbp2	XM_575702	Phosphatidylethanlomine binding protein 2	-90.4	Down-regulated
B4 galt2	XM_242992	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 2 (predicted)	-90	Down-regulated
Apoa1	NM_012738	Apolipoprotein A-I	-80.6	Down-regulated
Olr1611	XM_223954	Olfactory receptor 1611 (predicted)	-80.5	Down-regulated
Dmbt1	XM_577842	PREDICTED: deleted in malignant brain tumours 1 (Dmbt1),	-80	Down-regulated
Muc2	U07615	Mucin 2	-78.7	Down-regulated
Trpm5	XM_344979	Transient receptor potential cation channel, subfamily M, member 5 (predicted)	-73.1	Down-regulated
Chia	NM_207586	Rattus norvegicus chitinase, acidic	-72.7	Down-regulated
Kb15	XM_345877	Type II keratin Kb15	-72.6	Down-regulated
Gpr156	NM_153295	G protein-coupled receptor 156	-71.8	Down-regulated
Pdha2	NM_053994	Pyruvate dehydrogenase E1 alpha 2	-71.3	Down-regulated
Hspa1l	NM_212546	Heat shock 70 kD protein 1-like (mapped)	-71	Down-regulated
Pcdhb13	XM_001055698	PREDICTED: Protocadherin beta 13	-71	Down-regulated
Pcsk4	NM_133559	Proprotein convertase subtilisin/kexin type 4	-70.4	Down-regulated
Masp1	NM_022257	Mannan-binding lectin serine peptidase 1	-70.4	Down-regulated
C1ql1	XM_343971	Complement component 1, q subcomponent-like 1 (predicted)	-70.3	Down-regulated
