Probe_ID	Systemic_name	Symbol	UGCluster	Average_LR_70
10090	AA555029_RC	NA	Hs.100691	0.036888111
1701	AF201951	CFFM4	Hs.11090	-0.101887556
10756	Contig51464_RC	NA	Hs.118944	0.042872333
17352	AL137718	NA	Hs.122164	0.042613111
17224	Contig28552_RC	NA	Hs.122164	0.043394111
23213	Contig25991	ECT2	Hs.122579	-0.033069
23194	Contig32125_RC	NA	Hs.122953	0.013243778
16238	NM_016448	L2DTL	Hs.126774	0.056969444
21697	Contig35251_RC	NA	Hs.143631	-0.043616111
10842	NM_004994	MMP9	Hs.151738	-0.276432889
9171	AF257175	PECI	Hs.15250	0.029428222
8797	NM_006117	PECI	Hs.15250	0.002263667
19709	NM_018354	FLJ11190	Hs.155071	-0.040513889
13145	NM_005915	MCM6	Hs.155462	0.044721111
1944	NM_001809	CENPA	Hs.1594	-0.002674222
2115	Contig32185_RC	NA	Hs.159422	0.072231556
17793	NM_015984	UCH37	Hs.171581	-0.048368333
10904	AL080059	NA	Hs.173094	-0.077848222
21365	NM_000436	OXCT	Hs.177584	0.090316667
5850	AF052162	NA	Hs.179882	0.005411222
18906	NM_000127	EXT1	Hs.184161	-0.015066778
14112	NM_014791	KIAA0175	Hs.184339	0.051927111
7524	NM_003882	WISP1	Hs.194680	-0.027274333
24348	NM_000849	GSTM3	Hs.2006	-0.118552556
1846	NM_003239	TGFB3	Hs.2025	-0.066125444
12442	Contig55377_RC	NA	Hs.218182	-0.107343778
10658	NM_020974	CEGP1	Hs.222399	-0.506336667
16053	Contig46223_RC	NA	Hs.22917	-0.077216444
16531	AK000745	KIAA1067	Hs.243901	0.038297
14907	NM_014889	MP1	Hs.260116	0.001143778
16837	AB037863	KIAA1442	Hs.274307	-0.118961667
15405	NM_016359	LOC51203	Hs.279905	0.058398333
22739	Contig46218_RC	NA	Hs.283127	0.023860333
8994	NM_004702	CCNE2	Hs.30464	0.006048222
14188	Contig38288_RC	NA	Hs.309165	0.021211889
20881	AF073519	SERF1A	Hs.32567	0.006904333
17248	Contig40831_RC	NA	Hs.33106	0.032788444
15318	Contig55725_RC	NA	Hs.333893	-0.068548111
20726	Contig24252_RC	NA	Hs.33818	-0.036704556
8523	NM_003981	PRC1	Hs.344037	-0.055923222
5529	NM_002916	RFC4	Hs.35120	0.007650444
16966	NM_016577	RAB6B	Hs.352530	-0.239104778
5373	NM_020386	LOC57110	Hs.36761	-0.044706556
22706	NM_002019	FLT1	Hs.381093	0.020756222
19059	Contig63649_RC	NA	Hs.406513	-0.112947556
16538	Contig20217_RC	NA	Hs.410158	-0.004529222
12587	AF055033	IGFBP5	Hs.416739	-0.236727889
22447	NM_000599	IGFBP5	Hs.416739	-0.339355222
10260	NM_007036	ESM1	Hs.41716	-0.015549667
13324	NM_006681	NMU	Hs.418367	0.040820556
12009	NM_007203	AKAP2	Hs.42322	-0.023605667
10936	AL080079	DKFZP564D0462	Hs.44197	-0.123701
5308	NM_003607	PK428	Hs.44708	-0.090137444
7474	NM_003862	FGF18	Hs.49585	-0.133097667
10243	NM_014321	ORC6L	Hs.49760	0.074520556
7504	NM_003875	GMPS	Hs.5398	-0.042627333
18440	Contig63102_RC	NA	Hs.55918	-0.072869778
8746	NM_006101	HEC	Hs.58169	0.016210556
20335	NM_018401	HSA250839	Hs.58241	-0.015630667
9745	Contig48328_RC	NA	Hs.6295	-0.178072111
20452	Contig2399_RC	SM-20	Hs.6523	-0.019989222
3476	NM_020188	DC13	Hs.6879	0.085439333
23739	NM_000788	DCK	Hs.709	0.092680667
22282	NM_001282	AP2B1	Hs.74626	-0.010915889
2146	X05610	COL4A2	Hs.75617	-0.010625444
15609	NM_006931	SLC2A3	Hs.7594	-0.009738111
6556	NM_003748	ALDH4	Hs.77448	0.062723222
21938	Contig56457_RC	NA	Hs.78531	0.020507222
12695	U82987	BBC3	Hs.87246	-0.086445222
22879	NM_002073	GNAZ	Hs.92002	-0.123662111
