Probe ID	GENE	NAME	Biological Process	Zscore	FC
214687_x_at	ALDOA	aldolase A, fructose-bisphosphate	metabolic process	-12.88	-2.0994035
201101_s_at	BCLAF1	BCL2-associated transcription factor 1	regulation of transcription	-4.548	-3.9077748
205780_at	BIK	BCL2-interacting killer (apoptosis-inducing)	induction of apoptosis	-13.631	-13.623077
217809_at	BZW2	basic leucine zipper and W2 domains 2	regulation of translational initiation	-16.114	-3.055681
221777_at	C12orf52	chromosome 12 open reading frame 52	NA	-4.938	-6.7686275
204695_at	CDC25A	cell division cycle 25 homolog A (S. pombe)	regulation of progression through cell cycle	-2.973	-4.7608696
206533_at	CHRNA5	cholinergic receptor, nicotinic, alpha 5	transport	-25.569	-3.5083144
206185_at	CRYBB1	crystallin, beta B1	visual perception	-8	-11.345345
202937_x_at		CGI-96 protein	NA	-2.536	-3.9650986
219328_at	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31	NA	-2.402	-4.0957746
201478_s_at	DKC1	dyskeratosis congenita 1, dyskerin	regulation of progression through cell cycle	-7.49	-3.6414863
216212_s_at	DKC1	dyskeratosis congenita 1, dyskerin	regulation of progression through cell cycle	-3.6	-6.8414443
200647_x_at	EIF3S8	eukaryotic translation initiation factor 3, subunit 8, 110kDa	translational initiation	-6.229	-2.810933
211787_s_at	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	translation	-11.09	-2.5325046
218695_at	EXOSC4	exosome component 4	RNA processing	-2.599	-3.8507653
202345_s_at	FABP5 /	fatty acid binding protein 5 (psoriasis-associated)	lipid metabolic process	-10.141	-4.9094409
204380_s_at	FGFR3	fibroblast growth factor receptor 3	MAPKKK cascade; skeletal development	-14.746	-4.1766544
219271_at	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	NA	-4.676	-9.4342857
208308_s_at	GPI	glucose phosphate isomerase	carbohydrate metabolic	-13.454	-2.3725146
200598_s_at	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	process protein folding	-8.318	-2.9437294
216449_x_at	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	protein folding	-3.614	-5.6564311
208687_x_at	HSPA8	heat shock 70kDa protein 8	protein folding	-9.192	-2.1817546
210338_s_at	HSPA8	heat shock 70kDa protein 8	protein folding	-6.38	-2.3531494
200806_s_at	HSPD1	heat shock 60kDa protein 1 (chaperonin)	protein folding	-13.021	-2.6769356
205133_s_at	HSPE1	heat shock 10kDa protein 1 (chaperonin 10)	protein folding	-5.967	-2.9735466
204744_s_at	IARS	isoleucyl-tRNA synthetase	translation	-13.347	-2.2747016
205902_at	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	transport	-38.442	-11.700565
212396_s_at	KIAA0090	KIAA0090	NA	-5.361	-4.0614925
210153_s_at	ME2	malic enzyme 2, NAD(+)- dependent, mitochondrial	malate metabolic process	-9.247	-3.0939496
218664_at	MECR	mitochondrial trans-2-enoyl-CoA reductase	fatty acid metabolic process	-4.16	-4.4507227
221286_s_at	MGC29506	hypothetical protein MGC29506	NA	-16.293	-4.7685857
202431_s_at	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	regulation of cell proliferation	-9.337	-3.8867842
222206_s_at	NCLN	nicalin homolog (zebrafish)	protein processing	-48.216	-16.824324
209062_x_at	NCOA3	nuclear receptor coactivator 3	regulation of transcription	-6.077	-5.0058366
201577_at	NME1	non-metastatic cells 1, protein (NM23A) expressed in	GTP biosynthetic process; regulation of apoptosis	-11.056	-2.7143663
221923_s_at	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	intracellular protein transport ; centrosome cycle	-16.131	-2.8534306
201013_s_at	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	purine nucleotide biosynthetic process	-13.995	-2.7359484
201014_s_at	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	purine nucleotide biosynthetic process	-10.937	-4.2608932
201481_s_at	PYGB	phosphorylase, glycogen; brain	carbohydrate metabolic process	-3.423	-5.5689046
213205_s_at	RAD54L2	RAD54-like 2 (S. cerevisiae)	NA	-6.091	-4.7007874
202483_s_at	RANBP1	RAN binding protein 1	spindle organization and biogenesis	-8.356	-2.800464
211955_at	RANBP5	RAN binding protein 5	protein transport	-7.299	-3.7969231
216360_x_at	RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)	NA	-2.808	-4.2506297
216913_s_at	RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)	NA	-3.143	-7.419214
204133_at	RRP9	RRP9, small subunit (SSU) processome component, homolog (yeast)	rRNA processing	-9.295	-10.423729
211162_x_at	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	lipid metabolic process	-6.662	-15.764516
211708_s_at	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	lipid metabolic process	-7.944	-5.8237965
208863_s_at	SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	mRNA processing	-7.147	-3.8212545
200754_x_at	SFRS2	splicing factor, arginine/serine-rich 2	mRNA processing	-4.359	-2.202939
214882_s_at	SFRS2	splicing factor, arginine/serine-rich 2	mRNA processing	-10.561	-2.560161
202899_s_at	SFRS3	splicing factor, arginine/serine-rich 3	mRNA processing	-7.668	-2.7572276
214141_x_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	mRNA processing	-13.206	-3.8248301
203832_at	SNRPF	small nuclear ribonucleoprotein polypeptide F	mRNA processing	-3.581	-2.7466158
201563_at	SORD	sorbitol dehydrogenase	sorbitol metabolic process	-18.386	-5.161442
201516_at	SRM	spermidine synthase	spermidine biosynthetic	-10.331	-4.0510949
220789_s_at	TBRG4	transforming growth factor beta regulator 4	process apoptosis	-4.594	-5.8757396
204281_at	TEAD4	TEA domain family member 4	regulation of transcription	-6.915	-5.9674419
206641_at	TNFRSF17/ BCMA	tumor necrosis factor receptor superfamily, member 17	cell proliferation	-18.124	-8.7394705
209825_s_at	UCK2	uridine-cytidine kinase 2	biosynthetic process	-7.231	-4.1626173
