Acccession #	Gene	Function	Fold up	% down
X60114	Cytoplasmic tyrosine kinase (Cyl)	Src-related kinase	6.64	–
X77278	HYL tyrosine kinase	Src-related kinase	6.55	–
AF001434	NEN-1	Tumor suppressor	6.03	–
X94612	Type II cGMP-dependent protein kinase	Ion transport and fluid secretion	5.99	–
U02882	cAMP phosphodiesterase	cAMP regulation	5.74	–
U62800	Cystatin M (CST6)	Inhibition of metastasis	4.24	–
Y14391	Putative GTP-binding protein	G-protein	3.33	–
U09578	MAPKAP kinase (3pK)	MAP kinase p38 substrate	3.27	–
X51345	Jun-B	Nuclear protein	3.27	–
S80864	Cytochrome c-like polypeptide	Tumor marker	2.79	–
Z71621	Wnt-13	Tumor marker	2.73	–
M33011	Carcinoma-associated antigen GA733-2	Tumor marker	2.7	–
X03484	Raf oncogene	Kinase	2.63	–
U68723	Checkpoint suppressor 1	Tumor marker	2.57	–
U24576	Breast tumor autoantigen	Tumor marker	2.18	–
M84820	Retinoid X receptor beta (RXR-beta)	Tumor suppressor	–	79
