UNIQID	GenBank ID	UniGene ID	Gene Description
17273	M16276	Hs.73931	major histocompatibility complex, class II, DQ beta 1
17280	M16276	Hs.73931	major histocompatibility complex, class II, DQ beta 1
25012	U15085	Hs.1162	major histocompatibility complex, class II, DM beta
22102	U15085	Hs.1162	major histocompatibility complex, class II, DM beta
27764	M16276	Hs.73931	major histocompatibility complex, class II, DQ beta 1
28325	M16276	Hs.73931	major histocompatibility complex, class II, DQ beta 1
19386	X62744	Hs.77522	major histocompatibility complex, class II, DM alpha
17804	X62744	Hs.77522	major histocompatibility complex, class II, DM alpha
27585	X00452	Hs.198253	major histocompatibility complex, class II, DQ alpha 1
31787	U15085	Hs.1162	major histocompatibility complex, class II, DM beta
19356	K01144	Hs.84298	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
19373	X00452	Hs.198253	major histocompatibility complex, class II, DQ alpha 1
27573	X00452	Hs.198253	major histocompatibility complex, class II, DQ alpha 1
27587	X00452	Hs.198253	major histocompatibility complex, class II, DQ alpha 1
27766	X00452	Hs.198253	major histocompatibility complex, class II, DQ alpha 1
28178	U15085	Hs.1162	major histocompatibility complex, class II, DM beta
16988	M20430	Hs.352392	major histocompatibility complex, class II, DR beta 5
19327	X00457	Hs.914	major histocompatibility complex, class II, DP alpha 1
24489	M83664	Hs.814	major histocompatibility complex, class II, DP beta 1
28531	X62744	Hs.77522	major histocompatibility complex, class II, DM alpha
27730	K01144	Hs.84298	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
33554	K01144	Hs.84298	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
17711	M20430	Hs.352392	major histocompatibility complex, class II, DR beta 5
24239		NA	NA
24396	M20430	Hs.352392	major histocompatibility complex, class II, DR beta 5
27415	M20430	Hs.352392	major histocompatibility complex, class II, DR beta 5
27842	K01144	Hs.84298	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
27853	K01144	Hs.84298	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
27731	K01171	Hs.76807	major histocompatibility complex, class II, DR alpha
33585	K01171	Hs.76807	major histocompatibility complex, class II, DR alpha
16527	X00457	Hs.914	major histocompatibility complex, class II, DP alpha 1
17262	M83664	Hs.814	major histocompatibility complex, class II, DP beta 1
24394	K01171	Hs.76807	major histocompatibility complex, class II, DR alpha
26940	K01171	Hs.76807	major histocompatibility complex, class II, DR alpha
27841	K01144	Hs.84298	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
28197	X00457	Hs.914	major histocompatibility complex, class II, DP alpha 1
17241	K01171	Hs.76807	major histocompatibility complex, class II, DR alpha
