Gene symbol	Gene/protein identity	Chromosome location
ISGF3G	Interferon-stimulated transcription factor 3, gamma	14q11.2
IL2RG	IL-2 receptor, gamma	Xq13
GZMA	Granzyme A	5q11-q12
PTPN2	Protein tyrosine phosphatase, nonreceptor type 2	18p11.3-p11.2
ITGB2	Integrin beta2; macrophage antigen-1 (mac-1)	21q22.3
ATF1	Activating transcription factor 1	12q13
GAPD	GAPDH	12p13.31-p13.1
ACTG1	Actin-gamma1	17q25.3
TLN1	Talin-1	9p
PRKCSH	Protein kinase C substrate 80K-H	19p13.2-p13.1
VIL2	Villin 2; ezrin	6q25-q26
ECE1	Endothelin-converting enzyme 1	1p36.1
CDKN2A	Cyclin-dependent kinase inhibitor 2A; p16	9p21
FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	14q24.3
