miRNA	Chr	Rel. expression	p value
hsa-mir-200b	1	12.11	<.01
hsa-mir-200a	1	6.99	0.04
hsa-mir-429	1	12.03	0.04
hsa-mir-10b	2	13.58	0.04
hsa-mir-128-1	2	5.43	0.01
hsa-mir-375	2	39.45	<.01
hsa-mir-128-2	3	6.45	0.01
hsa-mir-95	4	40.64	<.01
hsa-mir-206	6	39.17	<.01
hsa-mir-25	7	12.49	<.01
hsa-mir-93	7	10.81	<.01
hsa-mir-106b	7	7.42	<.01
hsa-mir-182	7	30.92	0.01
hsa-mir-96	7	2.37	0.02
hsa-mir-183	7	33.55	0.01
hsa-mir-335	7	13.48	0.04
hsa-mir-200c	12	4.91	<.01
hsa-mir-141	12	1.47	<.01
hsa-mir-17	13	12.35	<.01
hsa-mir-18a	13	6.4	<.01
hsa-mir-19a	13	6.86	<.01
hsa-mir-20a	13	12.49	<.01
hsa-mir-19b-1	13,X	3.68	<.01
hsa-mir-92a-1	13,X	6.4	<.01
hsa-mir-494	14	7.88	<.01
hsa-mir-301a	17	7.18	<.01
hsa-mir-181c	19	0.75	<.01
hsa-mir-181d	19	9.15	<.01
hsa-mir-130b	22	14.06	<.01
hsa-mir-374a	X	22.35	<.01
hsa-mir-363	X	0.47	0.2
hsa-mir-92a-2	X,13	6.4	<.01
hsa-mir-19b-2	X,13	3.68	<.01
hsa-mir-20b	X	20.7	<.01
hsa-mir-18a	X	4.15	<.01
hsa-mir-106a	X	15.18	<.01
hsa-mir-9-1	1,5	58.64	<.01
hsa-mir-7-1	9,15,19	54.35	<.01
hsa-mir-34a	1	0.046	0.09
hsa-mir-214	1	0.009	<.01
hsa-mir-199a-2	1	0.004	0.01
hsa-mir-135b	1	0.028	0.01
hsa-mir-29c	1	0.035	<.01
hsa-mir-29b-2	1,7	0.017	<.01
hsa-mir-302c	4	0.012	0.01
hsa-mir-143	5	0.001	<.01
hsa-mir-145	5	<.001	<.01
hsa-mir-146a	5	0.005	<.01
hsa-mir-133b	6	0.029	0.03
hsa-mir-490	7	0.025	0.03
hsa-mir-29a	7	0.063	<.01
hsa-mir-29b-1	7,1	0.018	<.01
hsa-mir-32	9	0.04	0.03
hsa-mir-199b	9	0.02	0.03
hsa-mir-126	9	0.005	0.02
hsa-mir-511-1	10	0.01	<.01
hsa-mir-125b-1	11,21	0.046	<.01
hsa-mir-100	11	0.019	<.01
hsa-mir-190	15	0.017	0.02
hsa-mir-497	17	0.014	0.02
hsa-mir-451	17	<.001	<.01
hsa-mir-142	17	0.015	<.01
hsa-mir-142	17	0.025	<.01
hsa-mir-338	17	0.059	0.05
hsa-mir-150	19	0.002	<.01
hsa-mir-512-1	19	Ave:0.028	<.01
hsa-mir-296	20	0.019	0.02
hsa-mir-155	21	0.05	<.01
hsa-mir-33a	22	0.03	0.03
hsa-mir-502	X	0.053	0.03
hsa-mir-223	X	0.003	0.01
hsa-mir-222	X	0.186	0.02
hsa-mir-325	X	0.021	<.01
hsa-mir-506	X	0.014	<.01
hsa-mir-514-1	X	0.01	<.01
hsa-mir-224	X	0.037	<.01
