rank	rank (according to supplemental table A)	accession	p-value	gene description
1	1	213317_at	0	Consensus includes gb:AL049313.1 /DEF=Homo sapiens mRNA; cDNA DKFZp564B076 (from clone DKFZp564B076). /FEA=mRNA /DB_XREF=gi:4500086 /UG=Hs.21103 Homo sapiens mRNA; cDNA DKFZp564B076 (from clone DKFZp564B076)
2	2	213122_at	0	Consensus includes gb:AI096375 /FEA=EST /DB_XREF=gi:3446286 /DB_XREF=est:qb91e08.x1 /CLONE=IMAGE:1707494 /UG=Hs.173094 Homo sapiens mRNA for KIAA1750 protein, partial cds
3	3	203038_at	0	gb:NM_002844.1 /DEF=Homo sapiens protein tyrosine phosphatase, receptor type, K (PTPRK), mRNA.  /FEA=mRNA /GEN=PTPRK /PROD=protein tyrosine phosphatase, receptor type, K /DB_XREF=gi:4506316 /UG=Hs.79005 protein tyrosine phosphatase, receptor type, K /FL=gb:L77886.1 gb:NM_002844.1
4	4	205109_s_at	0	gb:NM_015320.1 /DEF=Homo sapiens Rho guanine nucleotide exchange factor (GEF) 4 (ARHGEF4), mRNA.  /FEA=mRNA /GEN=ARHGEF4 /PROD=KIAA1112 protein /DB_XREF=gi:9558722 /UG=Hs.6066 Rho guanine nucleotide exchange factor (GEF) 4 /FL=gb:AF249745.1 gb:NM_015320.1
5	5	221748_s_at	0	Consensus includes gb:AL046979 /FEA=EST /DB_XREF=gi:5435035 /DB_XREF=est:DKFZp586K0617_s1 /CLONE=DKFZp586K0617 /UG=Hs.9973 tensin
6	7	221747_at	0	Consensus includes gb:AL046979 /FEA=EST /DB_XREF=gi:5435035 /DB_XREF=est:DKFZp586K0617_s1 /CLONE=DKFZp586K0617 /UG=Hs.9973 tensin
7	9	201976_s_at	0	gb:NM_012334.1 /DEF=Homo sapiens myosin X (MYO10), mRNA. /FEA=mRNA /GEN=MYO10 /PROD=myosin X /DB_XREF=gi:11037056 /UG=Hs.61638 myosin X /FL=gb:NM_012334.1 gb:AF234532.1 gb:AF247457.2
8	10	204849_at	0	gb:NM_006602.1 /DEF=Homo sapiens transcription factor-like 5 (basic helix-loop-helix) (TCFL5), mRNA.  /FEA=mRNA /GEN=TCFL5 /PROD=transcription factor-like 5 (basichelix-loop-helix) /DB_XREF=gi:5730082 /UG=Hs.30696 transcription factor-like 5 (basic helix-loop-helix) /FL=gb:AB012124.1 gb:NM_006602.1 gb:AF070992.1
9	11	220451_s_at	0	gb:NM_022161.1 /DEF=Homo sapiens livin inhibitor-of-apotosis (LIVIN), mRNA. /FEA=mRNA /GEN=LIVIN /PROD=livin inhibitor-of-apotosis /DB_XREF=gi:11545909 /UG=Hs.256126 baculoviral IAP repeat-containing 7 (livin) /FL=gb:AF311388.1 gb:NM_022161.1
10	12	37986_at	0	Cluster Incl. M60459:Human erythropoietin receptor mRNA, complete cds /cds=(105,1631) /gb=M60459 /gi=182244 /ug=Hs.89548 /len=1818
11	18	203910_at	0	gb:NM_004815.1 /DEF=Homo sapiens PTPL1-associated RhoGAP 1 (PARG1), mRNA. /FEA=mRNA /GEN=PARG1 /PROD=PTPL1-associated RhoGAP 1 /DB_XREF=gi:4758881 /UG=Hs.70983 PTPL1-associated RhoGAP 1 /FL=gb:U90920.1 gb:NM_004815.1
12	20	206231_at	0	gb:NM_002248.2 /DEF=Homo sapiens potassium intermediatesmall conductance calcium-activated channel, subfamily N, member 1 (KCNN1), mRNA.  /FEA=mRNA /GEN=KCNN1 /PROD=potassium intermediatesmall conductancecalcium-activated channel, subfamily N, member 1 /DB_XREF=gi:6631091 /UG=Hs.158173 potassium intermediatesmall conductance calcium-activated channel, subfamily N, member 1 /FL=gb:U69883.2 gb:NM_002248.2
13	36	218625_at	0	gb:NM_016588.1 /DEF=Homo sapiens neuritin (LOC51299), mRNA. /FEA=mRNA /GEN=LOC51299 /PROD=neuritin /DB_XREF=gi:7706122 /UG=Hs.103291 neuritin /FL=gb:BC002683.1 gb:AF136631.1 gb:NM_016588.1
14	42	204615_x_at	0	gb:NM_004508.1 /DEF=Homo sapiens isopentenyl-diphosphate delta isomerase (IDI1), mRNA. /FEA=mRNA /GEN=IDI1 /PROD=isopentenyl-diphosphate delta isomerase /DB_XREF=gi:4758583 /UG=Hs.76038 isopentenyl-diphosphate delta isomerase /FL=gb:NM_004508.1
15	46	203184_at	0	gb:NM_001999.2 /DEF=Homo sapiens fibrillin 2 (congenital contractural arachnodactyly) (FBN2), mRNA.  /FEA=mRNA /GEN=FBN2 /PROD=fibrillin 2 /DB_XREF=gi:4755135 /UG=Hs.79432 fibrillin 2 (congenital contractural arachnodactyly) /FL=gb:U03272.1 gb:NM_001999.2
16	47	206032_at	0	Consensus includes gb:AI797281 /FEA=EST /DB_XREF=gi:5362753 /DB_XREF=est:we86g02.x1 /CLONE=IMAGE:2348018 /UG=Hs.41690 desmocollin 3 /FL=gb:NM_001941.2
17	54	208886_at	0.001	gb:BC000145.1 /DEF=Homo sapiens, H1 histone family, member 0, clone MGC:5241, mRNA, complete cds.  /FEA=mRNA /PROD=H1 histone family, member 0 /DB_XREF=gi:12652786 /UG=Hs.226117 H1 histone family, member 0 /FL=gb:BC000145.1 gb:NM_005318.1
18	60	208881_x_at	0.001	gb:BC005247.1 /DEF=Homo sapiens, isopentenyl-diphosphate delta isomerase, clone MGC:12281, mRNA, complete cds.  /FEA=mRNA /PROD=isopentenyl-diphosphate delta isomerase /DB_XREF=gi:13528899 /UG=Hs.76038 isopentenyl-diphosphate delta isomerase /FL=gb:BC005247.1
19	61	218804_at	0.001	gb:NM_018043.1 /DEF=Homo sapiens hypothetical protein FLJ10261 (FLJ10261), mRNA. /FEA=mRNA /GEN=FLJ10261 /PROD=hypothetical protein FLJ10261 /DB_XREF=gi:8922319 /UG=Hs.26176 hypothetical protein FLJ10261 /FL=gb:NM_018043.1
20	65	213423_x_at	0.001	Consensus includes gb:AI884858 /FEA=EST /DB_XREF=gi:5590022 /DB_XREF=est:wl85f06.x1 /CLONE=IMAGE:2431715 /UG=Hs.71119 Putative prostate cancer tumor suppressor
21	66	212954_at	0.001	Consensus includes gb:AF263541.1 /DEF=Homo sapiens protein kinase DYRK4 (DYRK4) mRNA, partial cds. /FEA=mRNA /GEN=DYRK4 /PROD=protein kinase DYRK4 /DB_XREF=gi:9652079 /UG=Hs.17154 dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
