Gene symbol	Gene Description
ASAHL	N-acylsphingosine amidohydrolase (acid ceramidase)-like
ASGR2	asialoglycoprotein receptor 2
CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
CD1D	CD1D antigen, d polypeptide
CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)
CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
CSF3R	colony stimulating factor 3 receptor (granulocyte)
CSPG2	chondroitin sulfate proteoglycan 2 (versican)
CSTA	cystatin A (stefin A)
CYP4F2	cytochrome P450, subfamily IVF, polypeptide 2
DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)
EFNB3	ephrin-B3
EST	4159 ESTs
EST	4212 ESTs
FCN2	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)
	cAMP response element-binding protein CRE-BPa
ICB-1	basement membrane-induced gene
IL15	interleukin 15
IMPA2	inositol(myo)-1(or 4)-monophosphatase 2
KLF4	Kruppel-like factor 4 (gut)
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
MNDA	myeloid cell nuclear differentiation antigen
NFE2	nuclear factor (erythroid-derived 2), 45kD
PFC	properdin P factor, complement
PRKACA	protein kinase, cAMP-dependent, catalytic, alpha
RNASE2	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)
RNPEP	arginyl aminopeptidase (aminopeptidase B)
S100A1	S100 calcium binding protein A1
S100A12	S100 calcium binding protein A12 (calgranulin C)
SIGLEC5	sialic acid binding Ig-like lectin 5
SULT1A3	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3
TUBB1	tubulin, beta 1
