GenBank Acc. No.	Symbol	Gene Description	Fold Change  C57BL/6J	Fold Change  DBA/2	Fold Change  ICR	Function	Regulation
U12961	Nqo1	NAD(P)Hdehydrogenase,quinone1	3.3	4.7	1.7	Detoxificationenzymes	Upregulated
AV089850	Aldh3a1	Aldehydedehydrogenasefamily3,subfamilyA1	6	5.2	3.8	Detoxificationenzymes	Upregulated
X91864	Gpx2	Glutathioneperoxidase2	2.1	2.1	1.5	Antioxidant	Upregulated
K02588	Cyp1a1	CytochromeP-450,1a1	43.2	18.5	20.5	Oxidoreductaseactivity	Upregulated
X78445	Cyp1b1	CytochromeP-450,1b1	5.1	5.5	3	Oxidoreductaseactivity	Upregulated
Z31362	Npn3	Neoplasticprogression3	1.6	1.6	2.2	DNAbinding	Upregulated
J04181	Actb	beta-Actin,cytoplasmic	1.5	1.7	2.1	Cytoskeleton	Upregulated
AW123191	1110036C17Rik	RIKENcDNA1110036C17gene	1.6	2.7	3.7	Unknown	Upregulated
U20735	Junb	TranscriptionfactorjunB(junB)gene	1.8	1.7	1.6	Transcriptionfactoractivity	Downregulated
AV318045	Pvrl3	Poliovirusreceptor-related3	2.4	2.7	1.9	Celladhesion	Downregulated
