Gene name	U95A probe ID	HU133plus2 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
MBNL	34306_at	201153_s_at	1.281490965	7.30321E-19	gb:NM_021038.1 /DB_XREF=gi:10518339 /GEN=MBNL /FEA=FLmRNA /CNT=345 /TID=Hs.28578.0 /TIER=FL+Stack /STK=88 /UG=Hs.28578 /LL=4154 /DEF=Homo sapiens muscleblind (Drosophila)-like (MBNL), mRNA. /PROD=muscleblind (Drosophila)-like /FL=gb:NM_021038.1 gb:AB007888.1
ADAM10	40797_at	202603_at	1.118213107	2.77392E-09	gb:N51370 /DB_XREF=gi:1192536 /DB_XREF=yz16d01.s1 /CLONE=IMAGE:283201 /FEA=FLmRNA /CNT=172 /TID=Hs.172028.0 /TIER=Stack /STK=22 /UG=Hs.172028 /LL=102 /UG_GENE=ADAM10 /UG_TITLE=a disintegrin and metalloproteinase domain 10 /FL=gb:AF009615.1 gb:NM_001110.1
LGALS1	33412_at	228416_at	-0.076925631	0.758135211	gb:AI149508 /DB_XREF=gi:3677977 /DB_XREF=qc66d01.x1 /CLONE=IMAGE:1714561 /FEA=EST /CNT=15 /TID=Hs.33412.0 /TIER=Stack /STK=10 /UG=Hs.33412 /UG_TITLE=ESTs
S100A10	39338_at	200872_at	2.303215827	3.75827E-18	gb:NM_002966.1 /DB_XREF=gi:4506760 /GEN=S100A10 /FEA=FLmRNA /CNT=382 /TID=Hs.119301.0 /TIER=FL+Stack /STK=181 /UG=Hs.119301 /LL=6281 /DEF=Homo sapiens S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11)) (S100A10), mRNA. /PROD=S100 calcium-binding protein A10 /FL=gb:M81457.1 gb:M38591.1 gb:NM_002966.1
IGFBP7	2062_at	204253_s_at	-0.844777302	6.55156E-05	gb:AA454701 /DB_XREF=gi:2177477 /DB_XREF=zx76e01.s1 /CLONE=IMAGE:809688 /FEA=FLmRNA /CNT=94 /TID=Hs.2062.0 /TIER=Stack /STK=17 /UG=Hs.2062 /LL=7421 /UG_GENE=VDR /UG_TITLE=vitamin D (1,25- dihydroxyvitamin D3) receptor /FL=gb:NM_000376.1 gb:J03258.1 gb:AF026260.1
PLXNC1	32193_at	206470_at	0.880189585	0.000748791	gb:NM_005761.1 /DB_XREF=gi:5032222 /GEN=PLXNC1 /FEA=FLmRNA /CNT=13 /TID=Hs.286229.0 /TIER=FL /STK=0 /UG=Hs.286229 /LL=10154 /DEF=Homo sapiens plexin C1 (PLXNC1), mRNA. /PROD=plexin C1 /FL=gb:AF030339.1 gb:NM_005761.1
PTPRC	40518_at	212588_at	1.175791754	2.9742E-10	gb:Y00062.1 /DB_XREF=gi:34275 /FEA=mRNA /CNT=145 /TID=Hs.170121.1 /TIER=Stack /STK=18 /UG=Hs.170121 /LL=5788 /UG_GENE=PTPRC /UG_TITLE=protein tyrosine phosphatase, receptor type, C /DEF=Human mRNA for T200 leukocyte common antigen (CD45, LC-A).
D12S2489E	36777_at	205821_at	1.639294412	1.10668E-08	gb:NM_007360.1 /DB_XREF=gi:6679051 /GEN=D12S2489E /FEA=FLmRNA /CNT=24 /TID=Hs.74085.0 /TIER=FL /STK=0 /UG=Hs.74085 /LL=22914 /DEF=Homo sapiens DNA segment on chromosome 12 (unique) 2489 expressed sequence (D12S2489E), mRNA. /PROD=NKG2-D type II integral membrane protein /FL=gb:AF260135.1 gb:AF260136.1 gb:NM_007360.1
MPP1	32207_at	202974_at	-0.028378922	0.907767139	gb:NM_002436.2 /DB_XREF=gi:6006024 /GEN=MPP1 /FEA=FLmRNA /CNT=176 /TID=Hs.1861.0 /TIER=FL+Stack /STK=78 /UG=Hs.1861 /LL=4354 /DEF=Homo sapiens membrane protein, palmitoylated 1 (55kD) (MPP1), mRNA. /PROD=palmitoylated membrane protein 1 /FL=gb:BC002392.1 gb:NM_002436.2 gb:M64925.1
SAP18	33859_at	208741_at	0.520539604	0.005668646	gb:AW274856 /DB_XREF=gi:6661886 /DB_XREF=xm61g03.x1 /CLONE=IMAGE:2688724 /FEA=FLmRNA /CNT=321 /TID=Hs.23964.0 /TIER=Stack /STK=16 /UG=Hs.23964 /LL=10284 /UG_GENE=SAP18 /UG_TITLE=sin3-associated polypeptide, 18kD /FL=gb:NM_005870.2 gb:U78303.1 gb:U96915.1 gb:AF153608.1
