ID	Description	P	GenBank accession no.	Cytoband	Genomic imbalance at cytoband in NSCLC	References	More Information
1	thymidine kinase 2, mitochondrial	0.00004	AA429631	16q22	gain(16q22, 45%)	19	High in nonsmokers and low in smokers
2	putative tumor suppressor, 101F6	0.0001	AC_002481	3p21.3	homozygous deletion(3p21.3), loss(3cen-p26, 95%), loss (3cen-p26, >98%)	16, 37, 38	High in nonsmokers and low in smokers
3	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	0.00034	AA987754	6p21.3	loss(6p21.3, 42–69%), gain(6p11-p22, 27%), loss(6cenp25, 100%)	18, 19, 37	High in nonsmokers and low in smokers
4	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B	0.00081	M34480	17q21.32	gain(17q11-q24, 82%), gain(17q21, 37%), loss(17q21, 53%), loss(42%)	19, 39–41	High in nonsmokers and low in smokers
5	ESTs	0.00113	H24302				High in nonsmokers and low in smokers
6	neural cell adhesion molecule 1	0.00122	S71824	11q23.1	loss(11q23-q24, 71%), loss(11q23.2, 54%), loss(11q23)	42–44	High in nonsmokers and low in smokers
7	retinal pigment epithelium-derived rhodopsin homolog, RRH	0.00122	AF012270	4cen-4q12	loss(4q33-q35, 47%), loss(43%), loss(4cen-q35, 100%)	18, 38, 45	High in nonsmokers and low in smokers
8	SELENOPHOSPHATE SYNTHETASE; Human selenium donor protein	0.00129	U34044	Xq13	loss(Xp-q21, 67%)	45	High in nonsmokers and low in smokers
9	sialic acid binding Ig-like lectin 5, SIGLEC5	0.00191	U71383	19q13.3	loss(19q13.3, 39%), loss(19cen-q13.4, 73%), gain(19cenq13.4, 39%)	18, 19, 46	High in nonsmokers and low in smokers
10	EST	0.002	AA663323				High in nonsmokers and low in smokers
11	cytochrome P450, subfamily IID, polypeptide 7a	0.00224	X16866	22q13.2-q13.31	loss(22q13-qter, 57%), loss(22q11.2-q13.1, 75%)	18, 47	High in nonsmokers and low in smokers
12	proliferation-associated 2G4 38kD, PA2G4	0.00227	U59435	12q13	loss(12q24.1, 63%)	47	High in nonsmokers and low in smokers
13	carnitine/acylcarnitine translocase, CACT	0.00228	AA521247	3p21.31	homozygous deletion(3p21.3), loss(3cen-p26, 95%), loss(3cen-p26, >98%)	16, 37, 38	High in nonsmokers and low in smokers
14	hypothetical protein FLJ23443	0.0023	W94201	3p22-p21.33	homozygous deletion(3p21.3), loss(3cen-p26, 95%), loss(3cen-p26, >98%)	16, 37, 38	High in nonsmokers and low in smokers
15	ESTs	0.00234	AA532514				High in nonsmokers and low in smokers
16	chromosome 19 open reading frame 3, C19ORF3	0.00242	AF028824	19p13.1	loss(19p13.2, 75–83%), gain(82%), loss(19p12-p13.2, 77%), loss(19p13.3, 58%)	18, 19, 45, 48	High in nonsmokers and low in smokers
17	EDG4	0.00243	AF011466	19p12	loss(19p13.2, 75–83%), gain(82%), loss(19p12-p13.2, 77%), loss(19p13.3, 58%)	18, 19, 45, 48	High in nonsmokers and low in smokers
18	maternal G10 transcript	0.00025	S77329	7q22.1			High in smokers and low in nonsmokers
19	MCT protein	0.00033	AI336165	Xq22-q24	gain(Xq22-q25, 45%), homozygous deletion(Xq22, 67%)	19, 45	High in smokers and low in nonsmokers
20	3-hydroxyisobutyrate dehydrogenase	0.00041	W95267	7p11.2-p21			High in smokers and low in nonsmokers
21	RAB4, member RAS oncogene family	0.00048	F05353	1q42-q43	gain(1q21.1-q44, 100%), gain(43%)	38, 46	High in smokers and low in nonsmokers
22	ribosomal protein L22, RPL22	0.00055	AA962580	3q26	gain(3q24-qter, 91%), gain(3cen-q29, 35%), gain(3cen-q29, 35%)	19, 37, 46	High in smokers and low in nonsmokers
23	destrin (actin depolymerizing factor)	0.00059	S65738	20p11.23			High in smokers and low in nonsmokers
24	ESTs	0.00069	W23535				High in smokers and low in nonsmokers
25	TATA-binding protein-binding protein	0.00072	N64689	6p21.33	loss(6p21.3, 42–69%), gain(6p11-p22, 27%), loss(6cen-p25, 100%)	18, 19, 37	High in smokers and low in nonsmokers
26	TERF1 (TRF1)-interacting nuclear factor 2	0.00078	AA041364	14q12-q21.3	loss(14q12, 31%), loss(14q21, 18%), loss(14q11-q12, 38%)	18, 19, 40	High in smokers and low in nonsmokers
27	ESTs	0.00096	AA478650				High in smokers and low in nonsmokers
28	tubulin, alpha, ubiquitous	0.00106	AA492218	12q12-q14.3	loss(12q24.1, 63%)	47	High in smokers and low in nonsmokers
29	ESTs	0.00116	H95968				High in smokers and low in nonsmokers
30	Homo sapiens cDNA: FLJ22712 fis, clone HSI13435	0.00128	AI192127				High in smokers and low in nonsmokers
31	Homo sapiens cDNA: FLJ21880 fis, clone HEP02743	0.00149	T71056	9q34.13	loss(90%), loss(9q34, 50%), loss(40%)	37, 38, 45	High in smokers and low in nonsmokers
32	NADH dehydrogenase (ubiquinone) Fe-S protein 4 (18kD)	0.00178	AI131435	5q11.1	loss(5q21, 35%), loss(5cen-q35, 100%)	38, 45	High in smokers and low in nonsmokers
33	ESTs	0.0018	AI206756				High in smokers and low in nonsmokers
34	ESTs	0.0018	N54851				High in smokers and low in nonsmokers
35	glioma tumor suppressor candidate region gene 2, GLTSCR2	0.00182	AA459728	19q13.3	loss(19cen-q13.4, 73%), gain(19cen-q13.4, 39%), loss(19q13.3, 39%)	18, 19, 46	High in smokers and low in nonsmokers
