Deregulated target genes	GenBank ID	TargetScan	miRBD	Pictar	miRanda	No. of sites (predicted by TargetScan)
PELI2	NM_021255	-0.48	64	7.54	468	2
IRAK1	NM_001569	-0.76	87	6.94	156	2
TAGLN2	NM_003564	-0.43	64	-	289	2
ARID3B	NM_006465	-0.49	82	20.42	291	3
MAP3K11	NM_002419	-0.3	55	3.24	150	1
TFAP2C	NM_003222	-0.33	65	3.08	149	1
RASSF5	NM_182663	-0.44	61	4.98	291	3
GPD2	NM_001083112	-0.62	84	3.48	-	2
GLCCI1	NM_138426	-0.7	85	0	303	2
FNDC3B	NM_022763	-0.42	66	1.52	293	1
ASH2 L	NM_004674	-0.44	65	2.93	153	1
FUT8	NM_178155	-0.45	74	0	158	1
