Acc	Name	Symbol
AA598996	solute carrier family 38, member 2	SLC38A2
AI160645	Homo sapiens transcribed sequences	na
AI924306	protein tyrosine phosphatase, receptor type, H	PTPRH
AA629344	Data not found	na
H86812	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	HS3ST1
AA706085	Homo sapiens, Similar to expressed sequence AW111961, clone IMAGE:5268751, mRNA	na
AA402898	caldesmon 1	CALD1
AA610036	Homo sapiens transcribed sequences	na
AI934996	adaptor-related protein complex 4, epsilon 1 subunit	AP4E1
AA857380	Homo sapiens transcribed sequences	na
AA427521	cytokine inducible SH2-containing protein	CISH
AA455911	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ABCB1
AA454609	forkhead box J1	FOXJ1
AI668613	Homo sapiens transcribed sequences	na
AA459410	Homo sapiens cDNA FLJ13383 fis, clone PLACE1001024.	na
AA487557	epithelial protein lost in neoplasm beta	EPLIN
AA702568	Data not found	na
AA622998	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	na
AI186593	chromosome 5 open reading frame 13	C5orf13
AA007305	Homo sapiens transcribed sequences	na
AA778919	pyrimidinergic receptor P2Y, G-protein coupled, 6	P2RY6
AI217376	Homo sapiens transcribed sequences	na
R35649	Data not found	na
AA421754	hypothetical protein FLJ35630	FLJ35630
AI220690	Homo sapiens transcribed sequences	na
AA701154	Data not found	na
AA973521	chromosome 21 open reading frame 87	C21orf87
AA457267	HMP19 protein	HMP19
AA887211	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ABCB1
AA135957	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ABCB1
H67829	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_055301.1 (H.sapiens) neuronal thread protein [Homo sapiens]	na
W84856	angiopoietin 1	ANGPT1
AA886897	Homo sapiens transcribed sequences	na
AI192496	Homo sapiens transcribed sequences	na
AI054096	Homo sapiens transcribed sequences	na
AA608532	Homo sapiens transcribed sequences	na
AA669536	gap junction protein, alpha 5, 40kDa (connexin 40)	GJA5
H60273	beta-site APP-cleaving enzyme	BACE
AI963401	cystatin SN	CST1
AA019320	adducin 2 (beta)	ADD2
N66957	cytochrome P450, family 27, subfamily A, polypeptide 1	CYP27A1
T95052	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	CASP1
AI017667	Homo sapiens transcribed sequences	na
AI336166	branched chain aminotransferase 1, cytosolic	BCAT1
AI266649	Data not found	na
AA486280	tissue inhibitor of metalloproteinase 2	TIMP2
AI081643	Data not found	na
AA629801	UMP-CMP kinase	UMP-CMPK
N30553	pregnancy specific beta-1-glycoprotein 4	PSG4
AI141538	hypothetical protein FLJ36600	FLJ36600
AA609718	hypothetical protein LOC339316	LOC339316
AI309738	Homo sapiens transcribed sequences	na
AI049712	Homo sapiens transcribed sequences	na
AI032049	Homo sapiens cDNA FLJ13439 fis, clone PLACE1002768.	na
AA699782	transcription factor 21	TCF21
N70015	Human mRNA sequence.	na
AA975768	epithelial membrane protein 1	EMP1
H16578	hypothetical protein FLJ23056	FLJ23056
AA970836	absent in melanoma 1-like	AIM1L
AI820530	flavin containing monooxygenase 2	FMO2
AI278041	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	na
R76276	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	ADAMTS1
AA578497	Data not found	na
AI093110	Homo sapiens cDNA FLJ13884 fis, clone THYRO1001534.	na
AI650713	stathmin-like 2	STMN2
R22523	Homo sapiens transcribed sequences	na
AI341796	Homo sapiens transcribed sequences	na
N49263	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1090207	na
AA029596	bone morphogenetic protein 7 (osteogenic protein 1)	BMP7
AA431988	fatty acid amide hydrolase	FAAH
AA284245	hypothetical protein MGC14353	MGC14353
T66312	Homo sapiens transcribed sequences	na
N69648	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_071431.1 (H.sapiens) cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens]	na
AI668672	Homo sapiens transcribed sequence with weak similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli	na
N62538	Homo sapiens transcribed sequences	na
AA011061	bone morphogenetic protein 2	BMP2
AA934401	Homo sapiens cDNA FLJ27139 fis, clone SPL08682	na
W72920	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	SNTB1
R38938	Homo sapiens clone 24850 mRNA sequence	na
