in_house ID	RefSeq ID	annotation
GS3053	NM_012094	Homo sapiens peroxiredoxin 5 (PRDX5), mRNA.
GS10794	NM_002135	Homo sapiens nuclear receptor subfamily 4, group A, member 1 (NR4A1),mRNA.
GS2991	NM_000987	Homo sapiens ribosomal protein L26 (RPL26), mRNA.
LT160	AF031385	Cyr61 protein (CYR61)
GS8548	NM_000853	Homo sapiens glutathione S-transferase theta 1 (GSTT1), mRNA.
GS1338	NM_001997	Homo sapiens Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV)ubiquitously expressed (fox derived); ribosomal proteinS30 (FAU), mRNA.
GS821	NM_000099	Homo sapiens cystatin C (amyloid angiopathy and cerebralhemorrhage) (CST3), mRNA.
GS1416	NM_001003	Homo sapiens ribosomal protein, large, P1 (RPLP1), mRNA.
GS4620	NM_005016	Homo sapiens poly(rC) binding protein 2 (PCBP2), transcript variant1, mRNA.
GS1655	NM_145792	Homo sapiens microsomal glutathione S-transferase 1 (MGST1),transcript variant 1a, mRNA.
GS15772	NM_004309	Homo sapiens Rho GDP dissociation inhibitor (GDI) alpha (ARHGDIA),mRNA.
GS214	NM_003190	Homo sapiens TAP binding protein (tapasin) (TAPBP), transcriptvariant 1, mRNA.
GS697	NM_004640	Homo sapiens HLA-B associated transcript 1 (BAT1), transcript variant1, mRNA.
GS4954	NM_004643	Homo sapiens poly(A) binding protein, nuclear 1 (PABPN1), mRNA.
GS2770	NM_005567	Homo sapiens lectin, galactoside-binding, soluble, 3 binding protein(LGALS3BP), mRNA.
LT22	NM_003235	thyroglobulin
GS3913	NM_004039	Homo sapiens annexin A2 (ANXA2), mRNA.
GS3092	NM_001675	Homo sapiens activating transcription factor 4 (tax-responsiveenhancer element B67) (ATF4), mRNA.
LT10	NM_013952	paired box gene 8, isoform PAX8C
GS11716	NM_004184	Homo sapiens tryptophanyl-tRNA synthetase (WARS), mRNA.
GS4084	NM_002085	Homo sapiens glutathione peroxidase 4 (phospholipidhydroperoxidase) (GPX4), mRNA.
GS15309	NM_170784	Homo sapiens McKusick-Kaufman syndrome (MKKS), transcript variant 2,mRNA.
GS7432	NM_030981	Homo sapiens RAB1B, member RAS oncogene family (RAB1B), mRNA.
GS2427	NM_000591	Homo sapiens CD14 antigen (CD14), mRNA.
GS2848	NM_001280	Homo sapiens cold inducible RNA binding protein (CIRBP), mRNA.
GS2289	NM_170746	Homo sapiens selenoprotein H (SELH), mRNA.
GS15768	NM_022489	Homo sapiens hypothetical protein FLJ22056 (FLJ22056), mRNA.
GS1311	NM_003143	Homo sapiens single-stranded DNA binding protein (SSBP1), mRNA.
GS2260	NM_005340	Homo sapiens histidine triad nucleotide binding protein 1 (HINT1),mRNA.
GS7705	NM_057180	Homo sapiens vacuolar protein sorting 29 (yeast) (VPS29) transcriptvariant 2, mRNA.
GS2695	NG_001019	Homo sapiens immunoglobulin heavy locus (IGH.1@) on chromosome 14.
LT120	NM_002716	PPP2R1B(protein phosphatase 2 (formerly 2A), regulatory)
GS15764	NM_017567	Homo sapiens N-acetylglucosamine kinase (NAGK), mRNA.
GS502	NM_001687	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1complex, delta subunit (ATP5D), mRNA.
GS138	NM_002954	Homo sapiens ribosomal protein S27a (RPS27A), mRNA.
GS2683	NM_153280	Homo sapiens ubiquitin-activating enzyme E1 (A1S9T and BN75temperature sensitivity complementing) (UBE1), transcriptvariant 2, mRNA.
GS14737	NM_003479	Homo sapiens protein tyrosine phosphatase type IVA, member 2(PTP4A2), transcript variant 1, mRNA.
GS4126	NM_004587	Homo sapiens ribosome binding protein 1 homolog 180kDa (dog) (RRBP1),mRNA.
GS11566	NM_012068	Homo sapiens activating transcription factor 5 (ATF5), mRNA.
GS1049	NM_002124	Homo sapiens major histocompatibility complex, class II, DR beta 1(HLA-DRB1), mRNA.
GS1923	NM_005561	Homo sapiens lysosomal-associated membrane protein 1 (LAMP1), mRNA.
GS4054	NM_001862	Homo sapiens cytochrome c oxidase subunit Vb (COX5B), nuclear geneencoding mitochondrial protein, mRNA.
GS421	NM_021109	Homo sapiens thymosin, beta 4, X chromosome (TMSB4X), mRNA.
GS116	NM_033625	Homo sapiens ribosomal protein L34 (RPL34), transcript variant 2,mRNA.
GS15673	NM_170705	Homo sapiens isoprenylcysteine carboxyl methyltransferase (ICMT),transcript variant 2, mRNA.
GS6889	NM_006816	Homo sapiens chromosome 5 open reading frame 8 (C5orf8), mRNA.
GS4090	NM_153822	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase,4 (PSMD4), transcript variant 2, mRNA.
GS14689	NA	NA
LT83	NM_004448	ERBB2(v-erb-b2 erythroblastic leukemia viral oncogene)
GS3342	NM_003365	Homo sapiens ubiquinol-cytochrome c reductase core protein I(UQCRC1), mRNA.
GS3496	NA	NA
GS2994	NA	NA
GS5099	NM_022664	Homo sapiens extracellular matrix protein 1 (ECM1), transcriptvariant 2, mRNA.
GS15613	NM_020642	Homo sapiens chromosome 11 open reading frame 17 (C11orf17), mRNA.
GS509	NM_080426	Homo sapiens GNAS complex locus (GNAS), transcript variant 2, mRNA.
GS6320	NM_014380	Homo sapiens nerve growth factor receptor (TNFRSF16) associatedprotein 1 (NGFRAP1), mRNA.
GS14843	NM_006247	Homo sapiens protein phosphatase 5, catalytic subunit (PPP5C), mRNA.
GS410	NM_002032	Homo sapiens ferritin, heavy polypeptide 1 (FTH1), mRNA.
GS4571	NM_002999	Homo sapiens syndecan 4 (amphiglycan, ryudocan) (SDC4), mRNA.
