GeneBank ID	Name	Description	Fold	Chromosomal location	Function
NM_000077	CDKN2A	Cyclin-dependent kinase inhibitor 2A	0.138	9p21	Negative regulation of cell proliferation; enzyme inhibitor activity; cell cycle
NM_000090	COL3A1	Collagen, type III, alpha 1	0.044	2q31	Inorganic anion transport; Inflammatory Response Pathway
NM_000765	CYP3A7	Cytochrome P450, family 3, subfamily A, polypeptide 7	0.072	7q21-q22.1	Microsome; response to chemical substance; oxidoreductase activity
NM_001349	DARS	Aspartyl-tRNA synthetase	0.147	2q21.3	protein complex assembly; translation; ligase activity; Alanine and aspartate metabolism
NM_001532	SLC29A2	Solute carrier family 29, member 2	0.159	11q13	Cell proliferation
NM_001904	CTNNB1	catenin (cadherin-associated protein), Beta 1, 88 kDa	0.144	3p21	Cell to Cell Adhesion Signaling; WNT Signaling Pathway; regulation of transcription from RNA polymerase II promoter; leukocyte transendothelial migration
NM_002461	MVD	Mevalonate (diphospho) decarboxylase	0.124	16q24.3	Lipid biosynthesis; lyase activity; kinase activity; steroid metabolism;
NM_002573	PAFAH1B3	Platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit (29 kD)	0.052	19q13.1	Soluble fraction; carboxylic ester hydrolase activity
NM_002865	RAB2A	RAB2, member RAS oncogene family	0.156	8q12.1	Intracellular protein transport; small GTPase mediated signal transduction
NM_003017	SFRS3	Splicing factor, arginine/serine-rich 3	0.166	6p21	RNA splicing
NM_003587	DHX16	DEAD/H box polypeptide 16	0.184	6p21.3	mRNA processing; RNA splicing; helicase activity; regulation of cell cycle
NM_003620	PPM1D	Protein phosphatase 1D magnesium-dependent, delta isoform	0.054	17q23.2	Phosphoprotein phosphatase activity; dephosphorylation; negative regulation of cell proliferation; regulation of cell cycle
NM_004095	EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1	0.124	8p12	Negative regulation of cellular metabolism; translation factors; insulin signaling
NM_005738	ARL4A	ADP-ribosylation factor-like 4	0.108	7p21-p15.3	GTPase activity; small GTPase mediated signal transduction
NM_006191	PA2G4	Proliferation-associated 2G4, 38 kD	0.188	12q13.2	Metallopeptidase activity; cell proliferation;
NM_006770	MARCO	Macrophage receptor with collagenous structure	0.041	2q12-q13	Inorganic anion transport
NM_006821	ACOT2	acyl-CoA thioesterase 2	0.157	14q24.3	Lipid metabolism; coenzyme metabolism; fatty acid metabolism
NM_015922	NSDHL	NAD(P) dependent steroid dehydrogenase-like; H105e3	0.107	Xq28	Lipid biosynthesis; cholesterol biosynthesis; steroid metabolism;
NM_019903	ADD3	Adducin 3 (gamma)	0.104	10q24.2-q24.3	Structural constituent of cytoskeleton; calmodulin binding;
NM_020401	NUP107	Nuclear pore complex protein	0.197	12q15	Protein transport; nuclear transport; endomembrane system;
NM_024027	COLEC11	Collectin sub-family member 11	0.107	2p25.3	Inorganic anion transport; humoral immune response; carbohydrate binding
NM_032603	LOXL3	Lysyl oxidase-like 3	0.091	2p13	Formation of crosslinks in collagens and elastin; may play a role in developmental regulation, senescence, tumor suppression, cell growth control, and chemotaxis
NM_145183	PYCARD	Apoptosis-associated speck-like protein containing a CARD	0.098	16p12-p11.2	Enzyme activator activity; induction of apoptosis; positive regulation of apoptosis
NM_206917	NGFRAP1	Nerve growth factor receptor (TNFRSF16) associated protein 1	0.133	Xq22.2	Apoptosis
NM_207043	ENSA	Endosulfine alpha	0.099	1q21.2	Response to chemical substance
