Regulation	Rank	Gene	C-SD	Accession no.	I-R	Unigene
Up	1	Myx R1 (myxovirus resistance 1, IFN-inducible p78)	+	AF135187	26.4	Hs.76391
Up	2	Interferon-induced protein 56 (tetratricopeptide repeats 1)	NA	NM_001548	24.8	Hs.20315
Up	3	Incyte EST	+	NA	12.1	NA
Up	4	Interferon alpha-inducible protein (clone IFI-6-16)	+	BE407364	9.3	Hs.265827
Up	5	Interferon-induced protein 54 (tetratricopeptide repeats 2)	NA	A1609624	8.2	Hs.169274
Up	6	Myx R2 (myxovirus/influenza virus resistance 2)	NA	M30818	8.2	Hs.926
Up	7	Statherin	NA	M18371	4.3	Hs.37048
Up	8	-Tubulin complex protein 2	+	AF042379	4.2	Hs.13386
Up	9	ESTs	NA	AW021108	3.6	Hs.16450
Up	10	Histatin 3	NA	AW963859	3.5	Hs.177888
Up	11	Interferon-induced protein 75, 52 kDa	NA	AF280095	3.5	Hs.38125
Up	12	Lectin, galactoside binding, soluble, 9 (galectin 9)	NA	AB005894	3.5	Hs.81337
Up	13	Guanylate binding protein 1, interferon inducible, 67 kDa	NA	M55542	3.5	Hs.62661
Up	14	2 –5 oligoadenylate synthetase 2	NA	NM_016817	3.4	Hs.264981
Up	15	IGFBP5 (insulin-like growth factor binding protein 5)	+	AU132011	3.3	Hs.103391
Up	16	Paired basic amino acid cleaving system 4	+	D28513	3.3	Hs.170414
Up	17	IFN-induced hepatitis C virus associated microtubular aggregate	NA	NM_006417	3.2	Hs.82316
Up	18	Interferon-induced transmembrane protein 3 (1-8U)	+	BF033678	3.1	Hs.182241
Up	19	STAT1 (signal transducer and activator of transcription)	$	AA478534	3	Hs.21486
Up	20	RIG-E (lymphocyte antigen 6 complex)	&  +2.4	U42376	3	Hs.77667
Up	24, 28	RDC1 orphan chemokine receptor	+&  +4.6	U67784	+2.8,  +2.6	Hs.23016
Up	26	IFN-induced dsRNA-dependent protein kinase	NA	AW270525	2.6	Hs.274382
Up	38	SISI3 (STAT-induced STAT inhibitor 3)	+	AB006967	2.4	Hs.296176
Up	40	TGF 3, transforming growth factor	+	X14885	2.3	Hs.2025
Down	1	Fibronectin 1	+	AW385690	-13.6	Hs.287820
Down	2	Connective tissue growth factor	+$	U14750	-13.4	Hs.75511
Down	3	BARDI (BRCA1-associated protein 1)	+	NM_006768	-11.9	Hs.122764
Down	4	Matrix Gla protein	$	AV733652	-8.4	Hs.279009
Down	5	Stromal cell-derived factor 1	+	AL137026	-6.2	Hs.237356
Down	6	CD34 antigen	NA	AL035091	-5.3	Hs.85289
Down	7	Cardiac ankyrin repeat protein	+	X83703	-5.2	Hs.74019
Down	8	MMP2 (matrix metalloproteinase 2, type IV collagenase)	+$	J03210	-5.2	Hs.111301
Down	9	Endothelin 1	+	NM_001955	-5.2	Hs.2271
Down	10	TC-1, function unknown	+	AK026240	-5.1	Hs.283683
Down	11	RhoB GDP dissociation inhibitor	$	AV704811	-4.9	Hs.204354
Down	12	Apolipoprotein D	NA	J02611	-4.9	Hs.75736
Down	13	4-Integrin ( 4 subunit of VLA-4 receptor)	+	NM_000885	-4.6	Hs.40034
Down	14	PAI-1 (plasminogen activator inhibitor, type 1)	+$  +3.1	J03764	-4.5	Hs.82085
Down	15	Placental growth factor; VEGF-related protein	$	A1004656	-4.4	Hs.2894
Down	16	Thrombin receptor (coagulation factor II)	&  -3.8	NM_001992	-4.3	Hs.128087
Down	17	TSP1 (thrombospondin 1)	+	NM_003246	-4.2	Hs.87409
Down	18	1-Catenin (cadherin-associated protein)	$(&  -4.0)	Z19054	-4.1	Hs.171271
Down	19	Biglycan	+	U82695	-4.1	NA
Down	20	IGFBP10 cysteine-rich angiogenic inducer 61 (cyr61)	+$	Z98053	-4	Hs.8867
Down	25	DROC downregulated ovarian cancer	+	NM_014890	-3.6	NA
Down	28	Rho GDP dissociation inhibitor	&	L07916	-3.4	Hs.83656
Down	40	Angiopoietin 2	NA	NM_001147	-2.7	Hs.288204
