Gene name	Abbreviated name	GenBank accession
Equilibrative nucleoside transporter 1	ENT1	NM_004955
Equilibrative nucleoside transporter 2	ENT2	AF034102
P-glycoprotein	MDR1	NM_000927
Multidrug resistance-associated protein 1	MRP1	L05628
Heat shock protein 27	Hsp27	NM_001540
Topoisomerase 1	TOP1	J03250
Topoisomerase 2 alpha	TOP2A	NM_001067
Topoisomerase 2 beta	TOP2B	X68060
Thymidylate synthase	TS	NM_001071
Dihydropynmidine dehydrogenase	DPD	U09178
Thymidine phosphorylase	TP	M63193
Uridine phosphorylase	UP	NM_003364
Orotate phosphoribosyltransferase	OPRT	NM_000373
Ribonucleoside-diphosphate reductase M1 subunit	RRM1	X59543
Ribonucleoside-diphosphate reductase M2 subunit	RRM2	NM_001034
Thymidine kinase, soluble	TK1	NM_003258
Uridine cytidine kinase 2	UCK2	AF236637
Nucleosie diphosphate kinase A	NDKA	X17620
Nucleosie diphosphate kinase B	NDKB	L16785
Cytidine deaminase	CDA	L27943
Deoxycytidine kinase	DCK	NM_000788
RNA polymerase 2	RP2	NM_000937
Uridine monophosphate kinase	UMPK	NM_016308
5? Nucleotidase	NT_5	NM_002526
Deoxycytidylate deaminase	DCD	NM_001921
CTP synthase	CTPS	NM_001905
IMP dehydrogenase 1	IMPD	NM_000883
Adenine phosphonbosyltransferase	APRT	NM_000485
Adenosine kinase	AK	U33936
Phosphonbosyl pyrophosphate synthetase	PRPS	D00860
Hypoxanthine phosphonbosyltransferase 1	HPRT1	NM_000194
Methylenetetrahydrofolate dehydrogenase	MTHFD1	NM_005956
Folylpolyghutamate synthetase	FPGS	NM_004957
Uracil-DNA glycosylase	UDG	X15653
Poly (ADP-ribose) polymerase	PARP	NM_001618
DNA ligase I	LIG1	NM_000234
DNA ligase III	LIG3	X84740
DNA ligase IV	LIG4	NM_002312
DNA excision repair protein ERCCÇP	ERCC1	NM_001983
DNA repair protein XRCC1	XRCC1	NM_006297
DNA polymerase b	POLB	NM_002690
DNA polymerase d	POLD	NM_002691
Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	X01677
Beta-actin	ACTB	NM_001101
40S ribosomal protein S9	RSP9	U14971
Proliferating cyclic nuclear antigen	PCNA	NM_002592
VEGF beta	VEGFB	U48801
Integin alpha 3	ITGA3	NM_002204
p53	p53	NM_000546
E2F1	E2F1	M96577
CuZn SOD	SOD1	X02317
Mn SOD	SOD2	NM_000636
