Probe SetID	Gene Symbol	Gene Title
1053_at	RFC2	replication factor C (activator 1) 2, 40kDa
200039_s_at	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2
200076_s_at	C19orf50	chromosome 19 open reading frame 50
200079_s_at	KARS	lysyl-tRNA synthetase
200086_s_at	COX4I1	cytochrome c oxidase subunit IV isoform 1
200628_s_at	WARS	tryptophanyl-tRNA synthetase
200629_at	WARS	tryptophanyl-tRNA synthetase
200670_at	XBP1	X-box binding protein 1
200687_s_at	SF3B3	splicing factor 3b, subunit 3, 130kDa
200711_s_at	SKP1	S-phase kinase-associated protein 1
200718_s_at	SKP1	S-phase kinase-associated protein 1
200719_at	SKP1	S-phase kinase-associated protein 1
200783_s_at	STMN1	stathmin 1
200790_at	ODC1	ornithine decarboxylase 1
200794_x_at	DAZAP2	DAZ associated protein 2
200804_at	TMBIM6	transmembrane BAX inhibitor motif containing 6
200810_s_at	CIRBP	cold inducible RNA binding protein
200811_at	CIRBP	cold inducible RNA binding protein
200875_s_at	NOP56	NOP56 ribonucleoprotein homolog (yeast)
200934_at	DEK	DEK oncogene
200979_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
200980_s_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
201030_x_at	LDHB	lactate dehydrogenase B
201037_at	PFKP	phosphofructokinase, platelet
201041_s_at	DUSP1	dual specificity phosphatase 1
201056_at	GOLGB1	golgin B1, golgi integral membrane protein
201057_s_at	GOLGB1	golgin B1, golgi integral membrane protein
201064_s_at	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form)
201068_s_at	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2
201077_s_at	NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
201088_at	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
201124_at	ITGB5	integrin, beta 5
201125_s_at	ITGB5	integrin, beta 5
201169_s_at	BHLHE40	basic helix-loop-helix family, member e40
201170_s_at	BHLHE40	basic helix-loop-helix family, member e40
201189_s_at	ITPR3	inositol 1,4,5-triphosphate receptor, type 3
201195_s_at	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
201196_s_at	AMD1	adenosylmethionine decarboxylase 1
201197_at	AMD1	adenosylmethionine decarboxylase 1
201201_at	CSTB	cystatin B (stefin B)
201202_at	PCNA	proliferating cell nuclear antigen
201231_s_at	ENO1	enolase 1, (alpha)
201236_s_at	BTG2	BTG family, member 2
201266_at	TXNRD1	thioredoxin reductase 1
201275_at	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase
201276_at	RAB5B	RAB5B, member RAS oncogene family
201305_x_at	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
201306_s_at	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
201311_s_at	SH3BGRL	SH3 domain binding glutamic acid-rich protein like
201327_s_at	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)
201349_at	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1
201360_at	CST3	cystatin C
201362_at	IVNS1ABP	influenza virus NS1A binding protein
201383_s_at	LOC100133166	similar to neighbor of BRCA1 gene 1 /// neighbor of BRCA1 gene 1
201384_s_at	LOC100133166	similar to neighbor of BRCA1 gene 1 /// neighbor of BRCA1 gene 1
201394_s_at	RBM5	RNA binding motif protein 5
201395_at	RBM5	RNA binding motif protein 5
201397_at	PHGDH	phosphoglycerate dehydrogenase
201412_at	LRP10	low density lipoprotein receptor-related protein 10
201455_s_at	NPEPPS	aminopeptidase puromycin sensitive
201479_at	DKC1	dyskeratosis congenita 1, dyskerin
201487_at	CTSC	cathepsin C
201492_s_at	RPL41	ribosomal protein L41
201508_at	IGFBP4	insulin-like growth factor binding protein 4
201516_at	SRM	spermidine synthase
201584_s_at	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
201587_s_at	IRAK1	interleukin-1 receptor-associated kinase 1
201591_s_at	NISCH	nischarin
201596_x_at	KRT18	keratin 18
201658_at	ARL1	ADP-ribosylation factor-like 1
201685_s_at	TOX4	TOX high mobility group box family member 4
201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
201725_at	CDC123	cell division cycle 123 homolog (S. cerevisiae)
201755_at	MCM5	minichromosome maintenance complex component 5
201757_at	NDUFS5	dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) /// ribosomal protein L10
201761_at	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
201770_at	SNRPA	small nuclear ribonucleoprotein polypeptide A
201778_s_at	KIAA0494	KIAA0494
201790_s_at	DHCR7	7-dehydrocholesterol reductase
201791_s_at	DHCR7	7-dehydrocholesterol reductase
201795_at	LBR	lamin B receptor
201825_s_at	SCCPDH	saccharopine dehydrogenase (putative)
201826_s_at	SCCPDH	saccharopine dehydrogenase (putative)
201833_at	HDAC2	histone deacetylase 2
201834_at	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit
201835_s_at	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit
201841_s_at	HSPB1	heat shock 27kDa protein 1
201853_s_at	CDC25B	cell division cycle 25 homolog B (S. pombe)
