Accession No.	Gene Name	Gene Symbol	Fold
U95367	F-Aminobutyric acid (GABA) A receptor, P	GABRP	19
S66896	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	SERPINB3	10.82
AK026652	Peptidyl arginine deiminase, type I	PADI1	7.05
BC041475	Abhydrolase domain containing 7	ABHD7	3.42
BC027956	Sulfotransferase family 1E, estrogen preferring, member 1	SULT1E1	3.05
BC008874	Sine oculis homeobox homologue 1 (Drosophila)	SIX1	3.02
BC019906	Eukaryotic translation initiation factor 2, subunit 3F, 52 kd	EIF2S3	2.73
X03445	Lamin A/C	LMNA	2.66
X87852	Plexin A3	PLXNA3	2.47
BC005995	Hypothetical protein MGC14799	MGC14799	2.45
AK026559	Tropomyosin 3	TPM3	2.29
AJ236915	p21(CDKN1A)-activated kinase 6	PAK6	2.28
AK024972	Hypothetical protein SP192	SP192	2.13
CQ783900	Solute carrier family 4, sodium bicarbonate transporterlike, member 11	SLC4A11	2.12
BC012062	DAZ-associated protein 1	DAZAP1	2.03
BC064940	cytokinelike nuclear factor n-pac	NPAC	1.99
AK091243	Usher syndrome 1G (autosomal recessive)	USH1G	1.98
BC022777	Hypothetical protein FLJ10842	FLJ10842	1.93
BC035725	Synaptotagminlike 1	SYTL1	1.87
BC064560	CGI-96 protein	CGI96	1.86
AX795343	Flotillin 2; hypothetical protein MGC23280 FLOT2;	MGC23280	1.83
BC011677	Src Homology 3 domainYcontaining protein HIP-55	HIP55	1.83
BC011579	Hypothetical protein DKFZp564D0478	DKFZP564D0478	1.79
BC029929	Centaurin, A5	CENTB5	1.74
BC032594	Cytochrome P450, family 2, subfamily J, polypeptide 2	CYP2J2	1.73
X99140	Keratin, hair, basic, 5	KRTHB5	1.69
BC005970	Vaccinia-related kinase 1	VRK1	1.67
BC024738	Zinc finger protein 499	ZNF499	1.66
BC065549	Hypothetical protein FLJ33814	FLJ33814	1.65
BC019906	Eukaryotic translation initiation factor 2, subunit 3F, 52 kd	EIF2S3	1.62
AK130775	High-mobility group nucleosome-binding domain 1	HMGN1	1.61
BX647513	Nucleolar protein 5A (56 kd with KKE/D repeat)	NOL5A	1.6
AX781593	Tumor necrosis factor receptor superfamily, member 5	TNFRSF5	1.6
BC001929	Potassium channel tetramerization domain containing 14	KCTD14	1.6
