Symbol	Name	Keyword	Significance (p-log)	Average signal intensity	Up/down-regulation	Average increase (fold change)
ICAM1	Human intercellular adhesion molecule-1 (ICAM-1) mRNA, CD54	intercellular adhesion molecule-1	1.11E-09	1735	up	2.728
CDC42	Human GTP-binding protein (G25K) mRNA, complete cds	G25K gene; GTP-binding protein G25K	1.49E-08	1958	up	2.451
SMARCA3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3	Characterization of a helicase-like transcription factor involved in the expression of the human plasminogen activator inhibitor-1 gene	3.95E-08	2302	down	0.509
RGS14	Homo sapiens regulator of G protein signaling RGS14 mRNA, complete cds.	Human regulator of G protein signaling 14 (RGS14)	5.44E-08	1280	down	0.513
COX15	Homo sapiens COX15 (yeast) homolog, cytochrome c oxidase assembly protein (COX15)	Identification and characterization of human cDNAs specific to BCS1, PET112, SCO1, COX15, and COX11, five genes involved in the formation and function of the mitochondrial respiratory chain	6.43E-08	1755	down	0.503
AKAP11	A kinase (PRKA) anchor protein 11 (AKAP11); Homo sapiens mRNA for KIAA0629 protein, partial cds	The complete sequences of 100 new cDNA clones from brain which can code for large proteins in vitro	1.68E-07	7551	down	0.479
RIPK2	Homo sapiens serine/threonine kinase RICK (RICK) mRNA; RIP2	RICK, a novel protein kinase containing a caspase recruitment domain, interacts with CLARP and regulates CD95-mediated apoptosis	1.88E-07	1837	up	2.201
TCF17	Homo sapiens HKL1 mRNA, complete cds	Cloning, expression and mapping of a novel human zinc-finger gene TCF17 homologous to rodent Kid1	1.92E-07	1281	down	0.552
CDC25B	Human cdc25B mRNA, complete cds.	B-type cyclin; mitotic cyclin; tyrosine phosphatase	2.40E-07	3006	down	0.525
GZMA	Human Hanukah factor serine protease (HuHF) mRNA (cytotoxic T-lymphocyte-associated serine esterase 3)	Hanukah factor; T-cell-specific serine protease; natural killer cell-specific serine protease; serine protease	2.49E-07	11099	down	0.407
CHST4	Homo sapiens carbohydrate (N-acetylglucosamine 6-O)  sulfotransferase 4 (CHST4)	Sulfotransferases of two specificities function in the reconstitution of high endothelial cell ligands for L-selectin	3.46E-07	1088	down	0.653
IL1R2	H.sapiens IL-1R2 mRNA for type II interleukin-1 receptor, (cell line CB23).	il-1r2 gene; interleukin 1 receptor; interleukin 1 receptor antagonist	4.56E-07	3295	up	6.318
BCL2	Human bcl-2 mRNA; apoptosis regulator bcl2	c-myc proto-oncogene	4.81E-07	3365	down	0.481
CR2	Complement component (3d/Epstein Barr virus) receptor 2; CD21	Genomic organization and polymorphisms of the human C3d/Epstein-Barr virus receptor	5.88E-07	1044	down	0.535
RPA1	Replication protein A1 (70kD)	Characterization of a cDNA encoding the 70-kDa single-stranded DNA-binding subunit of human replication protein A and the role of the protein in DNA replication	6.72E-07	1134	down	0.525
POLR2H	Human RNA polymerase II subunit (hsRPB8) mRNA; polymerase (RNA) II (DNA directed) polypeptide H	ix human RNA polymerase subunits functionally substitute for their yeast counterparts	7.28E-07	4656	down	0.555
E2F5	Human transcription factor E2F-5 mRNA, complete cds	E2F-4 and E2F-5, two members of the E2F family, are expressed in the early phases of the cell cycle	1.00E-06	3517	down	0.5
MAD	Homo sapiens antagonizer of myc transcriptional activity (Mad) mRNA, complete cds	antagonizer of myc transcriptional activity	1.00E-06	1894	up	1.767
RAB7L1	Homo sapiens mRNA for small GTP-binding protein, complete cds	small GTP-binding protein; RAB7L1	1.49E-06	1801	down	0.503
NFATC3	Homo sapiens NF-AT4c mRNA, complete cds	Isolation of two new members of the NF-AT gene family and functional characterization of the NF-AT proteins	1.66E-06	1710	down	0.497
