Gene Symbol	Gene Name
ABP1	Amiloride binding protein 1 (amine oxidase (copper-containing))
ACTC1	Actin, alpha, cardiac muscle 1
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3
ALDH1A2	Aldehyde dehydrogenase 1 family, member A2
ARHGAP20	Rho GTPase activating protein 20
ARMCX1	Armadillo repeat containing, X-linked 1
BDNF	Brain-derived neurotrophic factor
BHLHB3	Basic helix-loop-helix domain containing, class B, 3
BMPER	BMP binding endothelial regulator
C1orf114	Chromosome 1 open reading frame 114
C20orf103	Chromosome 20 open reading frame 103
CACNB2	Calcium channel, voltage-dependent, beta 2 subunit
CAMK1G	Calcium/calmodulin-dependent protein kinase IG
CD40	CD40 molecule, TNF receptor superfamily member 5
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)
CLIC5	Chloride intracellular channel 5
COLEC12	Collectin sub-family member 12
CPA6	Carboxypeptidase A6
CPAMD8	C3 and PZP-like, alpha-2-macroglobulin domain containing 8
CSMD3	CUB and Sushi multiple domains 3
CTSC	Cathepsin C
CTSG	Cathepsin G
CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
CYB5R2	Cytochrome b5 reductase 2
CYP2E1	Cytochrome P450, family 2, subfamily E, polypeptide 1
DARC	Duffy blood group, chemokine receptor
DKK2	Dickkopf homolog 2 (Xenopus laevis)
DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4
DOK5	Docking protein 5
DPP4	Dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)
EDNRA	Endothelin receptor type A
EPHB6	EPH receptor B6
FAM49A	Family with sequence similarity 49, member A
FEV	FEV (ETS oncogene family)
FGF13	Fibroblast growth factor 13
EGFLAM	EGF-like, fibronectin type III and laminin G domains
FST	Follistatin
GNAL	Guanine nucleotide binding protein (G protein)
HFE	Hemochromatosis
HHIP	Hedgehog interacting protein
HPSE2	Heparanase 2
ITGAL	Integrin, alpha L (antigen CD11A (p180))
ITGB2	Integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)
ITGB8	Integrin, beta 8
KLF8	Kruppel-like factor 8
KRT17	Keratin 17
LMOD1	Leiomodin 1 (smooth muscle)
LYNX1	Ly6/neurotoxin 1
MEOX2	Mesenchyme homeobox 2
MKX	Mohawk homeobox
MMEL1	Membrane metallo-endopeptidase-like 1
MPPED2	Metallophosphoesterase domain containing 2
MYH11	Myosin, heavy chain 11, smooth muscle
MYH7	Myosin, heavy chain 7, cardiac muscle, beta
MYL4	Myosin, light chain 4, alkali; atrial, embryonic
MYO6	Myosin VI
MYOM2	Myomesin (M-protein) 2, 165kDa
MYRIP	Myosin VIIA and Rab interacting protein
NCKAP1L	NCK-associated protein 1-like
NR4A3	Nuclear receptor subfamily 4, group A, member 3
OSMR	Oncostatin M receptor
PAGE4	P antigen family, member 4 (prostate associated)
PCDHB5	Protocadherin beta 5
PENK	Proenkephalin
PMP22	Peripheral myelin protein 22
PRKG1	Protein kinase, cGMP-dependent, type I
PTGER3	Prostaglandin E receptor 3 (subtype EP3)
RGC32	Response gene to complement 32
RLN1	Relaxin 1
SATB2	SATB family member 2
SLC1A1	Solute carrier family 1, member 1
SLC40A1	Solute carrier family 40 (iron-regulated transporter), member 1
SLFN11	Schlafen family member 11
SNCA	Synuclein, alpha (non A4 component of amyloid precursor)
SOCS2	Suppressor of cytokine signaling 2
SP8	Sp8 transcription factor
SRPX	Sushi-repeat-containing protein, X-linked
TAC1	Tachykinin, precursor 1 (neurokinin 1, neurokinin 2)
TCF2	Transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor
TGFB1	Transforming growth factor, beta 1 (Camurati-Engelmann disease)
TNC	Tenascin C (hexabrachion)
TNFRSF19	Tumor necrosis factor receptor superfamily, member 19
TRPS1	Trichorhinophalangeal syndrome I
WDR18	WD repeat domain 18
WNT16	Wingless-type MMTV integration site family, member 16
WNT2	Wingless-type MMTV integration site family member 2
WWTR1	WW domain containing transcription regulator 1
