Probe SetID	Gene Symbol	Gene Title
200912_s_at	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2
208827_at	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6
212082_s_at	MYL6	myosin, light chain 6, alkali, smooth muscle and non-muscle
210125_s_at	BANF1	barrier to autointegration factor 1
213444_at	ZNF862	zinc finger protein 862
213111_at	PIP5K3	phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III
214900_at	ZKSCAN1	zinc finger with KRAB and SCAN domains 1
210023_s_at	PCGF1	polycomb group ring finger 1
200695_at	PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform
203522_at	CCS	copper chaperone for superoxide dismutase
204608_at	ASL	argininosuccinate lyase
213949_s_at	DOHH	deoxyhypusine hydroxylase/monooxygenase
202991_at	STARD3	StAR-related lipid transfer (START) domain containing 3
217500_at	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1
200033_at	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5
203117_s_at	PAN2	PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)
220946_s_at	SETD2	SET domain containing 2
201917_s_at	SLC25A36	solute carrier family 25, member 36
208686_s_at	BRD2	bromodomain containing 2
214993_at	ASPHD1	aspartate beta-hydroxylase domain containing 1
201238_s_at	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2
218018_at	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
216940_x_at	YBX1	Y box binding protein 1
203220_s_at	TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
200852_x_at	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2
208373_s_at	P2RY6	pyrimidinergic receptor P2Y, G-protein coupled, 6
217910_x_at	MLX	MAX-like protein X
212608_s_at	NA	NA
206233_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6
213287_s_at	KRT10	keratin 10
203006_at	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa
216022_at	NA	NA
207809_s_at	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1
206894_at	APOA4	apolipoprotein A-IV
209008_x_at	KRT8	keratin 8
213704_at	RABGGTB	Rab geranylgeranyltransferase, beta subunit
213104_at	C16orf42	chromosome 16 open reading frame 42
203314_at	GTPBP6	GTP binding protein 6 (putative)
203667_at	TBCA	tubulin folding cofactor A
202338_at	TK1	thymidine kinase 1, soluble
209903_s_at	ATR	ataxia telangiectasia and Rad3 related
212083_at	TEX261	testis expressed 261
201384_s_at	NBR1	neighbor of BRCA1 gene 1
214643_x_at	BIN1	bridging integrator 1
210070_s_at	CPT1B	carnitine palmitoyltransferase 1B (muscle)
202030_at	BCKDK	branched chain ketoacid dehydrogenase kinase
217189_s_at	SMG7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)
210352_at	BRD8	bromodomain containing 8
221487_s_at	ENSA	endosulfine alpha
203286_at	RNF44	ring finger protein 44
