No	Probe Set ID	Gene Title	Gene Symbol	GO Biologic Process	GO Molecular Function
1	212043_at	Trans-golgi network protein 2	TGOLN2	NA	NA
2	217536_x_at	NA	NA	NA	NA
3	204453_at	Zinc finger protein 84 (HPF2)	ZNF84	Transcription	DNA binding
4	218255_s_at	Fibrosin 1	FBS1	NA	NA
5	220137_at	Hypothetical protein FLJ20674	FLJ20674	NA	NA
6	221939_at	Yip1 domain family, member 2	YIPF2	NA	NA
7	205111_s_at	Phospholipase C, epsilon 1	PLCE1	Activation of MAPK activity	Phosphoinositide phospholipase C activity
8	204836_at	Glycine dehydrogenase	GLDC	Glycine catabolism	Glycine dehydrogenase activity
9	217886_at	Epidermal growth factor receptor pathway substrate 15	EPS15	EGFR signaling pathway	Receptor activity
10	211385_x_at	Sulfotransferase family 1A, member 2	SULT1A2	Catecholamine metabolism	Aryl sulfotransferase activity
11	202871_at	TNF receptor-associated factor 4	TRAF4	Apoptosis	DNA binding
12	202828_s_at	Matrix metalloproteinase 14 (membrane-inserted)	MMP14	Peptidoglycan metabolism	Metalloendopeptidase activity
13	201222_s_at	RAD23 homolog B (S.cerevisiae)	RAD23B	Nucleotide-excision repair	Single-stranded DNA binding
14	213778_x_at	Zinc finger protein 276 homolog (mouse)	ZFP276	Transcription	DNA binding
15	212935_at	MCF2 cell line derived transforming sequence-like	MCF2L	Electron transport	Guanyl-nucleotide exchange factor activity
16	205556_at	Msh homeo box homolog 2 (Drosophila)	MSX2	Skeletal development	Transcription factor activity
17	219054_at	Hypothetical protein FLJ14054	FLJ14054	NA	NA
18	209176_at	NA	NA	NA	NA
19	205560_at	Proprotein convertase subtilisin/kexin type 5	PCSK5	Proteolysis and peptidolysis	Subtilase activity
20	200612_s_at	Adaptor-related protein complex2, beta 1 subunit	AP2B1	Protein complex assembly	Binding
21	221611_s_at	PHD finger protein 7	PHF7	Transcription regulation, DNA-dependent	Ubiquitin-protein ligase activity
22	202548_s_at	Rho guanine nucleotide exchange factor (GEF) 7	ARHGEF7	Signal transduction	Guanyl-nucleotide exchange factor activity
23	217559_at	Ribosomal protein L10-like	RPL10L	Protein biosynthesis	Structural constituent of ribosome
24	215576_at	Unc-51-like-kinase 4 (C.elegans)	ULK4	Protein amino acid phosphorylation	Protein kinase activity
25	202362_at	RAP1A, member of RAS oncogene family	RAP1A	Intracellular protein transport	Nucleotide binding
26	211979_at	G protein-coupled receptor 107	GPR107	NA	NA
27	220692_at	HSPC047 protein	HSPC047	NA	NA
28	216297_at	Hypothetical protein LOC92482	LOC92482	NA	NA
29	210215_at	Transferrin receptor 2	TFR2	Proteolysis and peptidolysis	Receptor activity
30	209331_s_at	MYC associated factor X	MAX	Regulation of transcription, DNA-dependent	DNA binding
31	220005_at	Purinergic receptor P2Y, G-protein coupled, 13	P2RY13	NA	NA
32	214735_at	Phosphoinositide-binding protein PIP3-E	PIP3-E	Response to oxidative stress	Peroxidase activity
33	219504_s_at	Chromosome 1 open reading frame 82	C1orf82	NA	NA
34	208475_at	FERM domain containing 4A	FRMD4A	NA	Binding
35	44696_at	TBC1 domain family, member 13	TBC1D13	NA	GTPase activator activity
36	210036_s_at	Potassium voltage-gated channel, subfamily H, member 2	KCNH2	Two-component signal transduction system	Two-component sensor molecule activity
37	221666_s_at	PYD and CARD domain containing	PYCARD	Induction of apoptosis	Protein binding
38	221984_s_at	Chromosome 2 open reading frame 17	C2orf17	NA	NA
39	204608_at	Argininosuccinate lyase	ASL	Urea cycle	Catalytic activity
40	209430_at	BTAF1 RNA polymerase II, B-TFIID	BTAF1	Negative regulation of transcription	Nucleotide binding
