Accession no.	Gene name	Gene symbol	Biological process	P
AB017189	Solute carrier family 7, member 5	Slc7a5	Amino acid transport	2.2388E?22
AW121568	ESTs, Mus musculus	NA	Protein biosynthesis	1.0486E?20
X56602	Interferon-stimulated protein (15 kDa)	Isg15	Immune response	2.58E?20
U12403	Ribosomal protein L10A	Rpl10a	Ribosome biogenesis	2.58E?20
J04627	Methylenetetrahydrofolate dehydrogenase (NAD+dependent), methenyltetrahydrofolate cyclohydrolase	Mthfd2	Coenzymes and prosthetic group metabolism	6.2103E?20
M94087	Activating transcription factor 4	Atf4	Transcription regulation	3.3841E?19
AI853019	ESTs, Mus musculus	NA	NA	7.6757E?19
AI846797	Tropomodulin 3	Tmod3	Cytoskeleton organization	7.6757E?19
AA711915	ESTs, Mus musculus	NA	Transcription regulation	1.7099E?18
J04509	Jun proto-oncogene-related gene d1	Jund1	Transcription regulation	8.0637E?18
AI643420	Bcl2-associated athanogene 3	Bag3	Apoptosis	1.7094E?17
M31418	Interferon-activated gene 202A	Ifi202a	Immune response	3.5689E?17
AI848393	ESTs, Mus musculus	NA	NA	7.3427E?17
D31956	CD7 antigen	Cd7	Immune response	7.3427E?17
AF022465	High mobility group box 3	Hmgb3	Chromosome organization	7.3427E?17
Z35401	H2A histone family, member X	H2afx	Chromosome organization	1.4895E?16
M12302	Granzyme B	Gzmb	Apoptosis	1.4895E?16
U28656	Eukaryotic translation initiation factor 4E binding protein 1	Eif4ebp1	Protein biosynthesis	1.4895E?16
AI851708	ESTs, Mus musculus	NA	Transcription regulation	2.9806E?16
M28739	Tubulin,  2	Tubb2	Cytoskeleton organization	5.8865E?16
AW048032	ESTs, Mus musculus	NA	Protein biosynthesis	5.8865E?16
AJ245402	Cadherin 15	Cdh15	Cell adhesion	1.1478E?15
M76131	Eukaryotic translation elongation factor 2	Eef2	Protein biosynthesis	1.1478E?15
AA717740	ESTs, Mus musculus	NA	NA	2.2108E?15
AW046963	ESTs, Mus musculus	NA	NA	2.2108E?15
AB025349	Barrier to autointegration factor 1	Banf1	Nucleic acid metabolism	2.2108E?15
AW124889	Pyrroline-5-carboxylate synthetase (glutamate y-semialdehyde synthetase)	Pycs	Amino acid biosynthesis	4.2077E?15
Y00225	Ribosomal protein L3	Rpl3	Ribosome biogenesis	4.2077E?15
AA874329	ESTs, Mus musculus	NA	NA	4.2077E?15
AI847298	ESTs, Mus musculus	NA	NA	4.2077E?15
U75215	Solute carrier family 1, member 4	Slc1a4	Amino acid transport	7.9162E?15
AI846938	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	Herpud1	Stress response	7.9162E?15
L28095	Caspase 1	Casp1	Apoptosis	7.9162E?15
U96700	Serine protease inhibitor 6	Spi6	Protein degradation	1.4727E?14
AW120646	ESTs, Mus musculus	NA	NA	1.4727E?14
M33988	H2A histone family, member X	H2afx	Chromosome organization	2.7101E?14
AI853136	ESTs, Mus musculus	NA	NA	2.7101E?14
AW122030	ESTs, Mus musculus	NA	Amino acid metabolism	2.7101E?14
L57509	Discoidin domain receptor family, member 1	Ddr1	Signal transduction	2.7101E?14
AF055664	DnaJ (Hsp40) homolog, subfamily A, member 1	Dnaja1	Stress response	4.9346E?14
