Clone ID	Size (bp)	Gene identification (% homology)	GenBank accession No.	Chromosomal localization	High expression in
R16-20	82	H3 histone, 3A (100%)	gi/12654576 BQ490690		Cancer
R16-20a	217	Unknown	BQ490691		Cancer
R18-22	188	Unknown	BQ490692	3	Cancer
U5-1	333	KIAA0471 (99%)	gi/7662143 BQ490693	1q24–q25	Cancer
R6-2	339	KIAA0471 (99%)	gi/7662143 BQ490694	1q24–q25	Cancer
U6-5	241	14-3-3 protein (99%)	gi/4507952 BQ490695	2p25.2–p25.1	Cancer
R15-19	65	Unknown	BQ490689	20	Normal
T1-8	167	Unknown	BQ490696	2	Cancer
T2-7	168	GPR56 (98%)	gi/14250619 BQ490697	16q13	Cancer
T3-9	105	TC21(100%)	gi/15341856 BQ490698		Cancer
T19-23	164	Unknown	BQ490699	3	Cancer
T20-24	189	Unknown	BQ490700	7q11.23–q21.1	Cancer
T21-25	115	Unknown	BQ490701	14	Cancer
B1-1	248	Unknown	BQ490674	2	Normal
B2-1	219	Unknown	BQ490683	7q31.3	Cancer
B3-1	188	Clone similar to oncostatin M receptor (100%)	BC010943		Cancer
B4-1	282	Actin alpha2 smooth muscle (98%)	gi/170284466 BQ490685		Cancer
B9-1	197	Sperm protein 17 (98%)	gi/15718773 BQ490679	11	Cancer
B7-1	149	Cytochrome oxidase (100%)	gb/AF004339 BQ490676		Normal
B8-1	96	NADH dehydrogenase (100%)	gb/AF004342 BQ490675		Cancer
B12-1	222	MEMD	gi/3183974		Cancer
C1-1	96	Human 18S ribosomal RNA (93%)	gi/36132 BQ490684		Cancer
C6-1	228	Unknown	BQ490687	21q22.3	Normal
C7-1	212	MASP-2 (97%)	gi/11136974 BQ490688	1p36.2–p36.3	Normal
C11-1	179	Unknown	BQ595858	Xq22.3–q24	Cancer
B9-3-1	202	Unknown	BQ490678	11q	Cancer
