Nr.	Parameter	Gene Symbol	GenBank ID	ID-code	S	NS
5	Glutathionesynthetase	GSS		Hs.82327	–,0	+
10	Bonemorphogeneticprotein7	BMP7		Hs.170195	–,0	+
17	Caspase6cysteineproteinase			Hs.3280	–,0	+
20	Intercellularadhesionmolecule2	ICAM2		Hs.347326	–,0	+
21	Chemokine(C-X3-C)receptor	CX3CR1		Hs.78913	–,0	+
23	CD117(stemcellgrowthfactorreceptor)	KIT		Hs.88411	–,0	+
7	Nuclearreceptorsubfamily3,groupC,member1	NR3C1		Hs.75772	0,+	–
11	HLADP-alpha1	HLA-DPA1	H60848	Hs.914	0,+	–
12	HLADP-alpha1	HLA-DPA1	H62848	Hs.914	0,+	–
13	Solutecarrierfamily2(facilitatedglucosetransport),member3	SLC2A3		Hs.7594	0,+	–
15	IFN-gamma-inducibleprotein30	IFNG		Hs.14623	0,+	–
16	Fructose-1,6,-biphosphatase1	FBP1		Hs.574	0,+	–
18	CD9antigen(p24)	CD9		Hs.1244	0,+	–
19	Adenosinekinase	ADK		Hs.94382	0,+	–
2	LC_28024			NA	–,0	+
3	DKFZP434F2021protein	C3orf17		Hs.78277	–,0	+
4	ESTs			Hs.22635	–,0	+
6	HypotheticalproteinMGC4189			Hs.334808	–,0	+
8	MADhomolog4(Drosophila)	SMAD4		Hs.75862	–,0	+
9	H.sapiensmRNA;cDNADKFZp586L141	DKFZp586L141	AL050136	Hs.140945	–,0	+
22	LC_20218			NA	–,0	+
1	MADhomolog5(Drosophila)	SMAD5		Hs.37501	0,+	–
14	HypotheticalproteinFLJ10116			Hs.79741	0,+	–
24	ESTs,hypotheticalproteinFLJ2024			Hs.159556	0,+	–
