Probe set	Common name	GeneBank	Description
39402_at	IL1B	M15330	interleukin 1, beta
239704_at	IBRDC2	BE274992	IBR domain containing 2
233555_s_at	SULF2	AL034418
231899_at	KIAA1726	AB051513	KIAA1726 protein
230689_at		AA825243	Transcribed sequences
230446_at		AI627850	Transcribed sequences
230276_at	DKFZP566A1524	AI934342	hypothetical protein DKFZp566A1524
228585_at	ENTPD1	AI301948	ectonucleoside triphosphate diphosphohydrolase 1
228056_s_at	NAP1L	AI763426	napsin B pseudogene
228055_at	NAP1L	AI763426	napsin B pseudogene
227970_at	GPR157	AK026883	Similar to RIKEN cDNA F730108M23 gene (LOC400734), mRNA
227867_at	LOC129293	AA005361	hypothetical protein LOC129293
227140_at		AI343467	CDNA FLJ11041 fis, clone PLACE1004405
226841_at	MPEG1	BF590697	macrophage expressed gene 1
226818_at	MPEG1	T64884	macrophage expressed gene 1
226694_at	AKAP2	BG540494	paralemmin 2
226517_at	BCAT1	AL390172	Homo sapiens mRNA; cDNA DKFZp547I204 (from clone DKFZp547I204).
226433_at	RNF157	BF056204	ring finger protein 157
226397_s_at		BG502771	CDNA: FLJ21028 fis, clone CAE07155
226218_at	IL7R	BE217880	interleukin 7 receptor
225897_at	MARCKS	AI709406	myristoylated alanine-rich protein kinase C substrate
225710_at		H99792	CDNA FLJ34013 fis, clone FCBBF2002111
225285_at	BCAT1	AK025615	branched chain aminotransferase 1, cytosolic
224795_x_at		AW575927	Immunoglobulin kappa light chain mRNA, partial cds
224724_at	SULF2	AL133001	sulfatase 2
224654_at	DDX21	BG164358	602341831F1 NIH_MGC_89 Homo sapiens cDNA clone IMAGE:4452270 5, mRNA sequence.
224583_at	COTL1	AL565621	coactosin-like 1 (Dictyostelium)
224428_s_at	CDCA7	AY029179	cell division cycle associated 7
224356_x_at	MS4A6A	AF237908	membrane-spanning 4-domains, subfamily A, member 6A
223484_at	NMES1	AF228422	normal mucosa of esophagus specific 1
223344_s_at	MS4A7	AB026043	membrane-spanning 4-domains, subfamily A, member 7
223343_at	MS4A7	AI301935	membrane-spanning 4-domains, subfamily A, member 7
222862_s_at	AK5	BG169832	adenylate kinase 5
222680_s_at	RAMP	AK001261	RA-regulated nuclear matrix-associated protein
222496_s_at	FLJ20273	AW241742	RNA-binding protein
222146_s_at	TCF4	AK026674	transcription factor 4
221841_s_at	KLF4	BF514079	Kruppel-like factor 4 (gut)
221724_s_at	CLECSF6	AF200738	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6
221671_x_at		M63438	Immunoglobulin kappa light chain mRNA, partial cds
221651_x_at	IGKC	BC005332	Homo sapiens cDNA clone MGC:12418 IMAGE:3934658, complete cds.
221059_s_at	CHST6	NM_021615	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6
220266_s_at	KLF4	NM_004235	Kruppel-like factor 4 (gut)
219947_at	CLECSF6	NM_016184	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6
219593_at	SLC15A3	NM_016582	solute carrier family 15, member 3
219584_at	PLA1A	NM_015900	phospholipase A1 member A
218039_at	NUSAP1	NM_016359	nucleolar and spindle associated protein 1
218035_s_at	FLJ20273	NM_019027	RNA-binding protein
217979_at	TM4SF13	NM_014399	transmembrane 4 superfamily member 13
217764_s_at	RAB31	AF183421	RAB31, member RAS oncogene family
217763_s_at	RAB31	NM_006868	RAB31, member RAS oncogene family
217762_s_at	RAB31	BE789881	RAB31, member RAS oncogene family
217678_at	SLC7A11	AA488687	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
217478_s_at	HLA-DMA	X76775
217414_x_at	HBA2	V00489	Human alpha-globin gene with flanks.
217388_s_at	KYNU	D55639	kynureninase (L-kynurenine hydrolase)
216243_s_at	IL1RN	BE563442	interleukin 1 receptor antagonist
215633_x_at	LST1	AV713720	AV713720 DCB Homo sapiens cDNA clone DCBBJA12 5, mRNA sequence.
215537_x_at	DDAH2	AJ012008
215193_x_at	HLA-DRB3	AJ297586	major histocompatibility complex, class II, DR beta 3
215177_s_at	ITGA6	AV733308	integrin, alpha 6
214945_at	NY-REN-7	AW514267	NY-REN-7 antigen
214414_x_at	HBA2	T50399	hemoglobin, alpha 2
214390_s_at	BCAT1	AI652662	branched chain aminotransferase 1, cytosolic
213975_s_at	LYZ	AV711904	AV711904 DCA Homo sapiens cDNA clone DCAAIE08 5, mRNA sequence.
213891_s_at	TCF4	AI927067	transcription factor 4
213566_at	RNASE6	NM_005615	ribonuclease, RNase A family, k6
213533_at	D4S234E	M98528	Homo sapiens neuron-specific protein gene, last exon, clone D4S234.
213479_at	NPTX2	U26662	neuronal pentraxin II
213415_at	CLIC2	AI768628	chloride intracellular channel 2
213258_at	TFPI	BF511231	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
213002_at	MARCKS	AA770596	myristoylated alanine-rich protein kinase C substrate
212822_at	HEG	AA121502	HEG homolog
212681_at	EPB41L3	AI770004	erythrocyte membrane protein band 4.1-like 3
212671_s_at	HLA-DQA1	BG397856	major histocompatibility complex, class II, DQ alpha 1
212592_at	IGJ	AV733266	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
212387_at	TCF4	BG495771	transcription factor 4
212386_at	TCF4	BF592782	transcription factor 4
212385_at	TCF4	AU118026	transcription factor 4
212382_at	TCF4	BF433429	transcription factor 4
211991_s_at	HLA-DPA1	M27487	major histocompatibility complex, class II, DP alpha 1
211990_at	HLA-DPA1	M27487	major histocompatibility complex, class II, DP alpha 1
211745_x_at	HBA2	BC005931	hemoglobin, alpha 2
211699_x_at	HBA2	AF349571	hemoglobin, alpha 2
211506_s_at	IL8	AF043337	Homo sapiens interleukin 8 C-terminal variant (IL8) mRNA, complete cds.
210982_s_at	HLA-DRA	M60333	major histocompatibility complex, class II, DR alpha
