Gene/protein	Accession number	Change between passages	Function
Von Hippel-Lindau tumor-suppressor protein (VHL)	L15409	2.6	Oncogenes and tumor suppressors
CD27BP (Siva)1	U82938	2	Apoptosis-associated genes
bcl-2 interacting killer (BIK), NBK apoptotic inducer protein, BP4, BIP11	X89986, U34584	2.1	Apoptosis-associated genes
cytotoxic ligand TRAIL receptor1	U90875	2.5	Apoptosis-associated genes
TRAIL, APO-2 ligand (APO2L)	U57059	2.1	Apoptosis-associated genes
CD27 ligand (CD27LG), CD70 antigen	L08096, S69339	2.8	Apoptosis-associated genes
alpha-Catenin related protein (CAPR), alpha2-catenin (CTNNA2), . N-catenin1	M94151	2	Cell adhesion receptor proteins
Integrin alpha9 (ITGA9), integrin alpha-RLC1	D25303, L24158	2.1	Cell adhesion receptor proteins
Desmocollin 2A/2B precursor (DSC2), desmosomal glycoprotein II/III	X56807	2	Cell adhesion receptor proteins
Protein serine/threonine kinase STK1, cell division protein kinase 7 (CDK7), CDK-activating kinase (CAK), 39-kDa protein kinase.1	L20320	2.2	Cell cycle
CDC16HS1	U18291	2.3	Cell cycle
ARK1	D84212	2.4	Cell cycle
P78 putative serine/threonine-protein kinase	M80359	2.5	Cell cycle
E2F dimerization partner 1, DRTF1-polypeptide 1 (DP1)	L23959	2.1	Cell cycle
Transcription factor E2F5	U15642	3	Cell cycle
Glucocorticoid receptor alpha variant1	U25029	2.1	Cell receptors
IL-11, adipogenesis inhibitory factor (AGIF)1	M57765	2.2	Cell receptors
Muscarinic acetylcholine receptor M4 (CHRM4)1	X15265	2.4	Cell receptors
Platelet-derived growth factor receptor alpha  subunit (PDGFRA), CD140A antigen1	M21574	3.7	Cell receptors
signaling lymphocytic activation molecule	U33017	3.5	Cell receptors
IL-4 precursor (IL-4), B-cell stimulatory factor 1 (BSF-1), lymphocyte stimulatory factor 1	M13982	5.2	Cell receptors
Bone morphogenetic protein 2A (BMP2A)1	M22489	2.2	Cell signaling, extracellular communication
Amphiregulin (AR), colorectum cell-derived growth factor (CRDGF)1	M30704	2.2	Cell signaling, extracellular communication
Bone morphogenetic protein 3B precursor (BMP3B), growth differentiation factor 10 (GDF10), bone inducing protein (BIP)1	D49493	2.3	Cell signaling, extracellular communication
Bone morphogenetic protein 3 (BMP3), osteogenin1	M22491	2.8	Cell signaling, extracellular communication
Connective tissue growth factor precursor (CTGF)1	M92934	2.9	Cell signaling, extracellular communication
