subs	gene	avg good xdev	avg poor xdev	correlation	description
NM_003600	STK15	-2.93	2.08	0.8	serine/threonine kinase 6
NM_003158	STK6	-1.57	1.42	0.78	serine/threonine kinase 6
NM_007019	UBCH10	-2.98	2.62	0.81	ubiquitin-conjugating enzyme E2C
NM_013277	ID-GAP	-2.43	2.43	0.77	Rac GTPase activiating protein 1
NM_004336	BUB1	-2.04	1.39	0.77	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
NM_006607	PTTG2	-1.71	1.49	0.72	pituitary tumor-transforming 2
AK001166	FLJ11252	-1.33	0.99	0.71	hypothetical protein FLJ11252
NM_004701	CCNB2	-4.62	2.01	0.81	cyclin B2
Contig57584_RC		-3.68	2.04	0.78	likely ortholog of mouse gene rich cluster. C8 gene
NM_006845	KNSL6	-4.13	1.05	0.73	kinesin-like 6 (mitotic centromere-associated kinesin)
Contig38901_RC		-3.08	1.15	0.75	hypothetical protein MGC45866
NM_018410	DKFZp762E1	-4.38	1.49	0.75	hypothetical protein DKFZp762E1312
NM_003981	PRC1	-3.52	2.17	0.78	protein regulator of cytokinesis 1
NM_001809	CENPA	-5.04	0.98	0.75	centromere protein A. 17kDa
NM_003504	CDC45L	-2.67	1.22	0.73	CDC45 cell division cycle 45-like (S. cerevisiae)
Contig41413_RC		-5.43	2.15	0.74	ribonucleotide reductase M2 polypeptide
NM_004217	STK12	-2.17	0.73	0.72	serine/threonine kinase 12
NM_002358	MAD2L1	-2.65	2.27	0.83	MAD2 mitotic arrest deficiteint-like 1 (yeast)
NM_014321	ORD6L	-2.73	1.8	0.75	origin recognition complex. Subunit 6 homolog-like (yeast)
NM_012291	KIAAD165	-1.52	1.55	0.71	extra spindle poles like 1 (S. cerevisiae)
NM_004203	PKMYT1	-3.64	2.2	0.7	retinoblastoma-like 2 (p130)
M96577	E2F1	-2.14	1.42	0.75	E2F transcription factor 1
NM_002266	KPNA2	-3.77	1.78	0.71	karyopherin alpha 2 (RAG cohort 1. importin alpha 1)
Contig31288_RC		-2.63	0.7	0.68	ESTs. Weakly similar to hypothetical protein FLJ20489 (Ho
NM_014501	E2-EPF	-1.55	1.93	0.7	ubiquitin carrier protein
NM_001168	BIRC5	-5.76	2.01	0.78	baculoviral IAP repeat-containing 5 (survivin)
NM_003258	TK1	-4.57	1.38	0.71	thymidine kinase 1. soluble
NM_001254	CDC6	-2.46	0.28	0.72	CDC6 cell division cycle 6 homolog (S. cerevisiae)
NM_004900		-2.96	0.13	0.69	apolipoprotein B mRNA editing enzyme. Catalytic polypeptide
NM_004702	CCNE2	-3.12	2.13	0.81	cyclin E2
AL160131		-3.07	2.42	0.7	hypothetical protein MGC861
NM_016359	LOO51203	-3.22	2.61	0.76	nucleolar protein ANKT
NM_004856	KNSL5	-1.52	1.1	0.71	kinesin-like 5 (mitotic kinesin-like protein 1)
NM_000057	BLM	-1.54	0.76	0.71	Bloom syndrome
NM_018455	BMC39	-2.44	1.18	0.7	uncharacterized bone marrow protein BM039
NM_002106	H2AFZ	-2.49	1.53	0.72	H2A histone family. Member Z
Contig64688		-2.68	3.1	0.73	hypothetical protein FLJ23468
Contig44289_RC		-1.65	1.6	0.67	ESTs
Contig28552_RC		-1.37	1.53	0.68	disaphanous homolog 3 (Drosophila)
Contig46218_RC		-1.31	1.56	0.68	ESTs. Weakly similar to T19201 hypothetical protein C11G6
Contig28947_RC		-1.3	0.98	0.67	cell division cycle 25A
NM_016095	LOO51659	-1.4	2.13	0.67	HSPC037
NM_003090	SNRPA1	-3.26	0.95	0.7	small nuclear ribonucleoprotein polypeptide A
NM_002811	PSMD7	-2.48	1.89	0.7	proteasome (prosome. Macropain) 26S subunit. Non-ATPase
Contig38288_RC		-2.34	0.97	0.67	hypothetical protein DKFZp762A2013
NM_003406	YWHAZ	-1.5	2.79	0.68	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase a
AL137540	NTN4	2.13	-4.61	-0.69	netrin 4
AL049367		1.9	-3.2	-0.68	EST
NM_013409	FST	1.04	-5.78	-0.69	follistatin
NM_000060	BTD	3.1	-1.45	-0.67	biotinidase
