P-value	Accession number	Gene	Symbol	Expression levels  1pLOH(+)	Expression levels 1pLOH(-)	Expression levels Normal brain	Chromosome
3.02	L12350	Thrombospondin 2	THBS2	167±36	46±9	117±26	6
2.1	AB023202	KIAA0985 protein	KIAA0985	213±77	65±13	519±137	12
2.1	U32439	Regulator of G-protein signaling 7	RGS7	133±32	43±15	320±2	1q
1.86	U79289	Human clone 23695		72±35	22±2	188±11	1q
1.83	S78296	Internexin neuronal intermediate filament protein a	INA	622±182	177±54	825±97	10
1.57	AB020639	Estrogen-related receptor g	ESRRG	66±21	18±12	68±4	1q
1.51	AB018293	KIAA0750 gene product	KIAA0750	67±59	6±3	630±54	11
1.42	AB029029	Myelin transcription factor 1-like	MYT1L	125±70	9±8	303±35	2
1.4	U79242	Human clone 23560		97±33	17±13	127±21	11
1.4	L18983	Protein tyrosine phosphatase, receptor type N	PTPRN	99±81	2±0	628±76	2
1.31	L39833	Potassium voltage-gated channel, shaker-related subfamily	KCNAB1	81±36	23±10	205±29	3
1.25	U01824	Solute carrier family 1, member 2	SLC1A2	52±33	8±7	15±7	11
1.2	M25756	Secretogranin II (Chromogranin C)	SCG2	269±180	62±35	354±16	2
1.18	U94190	Huntingtin-associated protein interacting protein	HAPIP	42±55	2±0	319±95	3
1.18	U78575	Phosphatidylinositol-4-phosphate 5-kinase, type Ia	PIP5K1A	110±41	34±20	92±6	1q
1.08	AA021140	cDNA clone IMAGE 363856		50±46	3±1	85±15	2
1.08	X96381	Ets variant gene 5	ETV5	280±151	77±58	224±71	3
1.07	AF053136	Synuclein b	SNCB	145±147	6±5	741±174	5
1.07	D21267	Synaptosomal-associated protein, 25 kD	SNAP25	553±301	169±117	2167±135	20
1.04	K03000	Aldehyde dehydrogenase 1 family, member A1	ALDH1A1	118±57	16±11	196±86	9
1.02	U52112	L1 cell adhesion molecule	L1CAM	479±273	56±63	498±58	X
1.02	U71364	Serine proteinase inhibitor, clade B, member 9	SERPINB9	58±31	18±21	59±12	6
1.01	U72936	Alpha thalassemia/mental retardation syndrome X-linked	ATRX	166±82	55±65	131±49	X
1.01	D82343	Olfactomedin 1	OLFM1	762±599	236±56	2109±128	9
