Primary SequenceName	AccessionNo.	MeanHYP	MeanSTAT	mHypxmSTAT
AATKb	NM_001080395	8.085192508c	0.419208371d	3.389380384
ABLIM3	NM_014945	6.649144582	0.426638997	2.836784373
ADH1A	NM_000667	0.167966415	2.019030276	0.339129278
ADH1A	NM_000667	0.231080138	2.226025826	0.514390355
ANGPTL4	NM_139314	31.45983155	0.307092850	9.661089326
BNC2	NM_017637	2.349535188	0.479137192	1.125749692
C16orf78	NM_144602	0.501471398	2.068901367	1.037494861
CALB2	NM_001740	33.55977682	0.412261363	13.83539933
CD72	NM_001782	4.753225996	0.403382591	1.917368619
CNN1	NM_001299	2.143496155	0.405801693	0.869834369
EBI3	NM_005755	17.33144061	0.393332038	6.817010850
EFNA1	NM_004428	12.93814775	0.481075561	6.224226688
FGF21	NM_019113	3.191536311	0.328079978	1.047079163
FGG	NM_000509	4.171329662	0.275914383	1.150929851
GLT1D1	NM_144669	7.621011279	0.399096116	3.041515999
HCG4	NR_002139	3.418579404	0.387191733	1.323645684
HMGCLL1	NM_019036	2.456706141	0.408455845	1.003455983
HTR3A	NM_213621	4.450853706	0.434079395	1.932023882
IL21R	NM_181078	7.608334185	0.180035020	1.369766595
JAK3	BC028068	2.418664759	0.444393028	1.074837756
KCNMB4	NM_014505	4.107457716	0.493705933	2.027876243
LCN2	NM_005564	2.432430479	0.317610668	0.772565868
LY96	NM_015364	8.183074746	0.382420550	3.129375943
MAFb	AF055376	3.373622120c	0.488526477d	1.648103730
MAPK4b	X59727	60.05014398c	0.414925830d	24.91635583
MYCT1b	NM_025107	3.398289596c	0.483077899d	1.641638598
NNMT	NM_006169	28.66610466	0.342793814	9.826563336
OR51E2	NM_030774	0.073586722	2.456032870	0.180731407
PECAM1	NM_000442	10.68675702	0.437580990	4.676321721
PLA2G3	NM_015715	3.960428765	0.449291227	1.779385898
PTGS1	NM_000962	5.496247103	0.435281377	2.392414008
SOCS3	NM_003955	30.13365930	0.354334745	10.67740248
SRPX2	NM_014467	4.621833783	0.416867169	1.926690763
STAT3	NM_213662	2.128718329	0.248762483	0.529545258
TNFRSF11A	AB209762	2.400841610	0.487085993	1.169416319
TNS1	NM_022648	9.331115713	0.482862705	4.505647770
TNXB	NM_032470	11.10529609	0.429757704	4.772586553
TSKS	NM_021733	5.177481996	0.324157290	1.678318533
BCLAF1b	NM_014739	0.503805042d	1.283749270c	0.632957814
DFFBb	NM_004402	0.430407334d	1.201755655c	0.518365789
ERN1b	AK055561	2.047796458c	0.965524773c	1.908652475
NALP1 =NLRP1b	NM_033004	0.557328993d	1.288832253c	0.708904005
TRIB3b	NM_021158	2.175000632c	0.783258470d	1.704318640
