GenBank number	Normalized level of expression Normal	Normalized level of expression EAE	Normalized level of expression Recovery	Name	Function
NM_001470	0.5	13.06	1	Gamma-aminobutyric acid (GABA) B receptor, 1	Upregulated genes
X93035	0.53	6.45	1	Chitinase 3-like 1	Upregulated genes
D45889	0.54	4.38	2.95	Chondroitin sulfate proteoglycan 2	Upregulated genes
U91513	0.56	4.01	0.92	Ninjurin 1	Upregulated genes
X56304	0.95	3.91	0.83	Tenascin C	Upregulated genes
Y17860	0.56	3.86	1	Ganglioside differentiation-associated-protein 10	Upregulated genes
D85785	1	3.62	0.72	Brain immunological-like with tyrosine-based motifs	Upregulated genes
X94310	0.56	2.15	0.93	Close homologue of L1	Upregulated genes
AI841689	0.28	1.99	1	Weakly similar to proteolipid protein 2	Upregulated genes
L29454	0.75	1.99	0.83	Fibrillin 1	Upregulated genes
AW061260	0.54	1.94	1	Nestin	Upregulated genes
X02801	0.88	1.86	0.91	Glial fibrillary acidic protein	Upregulated genes
U04827	0.59	1.8	1	Fatty acid binding protein (FABP) 7, brain	Upregulated genes
U57325	0.65	1.86	0.68	Presenilin 2	Upregulated genes
AJ002306	0.39	1.07	1.06	Synaptogyrin 1	Upregulated genes
AJ002307	0.57	1.38	1	Synaptogyrin 2	Upregulated genes
AF019045	3.7	0	1	Solute carrier family 18, member 3	Downregulated genes-(A) Channels and transporters
AJ012569	3.65	0	1	Calcium channel, voltage-dependent, T type	Downregulated genes-(A) Channels and transporters
AF076981	2.06	0.71	1	Solute carrier family 25 (brain), member 14/BMCP1	Downregulated genes-(A) Channels and transporters
AJ225122	2.04	0.76	1	Hyperpolarization-activated, cyclic nucleotide-gated K+2	Downregulated genes-(A) Channels and transporters
U26707	1.52	0.39	0.99	Scn8a	Downregulated genes-(A) Channels and transporters
L42339	1.31	0.49	0.99	Scn2a	Downregulated genes-(A) Channels and transporters
U76716	2.87	1	0.13	Calcium channel, P/Q type, alpha 1A	Downregulated genes-(A) Channels and transporters
AW049961	2	0.53	0.81	Similar to Tenurin	Downregulated genes-(B) Synaptic structure/function
AF060539	2.05	0.57	1	Channel-interacting PDZ domain protein	Downregulated genes-(B) Synaptic structure/function
D37792	1.66	0.69	1.01	Synaptotagmin 1	Downregulated genes-(B) Synaptic structure/function
AI836330	2.22	1	0.63	Synaptotagmin 3	Downregulated genes-(B) Synaptic structure/function
U61751	1.33	0.49	1	VAMP 1	Downregulated genes-(B) Synaptic structure/function
AI838601	1.08	0.61	1	VAMP2	Downregulated genes-(B) Synaptic structure/function
M22012	1.06	0.53	1	SNAP25	Downregulated genes-(B) Synaptic structure/function
M83985	1.61	0.55	1	SNAP91	Downregulated genes-(B) Synaptic structure/function
AF002701	2.69	0.39	0.99	Glial cell derived neurotrophic factor family receptor alpha2	Downregulated genes-(C) Intracellular signaling
AW125433	2.14	0.64	0.93	Weakly similar InB	Downregulated genes-(C) Intracellular signaling
AF020339	2.08	0.74	1	Guanylate cyclase 1, soluble, beta 3	Downregulated genes-(C) Intracellular signaling
U48896	2.46	0.33	1	UDP galatose:ceramide galactosyltransferase	Downregulated genes-(D) Miscellaneous
U29088	2.02	0.57	1	ELAV-like 2 (Hu antigen B)	Downregulated genes-(D) Miscellaneous
AF043276	2.08	0.69	1	Opioid receptor-like	Downregulated genes-(D) Miscellaneous
X14961	2.05	0.74	0.97	Fatty acid binding protein 3	Downregulated genes-(D) Miscellaneous
AJ242625	2.6	0.81	0.86	Dentin matrix protein 1	Downregulated genes-(D) Miscellaneous
X87096	2.04	0.25	1	Brevican	Downregulated genes-(D) Miscellaneous
