Gene	ID	Description
AI732974	AI732974	Homo sapiens cDNA clone IMAGE:1473008 3
AK025430	AK025430	Homo sapiens cDNA FLJ21777 fis, clone HEP00173
AK094860	AK094860	Homo sapiens cDNA FLJ37541 fis, clone BRCAN2026340
ANAPC7	NM_016238	Homo sapiens anaphase promoting complex subunit 7
BC031974	BC031974	Homo sapiens cDNA clone IMAGE:4837645
C17ORF73	ENST00000300458	Homo sapiens mRNA for hypothetical protein FLJ20694 variant, clone: COL06209
HEATR3	NM_182922	Homo sapiens HEAT repeat containing 3
LOC147804	NM_001010856	Homo sapiens hypothetical protein LOC147804
OGT	NM_181672	Homo sapiens O-linked N-acetylglucosamine (GlcNAc) transferase
PRR13	NM_001005354	Homo sapiens proline rich 13 (PRR13)
SNAP29	NM_004782	Homo sapiens synaptosomal-associated protein, 29 kDa
CNPY3	AF161347	Homo sapiens HSPC084 mRNA, partial cds
TPM3	NM_152263	Homo sapiens tropomyosin 3 (TPM3)
