Functional classification and gene accession no.	Functional classification and gene accession no.	Gene	Fold change +- SE	ARE position
Antioxidants	X56824 (X06985)	Heme oxygenase 1A	4.7 +- 0.4	–3928, –3992, –6007, –7103, –8978, –9007, –9036, –9065, –9500
Antioxidants	U38261 (U10116)	Superoxide dismutase 3B	1.7 +- 0.4	–2362, –3171, –5282
Antioxidants	X91864 (X68314)	Glutathione peroxidase 2B	2.7 +- 0.4	–44, –3600
Antioxidants	U13705 (X58295)	Glutathione peroxidase 3B	1.4 +- 0.4	–7144, –9421
Antioxidants	U85414 (M90656)	Gamma glutamylcysteine synthase (catalytic)A	7.6 +- 0.5	–3479, –3524, –5421
Antioxidants	U95053 (L35546)	Gamma glutamylcysteine synthase (regulatory)A	7.3 +- 0.5	–44
Antioxidants	AF090686 (M60396)	Transcobalamine IIB	1.6 +- 0.3	–3751, –6382, –8236
Antioxidants	L39879 (BC004245)	Ferritin light chain 1A	1.5 +- 0.3	–1379
Antioxidants	AI118194 (X67951)	Peroxiredoxin 1B	1.5 +- 0.3	–78, –8413, –9652
Antioxidants	AI851983 (X15722)	Glutathione reductaseB	3.3 +- 0.4	–115, –9433
Antioxidants	AB027565 (X91247)	Thioredoxin reductase 1B	4.3 +- 0.4	–121, –4326, –9521
Antioxidants	Z11911 (X03674)	Glucose-6-phosphate dehydrogenaseB	2.0 +- 0.3	–2504, –2109
Antioxidants	AW120625 (U30255)	Phosphogluconate dehydrogenaseB	2.1 +- 0.4	–757, –3963
Detoxification enzymes	L06047(AF025887)	Glutathione-S-transferase, á1B	2.0 +- 0.3	NF
Detoxification enzymes	J03958 (M16594)	Glutathione-S-transferase, á2A	2.6 +- 0.3	–6662,– 6961, –7751
Detoxification enzymes	X65021	Glutathione-S-transferase, á3B	1.5 +- 0.3	No human homolog
Detoxification enzymes	AI843119 (U90313)	Glutathione-S-transferase, è1B	2.0 +- 0.3	–255
Detoxification enzymes	X53451 (X06547)	Glutathione-S-transferase, ð2B	3.1 +- 0.3	–71
Detoxification enzymes	J03952 (J03817)	Glutathione-S-transferase GT8.7B	1.6 +- 0.3	–1209
Detoxification enzymes	U12961 (J03934)	NADPH: quinone reductase 1A	9.3 +- 0.5	–527
Detoxification enzymes	U20257 (U09623)	Alcohol dehydrogenase 7 (class IV)B	2.8 +- 0.3	–2894
Detoxification enzymes	AV089850 (M74542)	Aldehyde dehydrogenase family 3, subfamily A1B	11.1 +- 0.8	–4223
Detoxification enzymes	U04204	Aldo-keto reductase1, member B8B	5.4 +- 0.5	No human homolog
Detoxification enzymes	AB017482 (AH005616)	Retinol oxidase/Aldehyde oxidaseB	2.3 +- 0.4	–8579
Detoxification enzymes	AB025408 (AF112219)	Esterase 10B	3.4 +- 0.4	–4105, –4264
Detoxification enzymes	U16818 (J04093)	UDP-glucuronosyl transferaseB	1.4 +- 0.3	–5431, –6221
Detoxification enzymes	AF061017 (AF061016)	UDP-glucose dehydrogenaseB	1.5 +- 0.6	–3438
Protective proteins	M64086 (AH002551)	á1-antitrypsin proteinase inhibitorB	4.7 +- 0.3	–4117
Protective proteins	AB034693 (AB034695)	Endomucin-1B	1.5 +- 0.3	–2565
Protective proteins	AW120711 (AF087870)	Dnaj (HSP 40) homologB	1.9 +- 0.4	–155, –2797, –5320
Protective proteins	D17666 (AU130219)	Mitochondrial stress – 70 proteinB	1.6 +- 0.3	–2675, –3302
Protective proteins	AF055638 (AF265659)	GADD45GB	2.4 +- 0.3	–327
Protective proteins	U08210 (M16983)	TropoelastinB	2.8 +- 0.9	NF
Protective proteins	X04647 (X05562)	Procollagen type IV, á2B	1.9 +- 0.4	NF
Transcription factors	AB009694 (AJ010857)	mafF B	2.6 +- 0.4	–3894, –6537, –8279, –8301, –8445
Transcription factors	AF045160 (U81984)	HIF-1á related factorB	2.0 +- 0.4	–3855, –5091
Protein degradation	AV305832 (M26880)	Ubiquitin CB	1.8 +- 0.4	–1393, –3755, –4481
Protein degradation	AW121693 (AA020857)	Proteasome (prosome, macropain) 26S subunit,	1.7 +- 0.3	NF
non ATPase, 1B	U40930 (BC017222)	Seqestosome 1B	2.9 +- 0.4	–360, –1328
Transporters	M22998 (K03195)	Solute carrier family 2B	2.9 +- 0.2	–3351, –5111, –9304
Transporters	X67056 (S70612)	Glycine transporter B	1.8 +- 0.3	–387, –8451
Transporters	U75215 (BC026216)	Neutral amino acid transporter mASCT1B	3.8 +- 0.3	–3695, –8547
Phosphatases	M97590 (AH003242)	Tyrosine phosphatase (PTP1)B	1.6 +- 0.3	–6045, –3232, –7029, –9884
Phosphatases	X58289 (X5431)	Protein tyrosine phosphatase, receptor type BB	1.7 +- 0.4	–8166, –9561, –9662
Receptor	AJ250490 (AJ001015)	Receptor activity modifying protein 2B	1.6 +- 0.3	–5023, –3455
