Name	Function	UniGene	No. of ARMS
ADPRT	DNA repair	Hs.76105	7
TOPO2A	DNA metabolism	Hs.3378	7
MYBL2	Transcription Factor	Hs.74605	7
MADP2	Mitotic spindle	Hs.79078	7
STAT5A	Transcription Factor	Hs.2287	7
FKHR	Transcription Factor	Hs.175	7
MYCL1	Transcription Factor	Hs.92137	7
ATF3	Transcription Factor	Hs.460	7
NGFR	Growth Factor Receptor	Hs.1827	6
POLE	DNA synthesis/repair	Hs.18366	6
MYCN	Transcription Factor	Hs.25960	6
TCF3	Transcription Factor	Hs.101047	6
MYL4	Structural muscle protein	Hs.108485	6
CTSH	Proteolytic enzyme	Hs.75476	6
ASS	Urea cycle enzyme	Hs.76753	5
LAP18	Signal transduction	Hs.81915	5
CDK4	Cell Cycle	Hs.95577	5
IGFBP2	Growth factor binding	Hs.162	5
PCNA	DNA replication	Hs.78996	5
DHFR	Folate metabolism	Hs.83765	5
POU2F1	Transcription Factor	Hs.74095	5
SNRPB	RNA processing	Hs.83753	5
KAI1	Unknown	Hs.103458	5
EST (R51658)	Unknown	NA	5
H2AZ	Chromatin structure	Hs.119192	4
ALPL	Enzyme	Hs.117854	4
PKCSL	Signal transduction	Hs.75061	4
CAS	Microtubule associated	Hs.90073	4
FEN1	DNA repair	Hs.4756	4
HOX1C	Transcription Factor	Hs.37034	4
MSH2	DNA repair	Hs.78934	4
TAF2A	Transcription Factor	Hs.60679	4
CDC2	Cell cycle kinase	Hs.58393	4
RECA	DNA repair	Hs.1608	4
TRAP1	Unknown	Hs.2204	4
AACT	Chymotrypsin inhibitor	Hs.74493	4
LAMR1	Membrane receptor	Hs.75901	4
