GenBank	Ave_Spt16_FC	Ave_SSRP1_FC	Symbol	Gene name
AA486628	-1.303377	-3.43545	EGR1	Early growth response 1
W65461	-1.09478	-2.43096	DUSP5	Dual specificity phosphatase 5
R70601	1.2662815	-2.35666	NA	Unknown protein
AA284668	1.16133	-1.81744	PLAU	Plasminogen activator, urokinase
H17960	1.02384	-1.7801	AP1G1	Adaptor-related protein complex 1, y 1 subunit
H06273	-1.360353	1.74244	LOC90133	Hypothetical protein LOC90133
H82706	1.0934903	1.778135	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
AA598517	-1.434228	1.82648	KRT8	Keratin 8
N55540	1.9094455	2.078311	LOC163782	Hypothetical protein LOC163782
AA064973	2.0401064	2.281155	PRO01073	PRO1073 protein
