Average ratio of three paired cell lines	GenBank accession no.	Gene name	Function
7.78	M34064	N-cadherin	Adhesion
6.92	Y14690	procollagen alpha-2	Adhesion
27.78	D21255	OB-cadherin-2	Adhesion
25.75	D21254	OB-cadherin-1	Adhesion
8.46	M37825	fibroblast growth factor-5	Signaling
10.13	M21574	platelet-derived growth factor receptor alpha	Signaling
4.59	X94216	VEGF-C	Signaling
7.58	M62402	insulin-like growth factor binding protein-6	Signaling
7.11	M27968	basic fibroblast growth factor (FGF)	Signaling
74.33	L27560	insulin-like growth factor binding protein-5	Signaling
19.56	M34057	transforming growth factor-beta 1	Signaling
9.33	X52599	beta nerve growth factor	Signaling
4.71	L20861	proto-oncogene (Wnt-5a)	Signaling
2.83	M10905	fibronectin	Cell structure
12.15	X82494	fibulin-2	Cell structure
42.96	X63556	fibrillin	Cell structure
5.77	M55210	Laminin B2	Cell structure
49.82	AJ012737	filamin	Cell structure
3.93	M55153	transglutaminase (TGase)	Metabolism
