RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_000399	Homo sapiens early growth response 2 (Krox-20 homolog, Drosophila) (EGR2), transcript variant 1, mRNA.	1959	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)	AT591|CMT1D|CMT4E|DKFZp686J1957|FLJ14547|KROX20	10	40.336	0.00000292	1
NM_004862	Homo sapiens lipopolysaccharide-induced TNF factor (LITAF), transcript variant 1, mRNA.	9516	LITAF	lipopolysaccharide-induced TNF factor	FLJ38636|MGC116698|MGC116700|MGC116701|MGC125274|MGC125275|MGC125276|PIG7|SIMPLE|TP53I7	16	10.135	0.00000181	1
NM_003037	Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), mRNA.	6504	SLAMF1	signaling lymphocytic activation molecule family member 1	CD150|CDw150|SLAM	1	8.584	1.39E-09	1
NM_006981	Homo sapiens nuclear receptor subfamily 4, group A, member 3 (NR4A3), transcript variant 1, mRNA.	8013	NR4A3	nuclear receptor subfamily 4, group A, member 3	CHN|CSMF|MINOR|NOR1|TEC	9	3.388	0.000000398	1
NM_173198	Homo sapiens nuclear receptor subfamily 4, group A, member 3 (NR4A3), transcript variant 2, mRNA.	8013	NR4A3	nuclear receptor subfamily 4, group A, member 3	CHN|CSMF|MINOR|NOR1|TEC	9	3.388	0.000000398	1
NM_173200	Homo sapiens nuclear receptor subfamily 4, group A, member 3 (NR4A3), transcript variant 3, mRNA.	8013	NR4A3	nuclear receptor subfamily 4, group A, member 3	CHN|CSMF|MINOR|NOR1|TEC	9	3.388	0.000000398	1
NM_005524	Homo sapiens hairy and enhancer of split 1, (Drosophila) (HES1), mRNA.	3280	HES1	hairy and enhancer of split 1, (Drosophila)	FLJ20408|HES-1|HHL|HRY|bHLHb39	3	3.064	0.000000154	1
NM_004419	Homo sapiens dual specificity phosphatase 5 (DUSP5), mRNA.	1847	DUSP5	dual specificity phosphatase 5	DUSP|HVH3	10	3.015	0.000000027	1
NM_000728	Homo sapiens calcitonin-related polypeptide beta (CALCB), mRNA.	797	CALCB	calcitonin-related polypeptide beta	CALC2|CGRP-II|CGRP2|FLJ30166	11	2.85	0.000113	1
NM_000417	Homo sapiens interleukin 2 receptor, alpha (IL2RA), mRNA.	3559	IL2RA	interleukin 2 receptor, alpha	CD25|IDDM10|IL2R|TCGFR	10	2.817	0.00000137	1
