CloneID	UniGene ClusterID	Gene Name	Gene Description	Function (from SOURCE: http://source.stanford.edu)
1947150	Hs.433984	SLC4A2	Solute carrier family 4, anion exchanger, member 2	plasma membrane anion exchange protein of wide distribution
178569	Hs.440896	SLC9A3R2	Solute carrier family 9, isoform 3 regulator 2	sodium/hydrogen exchanger that plays a major role in transepithelial sodium absorption
682817	Hs.369849	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein	inhibits p53- and p73-mediated cell cycle arrest and apoptosis by binding its transcriptional activation domain
815526	Hs.179718	MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	transcription factor involved in the regulation of cell survival, proliferation, and differentiation
133637	Hs.491682	PRKDC	Protein kinase, DNAactivated, catalytic polypeptide	serine/threonine-protein kinase involved in dna nonhomologous end joining
2315147	Hs.119192	H2AFZ	H2A histone family, member Z	encodes a replication-independent member of the histone H2A family
280970	Hs.534334	NOL1	Nucleolar protein 1, 120kDa	may play a role in the regulation of the cell cycle
295729	Hs.18426	HRSP12	Heat-responsive protein 12	endoribonuclease responsible for the inhibition of the translation by cleaving mrna
669419	Hs.29978	FXN	Frataxin	functions in regulating mitochondrial iron transport and respiration
1587710	Hs.445534	PER1	Period homolog 1 (Drosophila)	circadian regulator that may act as a transcription factor
811013	Hs.82927	AMPD2	Adenosine monophosphate deaminase 2	plays a critical role in energy metabolism
72050	Hs.430733	CLNS1A	Chloride channel, nucleotide-sensitive, 1A	interaction with sm proteins inhibits their assembly on u rna and interferes with snrnp biogenesis
71154	Hs.183958	PPID	Peptidylprolyl isomerase D	catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
2544309	Hs.435166	LBR	Lamin B receptor	anchors the lamina and the heterochromatin to the inner nuclear membrane
771206	Hs.306791	POLD2	Polymerase, delta 2, regulatory subunit 50kDa	function unknown
2015083	Hs.495985	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein a isoform 3	part of the proton channel of v-atpases (by similarity), involved in t cell activation
666425	Hs.472737	TOP1	Topoisomerase I	catalyzes conversion of one topological isomer of dna to another
427812	Hs.465744	INSR	Insulin receptor	this receptor binds insulin and has a tyrosine-protein kinase activity
2325844	Hs.78888	DBI	Diazepam binding inhibitor	may function as an intracellular carrier of acyl-coa esters
2017821	Hs.66196	NTHL1	Nth endonuclease III-like 1 (E. coli)	has both an apurinic and/or apyrimidinic endonuclease activity and a dna n-glycosylase activity
856575	Hs.434980	APP	Amyloid beta (A4) precursor protein	potent enhancers of neuronal apoptosis.
1671363	Hs.146591	BLK	B lymphoid tyrosine kinase	may function in a signal transduction pathway that is restricted to b lymphoid cells
380620	Hs.25363	PSEN2	Presenilin 2	probable catalytic subunit of the gamma-secretase complex
856796	Hs.76244	SRM	Spermidine synthase	carries out the final step of spermidine biosynthesis
1543938	Hs.148342	POLR3D	Polymerase (RNA) III (DNA directed) polypeptide D, 44kDa	complements a temperature-sensitive mutant isolated from the BHK-21 Syrian hamster cell line
325117	Hs.509554	HIF1A	Hypoxia-inducible factor 1, alpha subunit	functions as a master transcriptional regulator of the adaptive response to hypoxia
811920	Hs.204891	IL11RA	Interleukin 11 receptor, alpha	stromal cell-derived cytokine that belongs to a family of pleiotropic and redundant cytokines
2313852	Hs.146393	HERPUD1	Homocyste-ineinducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	could be involved in the unfolded protein response pathway
1926032	Hs.438429	RPS19	Ribosomal protein S19	ribosomal protein that is a component of the 40S subunit
1925760	Hs.500466	PTEN	Phosphatase and tensin homolog	a phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase
236142	Hs.96055	E2F1	E2F transcription factor 1	transcription activator that binds dna cooperatively with dp proteins
81332	Hs.87752	MSN	Moesin	probably involved in connections of major cytoskeletal structures to the plasma membrane
2325609	Hs.438720	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	acts as a factor that allows the dna to undergo a single round of replication per cell cycle
811761	Hs.492208	NBS1	Nijmegen breakage syndrome 1	member of the MRE11/RAD50 double-strand break repair complex
789382	Hs.436100	NOTCH4	Notch homolog 4 (Drosophila)	functions as a receptor for membrane-bound ligands to regulate cell-fate determination
845441	Hs.533192	TOMM20	Translocase of outer mitochondrial membrane 20 homolog (yeast)	similar to Mitochondrial import receptor subunit TOM20 homolog
85259	Hs.517581	HMOX1	Heme oxygenase 1	cleaves the heme ring at the alpha methene bridge to form biliverdin
1388395	Hs.181128	ELK1	ELK1, member of ETS oncogene family	stimulates transcription; binds to purine-rich dna sequences
148968	Hs.465087	SMAD7	SMAD, mothers against DPP homolog 7 (Drosophila)	antagonist of signaling by tgf-beta type 1 receptor superfamily members
