Accession no.	Gene name	IMMORT	5AZA	Gene selection method
L19686	Macrophage migration inhibitory factor (MIF)	-278.0	42.1	N/ANOVA
X54489	Melanoma growth-stimulatory activity (MGSA) (GRO-1)	-146.3	64.6	N
AI017574	Cysteine-rich heart protein	-85.0	8.8	N
M33882	Interferon-induced p78, Mx1	-75.7	162	N/ANOVA
U66711	Ly-6-related protein (9804) gene (responsive to IFNs)	-73.7	34.1	N/ANOVA
X82494	Fibulin-2	-70.1	21.8	N/ANOVA
AF054825	VAMP5 (vesicle-associated membrane protein 5 )	-69.1	9.1	N
AL049946	Adlican	-60.2	17.6	N/ANOVA
M55153	Transglutaminase (TGase)	-50.9	144.6	N
AF037335	Carbonic anhydrase precursor (CA 12)	-47.4	8.9	N
L24564	Rad (Ras associated with diabetes)	-35.9	19.7	N/ANOVA
AA631972	NK4 protein (natural killer cell transcript 4)	-35.0	20.2	N/ANOVA
U20982	Insulin-like growth factor binding protein-4	-33.3	3.8	N
AF039103	Tat-interacting protein TIP30	-30.3	8.9	N
J03909	Gamma-interferon-inducible protein (IP-30)	-27.8	31.2	N/ANOVA
AF053944	Aortic carboxypeptidase-like protein	-27.4	12.3	N/ANOVA
AL080059	cDNA DKFZp564H142	-23.4	9.5	N
U88964	HEM45 (interferon-stimulated gene, 20 kDa; ISG20)	-21.7	50.2	N/ANOVA
U03688	Dioxin-inducible cytochrome P450 (CYP1B1)	-20.6	6.9	N
U59185	Putative monocarboxylate transporter	-19.5	6.3	N
AB029000	KIAA1077 protein Sulfatase FP	-18.6	10.9	N
U45878	Inhibitor of apoptosis protein 1	-18.4	13.1	N/ANOVA
M28130	Interleukin 8	-15.5	92.7	N/ANOVA
X04371	(2–5) oligoadenylate synthetase E OAS-1	-15.4	76.5	N/ANOVA
X02419	uPA gene (urokinase-plasminogen activator gene)	-14.6	4.4	N
M13509	Skin collagenase MMP1	-14.4	4.8	N
AF026941	CIG5 (cytomegalovirus induces interferon-responsive)	-13.9	66.6	N
AB025254	PCTAIRE 2 (pctaire protein kinase)	-13.7	19.3	N/ANOVA
X67325	Interferon alpha stimulated inducible protein, p27 mRNA	-13.0	482	N
M36820	Cytokine (GRO-beta, GRO-2)	-12.9	29.6	N/ANOVA
AF026939	CIG49 (cytomegalovirus induces interferon-responsive)	-12.8	70.2	N/ANOVA
M90657	Tumor antigen (L6)	-12.6	17.5	N/ANOVA
AF060228	Retinoic acid receptor responder 3	-12.2	7.1	N/ANOVA
J04164	Interferon-inducible protein 9-27 (IFITM1)	-11.8	8.8	N
AI885852	Similar to gb:L19779 HISTONE H2A.1	-7.3	10.3	N/ANOVA
M36821	Cytokine (GRO-gamma)	-11.1	56.8	N
AL050162	TESTIN 3 testis derived transcript (3 LIM domains)	-10.7	8.1	N
U77643	K12 protein precursor (SECTM1)	-10.7	19.6	N/ANOVA
D28137	BST-2 (bone marrow stroma cell surface gene)	-9.9	38.7	N/ANOVA
M17017	Beta-thromboglobulin-like protein	-9.7	17.5	N/ANOVA
AC_004142	BAC clone RG118D07 from 7q31	-9.4	5.5	N
M24283	Major group rhinovirus receptor (HRV)	-9.3	28.9	N
AL022723	HLA-F, gene for major histocompatibility complex class I F	-8.9	29.4	N/ANOVA
