Rank	Gene ID	r	Symbol
1	3-A03f	0.787	ENTPD2
2	2-B11f	0.762	RASA1
3	2-B10f	0.745	NPM1
4	2-G47	0.73	RPS9
5	3-B09k	0.715	SERPINB10
6	1-A02j	0.675	PLK1
7	2-C10h	0.662	PFKP
8	3-D11j	0.652	SARS
9	3-A03m	0.646	POLR2H
10	2-A13m	0.641	TEAD4
11	2-C10d	0.631	GLA
12	3-D09k	0.63	EIF4EBP1
13	2-C07j	0.63	RAB28
14	2-E09a	0.622	RPS6KB1
15	1-A09k	0.617	UBE2C
16	2-E13k	0.607	GNAI2
1	2-F06f	-0.772	FURIN
2	3-E02g	-0.734	NAP1L1
3	3-E01f	-0.719	PCBP1
4	2-D01g	-0.714	HSD17B1
5	2-C11j	-0.697	GPD1
6	1-F14b	-0.679	GSTA1
7	3-E11j	-0.657	NN3
8	2-C09n	-0.619	MAN2B1
9	2-F08a	-0.616	SERPINF2
10	2-F07e	-0.612	CAPN1
11	2-C04l	-0.612	KDELR2
12	1-D03n	-0.608	CNBP
