Gene	Genbank accession number	Chromosomal location	Description	More Description
CYP1A1	NM_000499	15q24.1	Cytochrome P450, subfamily IA, polypeptide 1	Phase I enzymes
CYP1A2	NM_000761	15q24.2	Cytochrome P450, subfamily IA, polypeptide 2	Phase I enzymes
CYP1B1	NM_000104	2p21	Cytochrome P450, subfamily IB, polypeptide 1	Phase I enzymes
CYP2A6	NM_000762	19q13.2	Cytochrome P450, subfamily IIA, polypeptide 6	Phase I enzymes
CYP2B6	NM_000767	19q13.2	Cytochrome P450, subfamily IIB, polypeptide 6	Phase I enzymes
CYP2C9	NM_000771	10q24.1	Cytochrome P450, subfamily IIC, polypeptide 9	Phase I enzymes
CYP2D6	NM_000106	22q13.1	Cytochrome P450, subfamily IID, polypeptide 6	Phase I enzymes
CYP2E1	NM_000773	10q24.3-qter	Cytochrome P450, subfamily IIE, polypeptide 1	Phase I enzymes
CYP3A4	NM_017460	7q22.1	Cytochrome P450, subfamily IIIA, polypeptide 4	Phase I enzymes
FMO1	NM_002021	1q23-q25	Flavin-containing monooxygenase 1	Phase I enzymes
FMO5	NM_018578	1q21	Flavin-containing monooxygenase 5	Phase I enzymes
LPO	XM_042207	17q23.1	Lactoperoxydase	Phase I enzymes
NQO1	NM_000903	16q22.1	NAD(P)H deshydrogenase, quinone 1	Phase II enzymes
NAT1	NM_000662	8p23.1-p21.3	N-acetyltransferase 1	Phase II enzymes
COMT	NM_000754	22q11.21	Catechol-O-methyltransferase	Phase II enzymes
EPHX1	NM_000120	1q42.1	Epoxyde hydrolase 1, microsomal	Phase II enzymes
SULT1A1	NM_001055	16p12.1	Sulfotransferase family, cytosolic, 1A, member 1	Phase II enzymes
SULT2A1	NM_003167	19q13.3	Sulfotransferase family, cytosolic, 2A, member 1	Phase II enzymes
SULT2B1	NM_004605	19q13.3	Sulfotransferase family, cytosolic, 2B, member 1	Phase II enzymes
UGT1A1	NM_000463	2q37	UDP-glucuronosyltransferase, 1 family, polypeptide A1	Phase II enzymes
GSTP1	NM_000852	11q13	Glutathion S-transferase pi 1	Phase II enzymes
GSTM1	NM_000561	1p13.3	Glutathion S-transferase mu 1	Phase II enzymes
GSTM3	NM_000849	1p13.3	Glutathion S-transferase mu 3	Phase II enzymes
GSTT1	NM_000853	22q11.23	Glutathion S-transferase theta 1	Phase II enzymes
ABCB1	NM_000927	7q21.1	ATP-binding cassette, subfamily B (MDR/TAP), member 1 (MDR1)	Phase III proteins
ABCC1	NM_004996	16p13.1	ATP-binding cassette, subfamily C (CFTR/MRP), member 1 (MRP1)	Phase III proteins
ABCC11	NM_033151	16q12.1	ATP-binding cassette, subfamily C (CFTR/MRP), member 11 (MRP8)	Phase III proteins
