Full Name	Acc. No.	Ratio Average	Function
B cell membrane protein CD22	X59350	1.98	Hematopoietic cell expressed genes
Leucocyte immunoglobulin-like receptor-7 (LIR-7)	AF025531	3.06	Hematopoietic cell expressed genes
T200 leukocyte common antigen (CD45, LC-A)	Y00062	3.05	Hematopoietic cell expressed genes
B-cell translocation gene 1 protein, BTG1	X61123	1.93	Hematopoietic cell expressed genes
Leukocyte adhesion glycoprotein p150, 95	Y00093	11.54	Hematopoietic cell expressed genes
T-cell glycoprotein CD6	X60992	2.18	Hematopoietic cell expressed genes
T-cell specific protein	X00437	32.42	Hematopoietic cell expressed genes
T-cell receptor alpha chain C region	X02883	2.78	Hematopoietic cell expressed genes
T-cell receptor active beta-chain	M12886	6.22	Hematopoietic cell expressed genes
Macrophage-derived chemokine precursor (MDC)	U83171	3.02	Hematopoietic cell expressed genes
Integrin beta 1 subunit	X07979	2.35	Hematopoietic cell expressed genes
Putative transmembrane receptor IL-1Rrp	U43672	2.78	Receptors
Insulin receptor precursor	X02160	4.98	Receptors
Human G protein-coupled receptor (EBI 1)	L31584	2.33	Receptors
IL-12 receptor beta2	U64198	4	Receptors
c-syn protoonkogene (Fyn)	M14333	39.58	Protooncogenes and Kinases
cbl-b	U26710	3.88	Protooncogenes and Kinases
fgr proto-oncogene encoded p55-c-fgr protein	M19722	2.48	Protooncogenes and Kinases
Phosphatidylinositol 3-kinase	Z29090	2.33	Protooncogenes and Kinases
Focal adhesion kinase (Fak)	L13616	2.94	Protooncogenes and Kinases
Protein tyrosine kinase, BLK	S76617	3.37	Protooncogenes and Kinases
Hemopoietic cell protein-tyrosine kinase (Hck)	M16591	15.55	Protooncogenes and Kinases
Small GTP-binding protein, S10	D14889	2.35	GTP-Binding Proteins
GTPase (RHOC)	L25081	2.72	GTP-Binding Proteins
Gem GTPase (gem)	U10550	4.25	GTP-Binding Proteins
Small GTP-binding protein	U57094	3.33	GTP-Binding Proteins
Breast cancer putative transcription factor (ZABC1)	AF041259	2.28	Transcription Factors and Co-Factors
MADS/MEF2-family transcription factor (MEF2C)	L08895	2.1	Transcription Factors and Co-Factors
Transcription factor RTEF-1 (RTEF-1)	U63824	7.24	Transcription Factors and Co-Factors
Transcription factor (E2A)	M31523	2.75	Transcription Factors and Co-Factors
JunD	X56681	2.04	Transcription Factors and Co-Factors
oct-binding factor (OBF)	Z49194	1.85	Transcription Factors and Co-Factors
Nuclear factor RIP140	X84373	4.42	Transcription Factors and Co-Factors
T cell factor 1, TCF-1	X59871	5.72	Transcription Factors and Co-Factors
Signal transducer and activator of transcription STAT5A	U43185	2.06	Transcription Factors and Co-Factors
Epstein-Barr virus receptor	M26004	3.28	EBV related
EBV induced G-protein coupled receptor (EBI2)	L08177	2.55	EBV related
Dioxin-inducible cytochrome P450 (CYP1B1)	U03688	5.88	Others
28 kDa heat shock protein	Z23090	2.3	Others
