Gene Bank Accession No.	Name	Function	P-value
U06681	Protein tyrosine phosphatase	Cell adhesion	0.0005
M69066	Moesin	Cell mobility	0.0005
U77206	Rho/rac guanine nucleotide exchange factor	Cell shape, size	0.001
X16316	Vav-1 oncogene	Oncogene	0.0005
M28209	RAB 1A, Ras oncogene	Vesicle transport	0.001
M84739	Calreticulin	Transcriptional regulation	0.001
K03515	Glucose phosphate isomerase	Carbohydrate Metabolism	0.001
U79262	Deoxyhyposine synthase	Protein biosynthesis	0.0005
M23114	Ca &#6;. transporting ATPase	Small molecule transport	0.001
U30255	Phosphogluconate dehydrogenase	Pentose phosphate shunt	0.001
U10439	Adenosine deaminase	Antimicrobial defense	0.001
L17128	Gamma glutamyl carboxylase	Protein modification	0.001
U39318	Ubiquitin conjugating enzyme E2D	Protein degradation	0.003
U45328	Ubiquitin conjugating enzyme E21	Protein degradation	0.002
M33197	Glyceraldehyde-3 phosphate dehydrogenase	Carbohydrate Metabolism	0.001
D49489	Protein disulfide isomerase–related	Protein folding	0.002
U65785	Hypoxia-upregulated 1	Stress response	0.005
U29091	Selenium binding protein 1	Unknown	0.0005
U25182	Peroxyredoxin 4	Antioxident	0.004
M33552	Lymphocyte-specific protein 1	cellular defense	0.001
M62505	Complement component 5 receptor 1	Immune response	0.002
K02765	Complement compound 3	Immune response	0.002
J02923	Lymphocyte cytosolic protein–1 (l-plastin)	Cellular defense	0.0005
M87503	Interferon-8 stimulated transcription factor 3	Signal transduction	0.0005
D11086	Interleukin-2 receptor 8	Signal transduction	0.003
X10659	Interleukin-13 receptor  &#7;1	Signal transduction	0.004
X12451	Cathepsin L	Protease	0.003
U94585	Requiem apoptosis response	Inductor of apoptosis	0.003
M33493	Tryptase  &#3;–1	Protease	0.005
