Gene Symbol	Gene Bank Accession	NKI dataset Systematic name	Affymetrix probeset (mapped via MAQC)	Average expression in poor prognosis samples	Average expression in good prognosis samples
ABCA3	NM_001089	NM_001089	204343_at	-0.0973175675675676	-0.0574555145625030
ABCC3	NM_003786	NM_003786	208161_s_at	-0.1132837837837840	-0.1358186839080460
ABLIM2	AI240129	Contig53510_RC	228132_at	0.0075135135135135	-0.0006188103448276
ACTA2	NM_001613	NM_001613		-0.0851013513513514	-0.0676449022988506
ADH1A	NM_000667	NM_000667	207820_at	-0.1229729729729730	-0.0620641436781609
AKR1C3	NM_003739	NM_003739		-0.0303851351351351	0.0022494310344828
AQP3	NM_004925	NM_004925	39248_at	0.0052847222222222	0.0024003141063592
ARHGDIB	L20688	L20688	201288_at	-0.0114864864864865	0.0153505172413793
ARHGDIB	NM_001175	NM_001175		-0.0200945945945946	-0.0066353793103448
ARID5B	AL049471	AL049471	212614_at	-0.0810945945945946	-0.0155751724137931
ARID5B	AA169339	Contig10363_RC		-0.0575202702702703	0.0045479252873563
ASPM	AA748494	Contig33814_RC	219918_s_at	0.0725135135135135	-0.0232848620689655
ASPM	NM_018136	NM_018136		-0.0293445945945946	-0.1333095928841940
ATP6V1B1	NM_001692	NM_001692		-0.2727972972972970	-0.2627616896551720
AURKB	AW139028	Contig34729_RC		0.0417723554033486	-0.1094642251171650
AURKB	NM_004217	NM_004217		0.0388986486486486	0.0172058548037448
AZGP1	NM_001185	NM_001185	209309_at	-0.2488310810810810	-0.0724386206896552
C1orf116	AW138165	Contig54612_RC	219476_at	-0.0571554054054054	-0.0721187816091954
C9orf3	AF043897	AF043897	212848_s_at	0.0030810810810811	-0.0158670517241379
C9orf3	AL137535	AL137535		-0.0065472972972973	-0.0192644712643678
C9orf52	AI796221	Contig42253_RC		-0.0308986486486486	-0.0145442873563218
C9orf58	AA205873	Contig53698_RC	223075_s_at	0.0337364864864865	-0.0049932621244575
CA12	NM_001218	NM_001218	215867_x_at	-0.1706216216216220	-0.0703468563218391
CAMK2B	AF131776	AF131776	211483_x_at	0.0436013513513513	0.0283393923427177
CAMK2N1	NM_018584	NM_018584		-0.0645675675675676	-0.0409414942528736
CAT	NM_001752	NM_001752	201432_at	-0.0014594594594595	0.0005220229885057
CCDC69	AL080169	AL080169	212886_at	-0.0431554054054054	0.0036758908045977
CCL2	NM_002982	NM_002982		-0.0216418918918919	-0.0442826896551724
CCNA2	NM_001237	NM_001237	203418_at	0.0621418918918919	-0.0439983569862468
CCNB1	AA632161	Contig56843_RC	228729_at	0.0484594594594595	-0.1131970574712640
CCNB2	NM_004701	NM_004701	202705_at	0.0322027027027027	-0.1844693160919540
CD36	NM_000072	NM_000072		-0.1236554054054050	-0.0762945172413793
CDC45L	NM_003504	NM_003504	204126_s_at	0.0530675675675676	-0.0993011034482760
