ORF	[change in] Fold	SEM	Encoded protein	Function	Other Function
M60273	29.2	2	Cytochrome P450 2B9	Xenobiotic metabolism	Detoxification
AA060704	22.6	0.6	Glutathione S-Transferase Mu homolog	Xenobiotic metabolism	Detoxification
Z37107	22.6	1.2	Soluble epoxide hydrolase	Xenobiotic metabolism	Detoxification
X60452	22.3	0.7	Cytochrome P450 3A1	Xenobiotic metabolism	Detoxification
AA038494	23	1.5	Glutathione peroxidase (GPX1)	Peroxide degradation	Selenoproteins
U49861	22.4	0.4	Type 1 iodothyronine deiodinase	Thyroid hormone biosynthesis	Selenoproteins
AA087320	26.4	3.2	Fatty acid binding protein	Intracellular lipid transport	Lipid transport
M64250	24	2.3	Apolipoprotein A-IV precursor	(HDL) Plasma lipid transport	Lipid transport
W17412	23.5	1.6	Apolipoprotein C-III precursor	Lipid transport	Lipid transport
W62976	23.3	1.3	Apolipoprotein C-II	(VLDL) Lipid transport	Lipid transport
M91458	22.4	0.3	Nonspecific lipid-transfer protein	Steroidogenesis/fatty acids oxidation	Lipid transport
U21951	22	0.5	Apolipoprotein B mRNA editing protein	mRNA processing	Lipid transport
W14335	22	0.4	Apolipoprotein A-I	(HDL) Lipid transport	Lipid transport
M62860	24.6	3	Myelin P0 protein precursor	Membrane adhesion	Angiogenesis/cell adhesion
W16201	23.3	0.3	P21-activated kinase 2	Morphological signaling	Angiogenesis/cell adhesion
U43194	22.5	0.6	GTP-rho binding protein 1	Cytoskeletal protein	Angiogenesis/cell adhesion
X61435	22.5	0.5	Neuronal kinesin heavy chain	Organelle transport	Angiogenesis/cell adhesion
AA035825	22.4	0.5	Ankyrin (brain variant)	Membrane attachment	Angiogenesis/cell adhesion
AA013604	22.4	0.5	G25K GTP-binding protein	Actin cytoskeleton	Angiogenesis/cell adhesion
U30482	23.2	1.4	Orphan nuclear receptor TR2	Hormone receptor/repressor	Cell cycle/growth control
D12885	23.1	0.7	Growth hormone factor (PIT-1)	Hormone regulation	Cell cycle/growth control
L13593	22.6	1	Prolactin receptor (PRL-R)	Hormone regulation	Cell cycle/growth control
AA166517	22.6	0.5	RAS-related protein RAP-1A	Tumor suppressor	Cell cycle/growth control
U35312	22.4	0.4	Nuclear receptor co-repressor N-CoR	Hormone regulation/repressor	Cell cycle/growth control
AA104472	22.1	0.1	Serine/threonine protein phosphatase alpha-1	Cell cycle control	Cell cycle/growth control
L35549	22	0.3	Y Box transcription factor	Cell proliferation regulation	Cell cycle/growth control
