ID	Symbol	Name	Synonyms	Chromosome
728	C5AR1	complement component 5a receptor 1	C5A|C5AR|C5R1|CD88	19
1238	CCBP2	chemokine binding protein 2	CCR10|CCR9|CMKBR9|D6|MGC126678|MGC138250|hD6	3
1230	CCR1	chemokine (C-C motif) receptor 1	CD191|CKR-1|CKR1|CMKBR1|HM145|MIP1aR|SCYAR1	3
2826	CCR10	chemokine (C-C motif) receptor 10	GPR2	17
1232	CCR3	chemokine (C-C motif) receptor 3	CC-CKR-3|CD193|CKR3|CMKBR3|MGC102841	3
1233	CCR4	chemokine (C-C motif) receptor 4	CC-CKR-4|CD194|CKR4|CMKBR4|ChemR13|HGCN:14099|K5-5|MGC88293	3
1234	CCR5	chemokine (C-C motif) receptor 5	CC-CKR-5|CCCKR5|CD195|CKR-5|CKR5|CMKBR5|FLJ78003|IDDM22	3
1235	CCR6	chemokine (C-C motif) receptor 6	BN-1|CD196|CKR-L3|CKR6|CKRL3|CMKBR6|DCR2|DRY-6|GPR-CY4|GPR29|GPRCY4|STRL22	6
1236	CCR7	chemokine (C-C motif) receptor 7	BLR2|CD197|CDw197|CMKBR7|EBI1	17
1237	CCR8	chemokine (C-C motif) receptor 8	CDw198|CKR-L1|CKRL1|CMKBR8|CMKBRL2|CY6|GPR-CY6|MGC129966|MGC129973|TER1	3
10803	CCR9	chemokine (C-C motif) receptor 9	CDw199|GPR-9-6|GPR28	3
51554	CCRL1	chemokine (C-C motif) receptor-like 1	CC-CKR-11|CCBP2|CCR10|CCR11|CCX-CKR|CKR-11|PPR1|VSHK1	3
9034	CCRL2	chemokine (C-C motif) receptor-like 2	CKRX|CRAM-A|CRAM-B|FLJ55815|HCR|MGC116710|MGC34104	3
1240	CMKLR1	chemokine-like receptor 1	CHEMERINR|ChemR23|DEZ|MGC126105|MGC126106	12
1524	CX3CR1	chemokine (C-X3-C motif) receptor 1	CCRL1|CMKBRL1|CMKDR1|GPR13|GPRV28|V28	3
2833	CXCR3	chemokine (C-X-C motif) receptor 3	CD182|CD183|CKR-L2|CMKAR3|GPR9|IP10-R|Mig-R|MigR	X
7852	CXCR4	chemokine (C-X-C motif) receptor 4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM	2
643	CXCR5	chemokine (C-X-C motif) receptor 5	BLR1|CD185|MDR15|MGC117347	11
10663	CXCR6	chemokine (C-X-C motif) receptor 6	BONZO|CD186|STRL33|TYMSTR	3
57007	CXCR7	chemokine (C-X-C motif) receptor 7	CMKOR1|GPR159|RDC1	2
10800	CYSLTR1	cysteinyl leukotriene receptor 1	CYSLT1|CYSLT1R|CYSLTR|HG55|HMTMF81|MGC46139	X
57105	CYSLTR2	cysteinyl leukotriene receptor 2	CYSLT2|CYSLT2R|GPCR|HG57|HPN321|KPG_011|PSEC0146|hGPCR21	13
2532	DARC	Duffy blood group, chemokine receptor	CCBP1|CD234|Dfy|FY|GPD|GpFy|WBCQ1	1
1909	EDNRA	endothelin receptor type A	ETA|ETRA	4
1910	EDNRB	endothelin receptor type B	ABCDS|ETB|ETBR|ETRB|HSCR|HSCR2	13
2357	FPR1	formyl peptide receptor 1	FMLP|FPR	19
2358	FPR2	formyl peptide receptor 2	ALXR|FMLP-R-II|FMLPX|FPR2A|FPRH1|FPRH2|FPRL1|HM63|LXA4R	19
2358	FPR2	formyl peptide receptor 2	ALXR|FMLP-R-II|FMLPX|FPR2A|FPRH1|FPRH2|FPRL1|HM63|LXA4R	19
2840	GPR17	G protein-coupled receptor 17	DKFZp686M18273	2
2854	GPR32	G protein-coupled receptor 32	-	19
2856	GPR33	G protein-coupled receptor 33 (gene/pseudogene)	-	14
11251	GPR44	G protein-coupled receptor 44	CD294|CRTH2|DP2	11
27202	GPR77	G protein-coupled receptor 77	C5L2|GPF77	19
3577	IL8RA	interleukin 8 receptor, alpha	C-C|C-C-CKR-1|CD128|CD181|CDw128a|CKR-1|CMKAR1|CXCR1|IL8R1|IL8RBA	2
3579	IL8RB	interleukin 8 receptor, beta	CD182|CDw128b|CMKAR2|CXCR2|IL8R2|IL8RA	2
1241	LTB4R	leukotriene B4 receptor	BLT1|BLTR|CMKRL1|GPR16|LTB4R1|LTBR1|P2RY7|P2Y7	14
56413	LTB4R2	leukotriene B4 receptor 2	BLT2|BLTR2|JULF2|KPG_004|NOP9	14
5329	PLAUR	plasminogen activator, urokinase receptor	CD87|UPAR|URKR	19
5361	PLXNA1	plexin A1	NOV|NOVP|PLEXIN-A1|PLXN1	3
5362	PLXNA2	plexin A2	FLJ11751|FLJ30634|KIAA0463|OCT|PLXN2	1
55558	PLXNA3	plexin A3	6.3|HSSEXGENE|PLEXIN-A3|PLXN3|PLXN4|SEX|XAP-6	X
91584	PLXNA4	plexin A4	DKFZp434G0625|DKFZp566O0546|FAYV2820|FLJ35026|FLJ38287|KIAA1550|PLEXA4|PLXNA4A|PLXNA4B|PRO34003	7
5364	PLXNB1	plexin B1	KIAA0407|MGC149167|PLEXIN-B1|PLXN5|SEP	3
23654	PLXNB2	plexin B2	KIAA0315|MM1|Nbla00445|PLEXB2|dJ402G11.3	22
5365	PLXNB3	plexin B3	FLJ76953|PLEXB3|PLEXR|PLXN6	X
10154	PLXNC1	plexin C1	CD232|PLXN-C1|VESPR	12
23129	PLXND1	plexin D1	KIAA0620|MGC75353|PLEXD1	3
5724	PTAFR	platelet-activating factor receptor	PAFR	1
6091	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	DUTT1|FLJ21882|MGC131599|MGC133277|SAX3	3
6092	ROBO2	roundabout, axon guidance receptor, homolog 2 (Drosophila)	KIAA1568|SAX3	3
64221	ROBO3	roundabout, axon guidance receptor, homolog 3 (Drosophila)	FLJ21044|HGPPS|HGPS|RBIG1|RIG1	11
51289	RXFP3	relaxin/insulin-like family peptide receptor 3	GPCR135|MGC141998|MGC142000|RLN3R1|RXFPR3|SALPR	5
2829	XCR1	chemokine (C motif) receptor 1	CCXCR1|GPR5	3
