Gene Name	Common Gene Name(s)	Affymetrix Probe Set(s)	Lymphochip Probe(s)
BCL2	B-cell CLL/lymphoma 2 (2)	203685_at	28859; 16789
BCL2A1	BFL1/A1 / BCL2-related protein A1(1,2)	205681_at	28638; 16089; 26039; 24637; 28639
BCL2L1	BCL2-like 1 / BCLxL(1,2)	212312_at; 215037_s_at	16454; 24267
BIRC2	baculoviral IAP repeat-containing 2 (c-IAP1) (2)	202076_at	28475; 33714; 15917
BIRC3	baculoviral IAP repeat-containing 3 (c-IAP2) (1,2)	210538_s_at	30589; 15916; 28474; 19233
C4orf9	gene near HD on 4p16.3 with homology to hypothetical S. pombe gene (1)	214661_s_at	n.a.
CCL2	chemokine (C-C motif) ligand 2 (MCP1) (3)	216598_s_at	15851; 34426
CCL22	MDC (1)	207861_at	36447; 37437
CCL3	MIP-1alpha (1,2)	205114_s_at	16426; 26474; 26475; 16822
CCL4	MIP-1beta (2)	204103_at	26408; 26409; 28410; 15850
CCND2	Cyclin D2 (2)	200951_s_at; 200952_s_at; 200953_s_at; 231259_s_at;	16858; 24787
CCR7	chemokine (C-C motif) receptor 7 (1,2)	206337_at	19339; 32655
CD23A	Fc fragment of IgE, low affinity II receptor for (CD23A) / FCER2 (2)	206759_at	17521; 35220
CD44	CD44 antigen (homing function and Indian blood group system) (1,2)	204489_s_at; 204490_s_at; 209835_x_at; 212014_x_at; 212063_at; 229221_at; 217523_at;	30428; 31594; 28684; 24821; 19271; 16140
CD69	CD69 antigen / p60, early T-cell activation antigen (2)	209795_at	16136; 24561
CD83	CD83 antigen / activated B lymphocytes, immunoglobulin superfamily (1)	204440_at	16610; 30431; 19239; 28216; 27545; 17066
CFLAR	CASP8 and FADD-like apoptosis regulator / c-FLIP (2)	209508_x_at; 208485_x_at; 209939_x_at; 210563_x_at; 210564_x_at; 211316_x_at;  211317_s_at; 211862_x_at;214486_x_at; 237367_x_at;239629_x_at	19219; 27384
DUSP1	dual specificity phosphatase 1 (3)	201041_s_at; 226578_s_at	26487; 27490; 27478;17871; 26488; 26517;26987
DUSP2	dual specificity phosphatase 2 (2)	204794_at	27686; 17185
EGR1	early growth response 1(3)	201693_s_at; 201694_s_at; 227404_s_at	24762; 26362; 16960
EMR1	egf-like module containing, mucin-like, hormone receptor-like sequence 1 (1)	207111_at	n.a.
HLA-F	major histocompatibility complex, class I, F (1)	204806_x_at; 221978_at 204806_x_at	n.a.
ICAM1	intercellular adhesion molecule 1 / CD54 (1,2)	202637_s_at; 202638_s_at	16403; 27211; 24268;28750
IER2	immediate early response 2 / ETR-101 (3)	202081_at	n.a.
IER3	immediate early response 3 / IEX-1 (1)	201631_s_at	26533; 26460
IL15RA	interleukin 15 receptor, alpha (1)	207375_s_at	31845; 16161; 16046
IL2RA	interleukin 2 receptor, alpha (2)	211269_s_at	25220; 30448; 32634
IL4RA	interleukin 4 receptor (2)	203233_at	28597; 16044; 19298;19256
IL6	interleukin 6 / interferon, beta 2 (1,3)	205207_at	25209; 28748; 16736;24750
IL8	interleukin 8 (2)	202859_x_at	17643; 30444; 32630;25184
IRF1	interferon regulatory factor 1 (1,2)	202531_at	28599; 24405
IRF4	interferon regulatory factor 4 (2)	204562_at	16614; 24729; 22122
JUNB	jun B proto-oncogene (2,3)	201473_at	28950; 17346
KAI1	kangai 1 / suppression of tumorigenicity 6, prostate; CD82 antigen (2)	203904_x_at	16425
KLF10	TGFB inducible early growth response, TIEG1 (1)	202393_s_at	28201; 26572; 17704;16592; 27454
LITAF	LPS-induced TNF-alpha factor (1)	200704_at	28695; 34226
LSP1	lymphocyte-specific protein 1 (1)	203523_at	27000; 29384; 16400
MYB	v-myb myeloblastosis viral oncogene homolog (avian) (2)	204798_at	24988; 19291; 28014;17496
NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2) (1)	209949_at	29574; 29573
NFkB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) (1,2)	207535_s_at	27660; 17160
NFKBIA	IkBalpha / nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha (2,3)	201502_s_at	34886; 24829; 24499;28424
NK4	natural killer cell transcript 4 (3)	203828_s_at	19376; 28586; 16034
PASK	PAS domain containing serine/threonine kinase (1)	213534_s_at; 216945_x_at	24442; 31194
PCAM1	Platelet/endothelial cell adhesion molecule / CD31 antigen (2)	208981_at; 208982_at; 208983_s_at	24718; 16837
PRKCD	protein kinase C, delta (1)	202545_at	28967; 17679
RAFTLIN	KIAA0084 protein / raft-linking protein (1)	212646_at	32679; 30246
REL	c-REL / v-rel reticuloendotheliosis viral oncogene homolog (avian) (2)	206035_at; 206036_s_at	27705; 17204
RELB	v-rel reticuloendotheliosis viral oncogene homolog B, (2)	205205_at	16279; 26921; 28926
RRAS2	related RAS viral (r-ras) oncogene homolog 2 / TC21 (1)	208456_s_at; 212589_at; 212590_at	n.a.
SDC4	syndecan 4 (amphiglycan, ryudocan) (3)	202071_at	17842; 27296; 28564
SLC2A5	GLUT5 / solute carrier family 2 (1), member 5	204429_s_at; 204430_s_at	17118; 24424; 26431
SMAD7	MAD, mothers against decapentaplegic homolog 7  (1)	204790_at	16418; 28817
SOD2	superoxide dismutase 2, mitochondrial (3)	216841_s_at; 215223_s_at; 221477_s_at	28770
STAT5A	signal transducer and activator of transcription 5A (1)	203010_at	29329; 30027
STX4A	syntaxin 4A (placental) (1)	203530_s_at	n.a.
TNFAIP3	A20 / tumor necrosis factor alpha-induced protein 3 (2,3)	202643_s_at; 202644_s_at	34761; 28987; 16398;19267; 28986
TNFRSF5	CD40 / tumor necrosis factor receptor superfamily, member 5 (2)	205153_s_at; 222292_at; 35150_at	27399; 16913
TNFRSF6	FAS / tumor necrosis factor receptor superfamily, member 6 (1)	204780_s_at; 204781_s_at; 215719_x_at; 216252_x_at	16699; 17626; 29375;29356
TNFSF2	tumor necrosis factor /TNF superfamily, member 2 (2)	207113_s_at	28018; 17500; 24423
TNIP	A20-binding inhibitor of NF-kappaB activation-2 (ABIN-2) (1)	218335_x_at; 48531_at; 232160_s_at	n.a.
TPMT	thiopurine S-methyltransferase (1)	203672_x_at	n.a.
TRAF1	TNF receptor-associated factor 1 (1,2)	205599_at; 235116_at	15921; 26356; 26357;34621
VIM	Vimentin (1)	201426_s_at	23950; 17082; 24417
WTAP	Wilms tumor 1-associating protein(1)	203137_at; 210285_x_at; 214759_at; 227621_at; 229630_s_at;	n.a.
