Accesion #	Gene Name	U133 PCOS/NL	U133 p-value	U95A PCOS/NL	U95A p-value	Function	Specific Function
NM_003392	Wnt 5A	0.44	0.004	0.6	0.017	Signal Transduction	Secreted Factors
NM_012242	Dickkopf homolog 1	2.4	0.016	4.53	0.125	Signal Transduction	Secreted Factors
M31159	IGF binding protein 3	2.96	0.006	3.07	0.015	Signal Transduction	Secreted Factors
U29953	Pigment epithelium derived factor (PEDF)	0.47	0.005	0.43	0.006	Signal Transduction	Secreted Factors
NM_002521	Natriuretic peptide precursor B	5.48	0.027	3.61	0.146	Signal Transduction	Secreted Factors
NM_000627	Latent TGFbeta binding protein 1	0.49	0.009	0.71	0.05	Signal Transduction	Secreted Factors
NM_002607	Platelet derived growth factor alpha	1.98	0.007	1.45	0.095	Signal Transduction	Secreted Factors
NM_001562	Interleukin 18	2.43	0.05	2.31	0.002	Signal Transduction	Secreted Factors
NM_006291	TNFalpha induced protein 2	1.48	0.014	1.15	0.446	Signal Transduction	Secreted Factors
NM_002975	Lymphocyte secreted C-type lectin	0.56	0.023	0.64	0.035	Signal Transduction	Secreted Factors
NM_002226	Jagged 2	0.63	0.026	0.83	0.193	Signal Transduction	Secreted Factors
NM_002035	Follicular lymphoma variant translocation 1	1.43	0.039	1.17	0.292	Signal Transduction	Secreted Factors
NM_003692	Transmembrane protein TMEFF1	0.49	0.002	0.56	0.039	Signal Transduction	Transmembrane Receptors
NM_012342	Putative transmembrane protein (nma)	1.59	0.023	1.47	0.016	Signal Transduction	Transmembrane Receptors
NM_000908	Atrial natriuretic peptide receptor C (NPR3)	0.45	0.003	0.51	0.011	Signal Transduction	Transmembrane Receptors
NM_003234	Transferrin receptor	2.15	0.005	2.15	0.0002	Signal Transduction	Transmembrane Receptors
NM_001338	Coxsackie virus and adenovirus receptor	2.12	0.02	2.08	0.019	Signal Transduction	Transmembrane Receptors
AL033377	7 transmembrane like BMP (DKFZp564D0462)	2.22	0.032	1.76	0.018	Signal Transduction	Transmembrane Receptors
AF056085	G-protein coupled receptor 51	0.35	0.001	0.25	0.0006	Signal Transduction	G-Protein Coupled Receptors
NM_000676	Adenosine A2 receptor	2.64	0.007	3.73	0.02	Signal Transduction	G-Protein Coupled Receptors
NM_005761	Plexin C1	0.44	0.001	0.32	0.001	Signal Transduction	GPI-Anchored Receptors
NM_000459	TEK tyrosine kinase, endothelial	0.47	0.002	0.51	0.006	Signal Transduction	Kinases
NM_004734	Doublecortin and CaM kinase like 1	2.49	0.043	3.91	0.062	Signal Transduction	Kinases
NM_005044	cAMP dependent protein kinase	1.65	0.005	0.97	0.607	Signal Transduction	Kinases
NM_005204	Mitogen activated protein kinase kinase kinase 8	1.89	0.047	1.96	0.012	Signal Transduction	Kinases
NM_002647	Phosphoinositide 3 kinase, class 3	1.47	0.018	1.21	0.267	Signal Transduction	Kinases
NM_013233	Ste-20 related kinase	1.43	0.023	1.62	0.004	Signal Transduction	Kinases
NM_003713	Phosphatidic acid phosphatase type 2B	0.57	0.029	0.67	0.037	Signal Transduction	Phosphatases
NM_003620	Protein phosphatase 1D, magnesium dependent delta	1.43	0.028	1.32	0.05	Signal Transduction	Phosphatases
U78516	cAMP-GEFII	2.04	0.002	2.92	0.02	Signal Transduction	Intracellular Signaling Molecules
D31885	ARF-like 6 interacting protein (KIAA0069)	1.43	0.043	1.47	0.007	Signal Transduction	Intracellular Signaling Molecules
NM_014737	Ras association domain family 2 (RalGDS/AF-6)	0.44	0.001	0.34	0.004	Signal Transduction	Intracellular Signaling Molecules
NM_003580	Neutral sphingomyelinase activation association factor	1.6	0.004	1.51	0.018	Signal Transduction	Intracellular Signaling Molecules
BC000616	SWAP-70 protein	1.49	0.041	1.2	0.309	Signal Transduction	Intracellular Signaling Molecules
NM_006449	Cdc42 effector protein 3	1.65	0.048	2.14	0.08	Signal Transduction	Intracellular Signaling Molecules
NM_001262	Cyclin-dependent kinase inhibitor 2C	0.62	0.033	0.69	0.038	Signal Transduction	Intracellular Signaling Molecules
NM_004864	Prostate differentiation factor	1.99	0.035	1.4	0.154	Signal Transduction	Intracellular Signaling Molecules
NM_002925	Regulator of G-protein signaling 10	0.68	0.042	0.72	0.08	Signal Transduction	Intracellular Signaling Molecules
NM_020299	Aldo-keto reductase family 1, B10	2.29	0.011	2.84	0.004	Metabolism	Carbohydrate Metabolism
NM_001931	Dihydrolipoamide S-acetyltransferase	1.57	0.024	1.42	0.003	Metabolism	Carbohydrate Metabolism
NM_005896	Isocitrate dehydrogenase 1	1.58	0.015	1.97	0.001	Metabolism	Carbohydrate Metabolism
NM_005326	Hydroxyacyl glutathione hydrolase	1.71	0.016	1.2	0.351	Metabolism	Carbohydrate Metabolism
NM_002395	Malic enzyme 1	1.66	0.019	1.32	0.165	Metabolism	Carbohydrate Metabolism
NM_000189	Hexokinase 2	1.47	0.046	1.91	0.002	Metabolism	Carbohydrate Metabolism
NM_000382	Aldehyde dehydrogenase 3, member A2	1.55	0.028	2.06	0.005	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_004458	Fatty acid CoA ligase, long chain 4	1.75	0.019	2.5	0.007	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
U89281	Retinol dehydrogenase 2 (RoDH2)	4.06	0.026	4.7	0.02	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
U07919	Aldehyde dehydrogenase 1, member A3 (ALDH6)	2.94	0.035	4.27	0.028	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_004753	Short chain dehydrogenase/reductase 1	1.87	0.014	1.55	0.036	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_001757	Carbonyl reductase 1	1.54	0.02	1.19	0.24	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_006452	Phosphoribosylamine imidazole carboxylase	1.44	0.046	1.49	0.044	Metabolism	Nucleotide Metabolism/Synthesis
NM_002526	5’ nucleotidase (CD73)	2.65	0.024	2.42	0.044	Metabolism	Nucleotide Metabolism/Synthesis
NM_012229	5’ nucleotidase, cytosolic type II	1.48	0.035	1.6	0.009	Metabolism	Nucleotide Metabolism/Synthesis
NM_001905	CTP synthase	1.54	0.018	1.43	0.113	Metabolism	Nucleotide Metabolism/Synthesis
NM_002064	Glutaredoxin (thioltransferase)	1.59	0.045	1.6	0.06	Metabolism	Nucleotide Metabolism/Synthesis
NM_000883	IMP dehydrogenase 1	0.66	0.034	0.892	0.387	Metabolism	Nucleotide Metabolism/Synthesis
AL080076	Single-stranded DNA binding protein 2	0.38	0.002	0.36	0.002	Metabolism	DNA Replication
NM_003090	snRNP polypeptide A	1.82	0.003	1.83	0.024	Metabolism	RNA Processing
NM_003016	Arginine/serine rich splicing factor 2	1.49	0.033	1.63	0.05	Metabolism	RNA Processing
NM_001112	Adenosine deaminase	1.93	0.021	1.89	0.022	Metabolism	RNA Processing
NM_004728	DEAD/H box member 21	1.45	0.035	1.07	0.654	Metabolism	RNA Processing
NM_000320	Quinoid dihydropteridine reductase	1.59	0.041	1.02	0.868	Metabolism	Amino Acid Metabolism
NM_000274	Ornithine aminotransferase	1.36	0.05	1.23	0.098	Metabolism	Amino Acid Metabolism
NM_000062	C1-inhibitor/SERPING 1	2.03	0.004	1.49	0.06	Metabolism	Protein Modification
M25915	Clusterin	2.62	0.05	1.78	0.268	Metabolism	Protein Modification
NM_000204	I factor	1.6	0.028	1.77	0.05	Metabolism	Protein Modification
NM_000303	Phosphomannomutase 2	1.88	0.01	1.39	0.08	Metabolism	Protein Modification
NM_005084	PAF acetylhydrolase	1.41	0.023	1.23	0.138	Metabolism	Protein Modification
NM_001935	Dipeptidylpeptidase IV	1.74	0.02	2.72	0.0003	Metabolism	Protein Modification
U10473	UDP-Gal:beta 1,4 galactosyltransferase polypeptide 1	0.48	0.004	0.74	0.089	Metabolism	Protein Modification
M_003595	Tyrosylprotein sulfotransferase 2	0.44	0.002	0.61	0.013	Metabolism	Protein Modification
NM_005715	Uronyl 2-sulfotransferase	1.39	0.04	1.68	0.047	Metabolism	Protein Modification
NM_004808	N-myristoyltransferase 2	1.57	0.044	1.74	0.024	Metabolism	Protein Modification
NM_019886	N-acetylglucosamine sulfotransferase 7	0.61	0.047	0.7	0.081	Metabolism	Protein Modification
NM_003878	Gamma glutamyl hydrolase	2	0.02	2.41	0.027	Metabolism	Protein Modification
NM_001223	Caspase 1	1.5	0.037	2.12	0.048	Metabolism	Protein Modification
AI433463	Membrane metallo-endopeptidase (CALLA)	0.43	0.006	0.47	0.006	Metabolism	Protein Degradation
BC006393	Carboxypeptidase Z	3.02	0.002	1.25	0.2	Metabolism	Protein Degradation
NM_006796	ATPase family gene 3 (AFG3)	1.4	0.042	1.26	0.123	Metabolism	Protein Degradation
NM_004793	Serine protease 15	1.35	0.045	1.6	0.062	Metabolism	Protein Degradation
NM_005151	Ubiquitin specfic protease 14	1.42	0.026	1.47	0.048	Metabolism	Protein Degradation
NM_006002	Ubiquitin carboxyl-terminal esterase L3	1.49	0.014	1.86	0.014	Metabolism	Protein Degradation
NM_004181	Ubiquitin carboxyl-terminal esterase L1	1.5	0.024	1.43	0.061	Metabolism	Protein Degradation
NM_006156	Nedd 8	1.57	0.034	1.01	0.955	Metabolism	Protein Degradation
NM_003905	Amyloid beta precursor protein binding protein 1	1.48	0.029	1.52	0.027	Metabolism	Protein Degradation
NM_002811	Proteasome 26S subunit	1.45	0.014	1.15	0.917	Metabolism	Protein Degradation
NM_005805	Proteasome 26S associated pad 1 homolog	1.37	0.046	1.23	0.143	Metabolism	Protein Degradation
NM_001415	Eukaryotic translation initiation factor 2, 3gamma	0.28	0.0003	0.43	0.01	Metabolism	Protein Translation
NM_004280	Eukaryotic translation initiation factor 1	1.43	0.027	1.55	0.009	Metabolism	Protein Translation
NM_003754	Eukaryotic translation initiation factor 3, subunit 5	0.61	0.025	0.56	0.021	Metabolism	Protein Translation
NM_002952	Mitochondrial ribosomal protein S2	0.72	0.05	0.64	0.027	Metabolism	Protein Translation
NM_006451	Polyadenylate binding protein interacting protein 1	1.48	0.01	1.61	0.009	Metabolism	Protein Translation
NM_002271	Karyopherin (importin) beta 3	0.68	0.046	0.82	0.271	Metabolism	Intracellular Trafficking/Chaperones
NM_004134	Heat shock protein 70, 9B	1.42	0.02	1.66	0.024	Metabolism	Intracellular Trafficking/Chaperones
NM_000081	Beige protein homolog (Chediak-Higashi syndrome)	0.65	0.043	0.88	0.5	Metabolism	Intracellular Trafficking/Chaperones
NM_006745	Sterol C4 methyl oxidase like	2.17	0.012	2.12	0.05	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_006918	Sterol C5 desaturase	1.67	0.017	1.41	0.127	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_004508	Isopentyl-diphosphate delta isomerase	1.84	0.018	1.85	0.014	Metabolism	Cholesterol Metabolism/Steroidogenesis
U40053	Lanosterol 14? demethylase (CYP51)	1.77	0.013	2.28	0.001	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_000859	HMG CoA reductase	2	0.042	2.26	0.013	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_002130	HMG CoA synthase 1	2.91	0.023	2.71	0.123	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_003129	Squalene epoxidase	1.86	0.048	1.97	0.036	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_000102	Steroid 17?-hydroxylase gene, exon 8	3.03	0.04	4.6	0.124	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_001914	Cytochrome b5	1.59	0.036	1.43	0.207	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_000903	Cytochrome b5 reductase	1.84	0.036	1.25	0.153	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_001216	Carbonic anhydrase IX	2.24	0.028	1.28	0.263	Metabolism	Oxidation
NM_003330	Thioredoxin reductase 1	1.77	0.02	1.76	0.017	Metabolism	Oxidation
NM_001159	Aldehyde oxidase 1	1.75	0.036	1.8	0.166	Metabolism	Oxidation
NM_005783	ATP binding protein associated with cell differentiation	1.35	0.036	1.74	0.006	Metabolism	Oxidation
NM_004926	Zinc finger protein 36	0.6	0.03	0.77	0.1	Nuclear Proteins	Transcription Factors
NM_003425	Zinc finger protein 45	0.65	0.037	0.99	0.944	Nuclear Proteins	Transcription Factors
NM_003487	TBP-associated factor 15	1.9	0.02	1.23	0.276	Nuclear Proteins	Transcription Factors
NM_052854	Old astrocyte specifically induced substance	0.63	0.028	0.73	0.05	Nuclear Proteins	Transcription Factors
NM_006368	cAMP responsive element binding protein 3	1.64	0.038	0.92	0.546	Nuclear Proteins	Transcription Factors
NM_002166	Inhibitor of DNA binding 2	2.13	0.007	3.02	0.047	Nuclear Proteins	Co-Regulators
NM_006333	Nuclear DNA binding protein	1.6	0.012	1.6	0.009	Nuclear Proteins	Co-Regulators
NM_006079	CBP/p300 interacting transactivator	1.62	0.036	1.74	0.045	Nuclear Proteins	Co-Regulators
NM_002598	Programmed cell death 2	1.45	0.036	0.95	0.7	Nuclear Proteins	Co-Regulators
Y15916	Collagen type Ialpha1	0.48	0.049	0.32	0.001	Cytoskeletal Proteins	Structural Proteins
NM_004369	Collagen type VIalpha3	0.48	0.002	0.74	0.078	Cytoskeletal Proteins	Structural Proteins
