Name	Ratio	GenbankNo.
Earlygrowthresponse2(Krox-20homolog,Drosophila)(EGR2)	7.29	NM_024553
Tachykinin,precursor1(TAC1)	6.99	NM_057168
cDNAFLJ42405fis,cloneASTRO3000474	6.64	NM_130386
Extracellularmatrixprotein2,femaleorgan,andadipocytespecific(ECM2)	6.56	NM_031296
Collagen,typeIV,alpha1(COL4AI)	6.00	NM_003391
Plasticityrelatedgene1(LPPR4)	5.66	BC041387
T-Box15(TBX15)	5.57	NM_173576
cDNAFLJ43390fis,cloneOCBBF2007114	5.47	NA
cDNAFLJ30336fis,cloneBRACE2007358,moderatelysimilartoHomosapiensNAG-7protein(NAG-7)	5.41	NM_000693
Olfactoryreceptor,family51,subfamilyE,member2(OR51E2)	5.38	NM_004289
Scrapieresponsiveprotein1(SCRG1)	5.26	NM_002245
Leucine-richrepeatandIgdomaincontaining1(LINGO1)	5.20	NM_004049
cDNAFLJ39142fis,cloneOCBBF1000049	5.17	NM_001884
Emptyspiracleshomeobox2(EMX2)	5.14	NM_006108
PBX/knotted1homeobox2(PKNOX2)	5.09	NM_018371
Histonedeacetylase9(HDAC9)	5.09	NM_000210
Tetraspanin2(TSPAN2)	5.08	NM_007332
cDNAFLJ37411fis,cloneBRAMY2028682	5.06	AF263545
GATA-bindingprotein6(GATA6)	5.05	NM_153183
PDZandLIMdomain3(PDLIM3)	5.04	NM_198391
MHCclassImRNAfragment3.8-1(3.8 1)onchromosome6	4.99	NM_006474
Neurexin3(NRXN3)	4.94	NM_005114
Asporin(ASPN)	4.93	NM_024532
Hairy/enhancerofsplitrelatedwithYRPWmotif2(HEY2)	4.90	NM_003012
CollagentypeVIalpha6(COL6A6)	4.88	NM_017637
HypotheticLOC387763,mRNA(cRNAcloneIMAGE:6272440)	4.87	NM_006101
Q7ZL02_9GAMR(Q7ZL02)Envelopeglycoprotein	4.87	NM_005139
RhoGTPaseactivatingprotein15(ARHGAP15)	4.80	NM_002497
Chromosome21openreadingframe7(C21orf7)	4.80	NM_021205
Succinatereceptor1(SUCNR1)	4.79	NM_145175
Chromosome5openreadingframe13(C5orf13)	4.79	NM_148957
Protocadherin10(PCDH10)	4.78	NM_001080505
Chromosome9openreadingframe61(C9orf61)	4.75	NM_024769
cDNAcloneUI-H-FG1-bgr-1-15-0-UI3’	4.74	NM_000204
Human5.5kbmRNAupregulatedinretinoicacidtreatedHL-60neutrophiliccells	4.74	NM_002422
RAB33A,memberRASoncogenefamily(RAB33A)	4.72	NM_021992
Potassiumvoltage-gatedchannel,Isk-relatedfamily,member4(KCNE4)	4.70	NM_032047
Spondin2,extracellularmatrixprotein(SPON2)	4.68	BC118551
Archaelysinfamilymetallopeptidase1(AMZ1)	4.67	NM_173576
RegulatorofG-proteinsignaling7(RGS7)	4.63	NM_030967
Neurotrophictyrosinekinase,receptor,type2(NTRK2)	4.60	AK123681
Regulatingsynapticmembraneexocytosis3(RIMS3)	4.56	NM_000961
Myosinlightchain2,precursorlymphocyte-specific	4.55	NM_015564
Dapper,antagonistofbeta-catenin,homolog1(Xenopuslaevis)(DACT1)	4.55	NM_024875
Alpha-2-macroglobulin(A2M)	4.55	NM_002214
Latrophilin3(LPHN3)	4.54	NM_004438
Tetraspanin2(TSPAN2)	4.53	NM_005725
RCSDdomaincontaining1(RCSD1)	4.49	NM_052862
Coiled-coildomaincontaining102B(CCDC102B)	4.48	NM_024781
