Probe set	Gene Symbol	Gene Symbol before 2008	T:N Ratio	T Mean	N Mean	T SD	N SD	q value
213664_at	SLC1A1	SLC1A1	0.13	-1.65	1.92	1.41	0.57	0.01
226625_at	TGFBR3	TGFBR3	0.18	-1.08	1.70	0.98	0.43	0.01
227826_s_at	---	SORBS2	0.14	-1.28	1.90	1.07	0.62	0.01
227874_at	EMCN		0.10	-1.58	2.24	1.16	0.65	0.01
228504_at	---		0.10	-1.77	2.45	1.53	0.44	0.01
229127_at	JAM2	ATP5J	0.16	-1.21	1.71	0.83	0.45	0.01
229308_at	---		0.13	-1.42	2.11	1.13	0.55	0.01
229339_at	---		0.32	-0.67	0.95	0.33	0.44	0.01
229641_at	---		0.15	-1.25	1.76	0.83	0.35	0.01
230711_at	---	EPAS1	0.19	-0.86	1.46	0.55	0.76	0.01
233392_at	---		0.19	-0.92	1.43	0.42	0.71	0.01
235108_at	---		0.18	-0.96	1.66	0.83	0.62	0.01
235570_at	---		0.21	-1.10	1.46	1.03	0.30	0.01
235670_at	STX11	STX11	0.16	-1.31	1.79	1.02	0.44	0.01
235915_at	---		0.15	-1.07	1.36	0.39	1.04	0.01
236065_at	---		0.13	-1.40	1.72	0.88	0.74	0.01
236383_at	---		0.15	-1.13	1.60	0.58	0.77	0.01
236936_at	---		0.13	-1.39	1.79	0.81	0.59	0.01
238178_at	---		0.13	-1.06	1.89	0.68	0.83	0.01
239262_at	---	PRSS23	0.15	-1.15	1.67	0.64	0.55	0.01
239849_at	---		0.10	-1.21	1.99	0.59	1.02	0.01
242009_at	SLC6A4		0.06	-1.66	2.97	1.07	1.52	0.01
242500_at	---		0.17	-0.99	1.67	0.71	0.60	0.01
242868_at	---	EPAS1	0.16	-1.16	1.75	1.14	0.62	0.01
243172_at	---		0.18	-0.94	1.60	0.58	0.56	0.01
243813_at	---		0.15	-1.05	1.75	0.59	0.77	0.01
243818_at	SFTA1P		0.14	-1.35	1.86	0.93	0.39	0.01
204719_at	ABCA8	ABCA8	0.09	-1.83	2.36	1.32	0.39	0.01
223395_at	ABI3BP	ABI3BP	0.16	-1.33	1.76	1.27	0.30	0.01
206069_s_at	ACADL	ACADL	0.11	-1.35	1.87	0.64	0.80	0.01
220677_s_at	ADAMTS8	ADAMTS8	0.12	-1.26	1.95	0.69	0.67	0.01
235649_at	ADAMTS8	ADAMTS8	0.08	-1.73	2.45	1.11	0.58	0.01
203865_s_at	ADARB1	ADARB1	0.15	-1.25	1.70	0.86	0.38	0.01
209612_s_at	ADH1B	ADH1B	0.09	-2.29	2.69	2.20	0.55	0.01
209613_s_at	ADH1B	ADH1B	0.09	-2.32	2.81	2.29	0.46	0.01
209614_at	ADH1B	ADH1B	0.11	-1.49	1.78	0.75	0.61	0.01
229309_at	ADRB1	ADRB1	0.08	-1.90	2.65	1.59	0.72	0.01
206170_at	ADRB2	ADRB2	0.16	-1.34	1.72	1.16	0.53	0.01
210081_at	AGER	AGER	0.06	-2.06	3.05	1.39	0.54	0.01
217046_s_at	AGER	AGER	0.10	-1.41	2.25	0.86	0.51	0.01
202759_s_at	AKAP2 /// PALM2 /// PALM2-AKAP2	PALM2-AKAP2	0.20	-1.13	1.46	0.98	0.43	0.01
226694_at	AKAP2 /// PALM2 /// PALM2-AKAP2	PALM2-AKAP2	0.24	-0.95	1.29	0.86	0.36	0.01
224339_s_at	ANGPTL1	ANGPTL1	0.27	-0.81	0.96	0.36	0.73	0.01
231773_at	ANGPTL1	ANGPTL1	0.23	-0.93	1.15	0.52	0.64	0.01
218418_s_at	KANK2	ANKRD25	0.28	-0.90	1.08	0.71	0.30	0.01
213715_s_at	KANK3	ANKRD47	0.21	-0.86	1.43	0.60	0.59	0.01
222608_s_at	ANLN	ANLN	21.61	1.55	-2.35	1.67	0.54	0.01
204894_s_at	AOC3	AOC3	0.15	-1.38	1.73	1.14	0.36	0.01
206167_s_at	ARHGAP6	ARHGAP6	0.22	-1.07	1.72	1.14	0.43	0.01
206030_at	ASPA	ASPA	0.21	-0.97	1.21	0.43	0.60	0.01
219918_s_at	ASPM	ASPM	16.04	1.39	-2.22	1.52	0.58	0.01
203296_s_at	ATP1A2	ATP1A2	0.20	-0.94	1.40	0.60	0.67	0.01
228434_at	BTNL9	BTNL9	0.11	-1.33	2.29	1.23	0.73	0.01
203571_s_at	C10orf116	C10orf116	0.13	-1.58	1.85	1.32	0.47	0.01
218723_s_at	C13orf15	C13orf15	0.17	-1.22	1.71	0.97	0.30	0.01
235568_at	C19orf59	TRAPPC5	0.10	-1.86	2.45	1.44	0.64	0.01
239349_at	C1QTNF7	C1QTNF7	0.14	-1.24	1.82	0.68	0.74	0.01
213900_at	C9orf61	C9orf61	0.15	-1.26	1.83	0.93	0.38	0.01
206208_at	CA4	CA4	0.17	-1.03	1.68	0.70	0.52	0.01
206209_s_at	CA4	CA4	0.08	-1.60	2.64	1.03	0.55	0.01
203065_s_at	CAV1	CAV1	0.15	-1.37	1.85	1.21	0.43	0.01
212097_at	CAV1	CAV1	0.16	-1.33	1.70	1.11	0.24	0.01
203323_at	CAV2	CAV2	0.14	-1.44	1.88	1.32	0.35	0.01
214710_s_at	CCNB1	CCNB1	14.31	1.33	-2.18	1.32	0.48	0.01
202705_at	CCNB2	CCNB2	14.02	1.37	-2.02	1.45	0.47	0.01
228766_at	CD36	CD36	0.11	-1.78	2.21	1.46	0.72	0.01
202870_s_at	CDC20	CDC20	17.30	1.50	-2.15	1.53	0.45	0.01
204677_at	CDH5	CDH5	0.16	-1.19	1.75	0.98	0.39	0.01
214135_at	CLDN18	CLDN18	0.07	-2.03	2.83	1.75	0.35	0.01
232578_at	CLDN18	CLDN18	0.08	-2.12	2.85	1.53	0.84	0.01
213317_at	CLIC5	CLIC5	0.08	-1.99	2.77	1.79	0.42	0.01
217628_at	CLIC5	CLIC5	0.21	-0.93	1.39	0.59	0.67	0.01
